zona,municipio_cod,x_centroide,y_centroide,municipio
200,36.0,358016.2988047809,7402062.131474104,São Paulo
201,36.0,355586.25396825396,7400045.317460317,São Paulo
202,36.0,355364.30839002266,7398527.281179138,São Paulo
203,36.0,354866.476861167,7397047.158953723,São Paulo
204,36.0,356806.915601023,7396519.202046036,São Paulo
205,36.0,359086.01242236025,7399249.434782608,São Paulo
206,36.0,357233.8720379147,7400145.627962085,São Paulo
207,36.0,358820.0950570342,7400998.450570342,São Paulo
208,36.0,341946.05066666665,7395235.861333333,São Paulo
209,36.0,343538.0970149254,7394151.815920398,São Paulo
210,36.0,340950.65982404695,7393636.7272727275,São Paulo
211,36.0,342975.22491349484,7392213.062283737,São Paulo
212,36.0,344824.8650793651,7391539.626984127,São Paulo
213,36.0,345231.16620498616,7392644.858725762,São Paulo
214,36.0,343464.5220883534,7395943.4377510045,São Paulo
215,36.0,344765.03880597017,7395814.925373134,São Paulo
216,36.0,346122.29305135953,7396254.567975831,São Paulo
217,36.0,348930.66346153844,7396859.826923077,São Paulo
218,36.0,348104.7180851064,7395279.85106383,São Paulo
219,36.0,346678.7117647059,7394260.664705883,São Paulo
220,36.0,349407.0355029586,7393866.98816568,São Paulo
221,36.0,347147.7195121951,7392952.573170732,São Paulo
222,36.0,349983.1291866029,7393141.083732057,São Paulo
223,36.0,351808.77287066245,7392885.205047319,São Paulo
224,36.0,350359.82352941175,7391925.235294118,São Paulo
225,36.0,354195.1589041096,7392041.265753425,São Paulo
226,36.0,353623.50718685833,7395129.332648871,São Paulo
227,36.0,355841.2578475336,7394820.1547085205,São Paulo
228,36.0,357046.8051470588,7393701.334558823,São Paulo
229,36.0,356899.46036916395,7391578.619978284,São Paulo
230,36.0,357304.43823529413,7389736.073529412,São Paulo
231,36.0,355286.1216216216,7388565.486486486,São Paulo
232,36.0,353412.8469387755,7389070.673469388,São Paulo
233,36.0,352051.35755813954,7388887.549418605,São Paulo
234,36.0,352042.80053191487,7385942.390957447,São Paulo
235,36.0,350519.4621212121,7386899.553030303,São Paulo
236,36.0,336382.50804597704,7390561.429885058,São Paulo
237,36.0,336573.6393088553,7389539.138228942,São Paulo
238,36.0,335825.89285714284,7388884.064285714,São Paulo
239,36.0,335628.07269155205,7390206.345776032,São Paulo
240,36.0,335712.3214285714,7391536.8367346935,São Paulo
241,36.0,336496.1523341523,7391403.651105651,São Paulo
242,36.0,337496.94801223243,7389078.370030581,São Paulo
243,36.0,336840.00811359024,7387248.251521298,São Paulo
244,36.0,337627.9884057971,7387639.298550725,São Paulo
245,36.0,337894.0753138075,7385726.849372385,São Paulo
246,36.0,337180.968847352,7384084.3084112145,São Paulo
