origem,destino,classe_media,classe_moda,n_amostras
68,319,2.0,A,6
68,320,1.6666666666666667,A,6
68,321,4.285714285714286,C2,7
68,322,1.6,A,5
68,323,1.4,A,5
69,62,2.0,A,5
69,64,2.25,A,8
69,65,2.0,A,11
69,66,2.4,B1,10
69,67,2.6363636363636362,A,11
69,68,2.7142857142857144,B2,28
69,70,2.3,B2,10
69,73,2.1739130434782608,B2,23
69,80,2.7142857142857144,B1,7
69,81,1.4,A,15
69,82,2.4444444444444446,B2,9
69,88,3.0,B2,5
69,268,1.6,B1,5
69,318,1.0,A,6
70,28,4.2,C1,5
70,65,2.0,A,8
70,66,3.0,C1,11
70,68,3.0,B2,12
70,69,2.3,B2,10
70,73,1.125,A,8
70,75,2.8,C1,5
70,76,3.4285714285714284,C1,14
70,84,2.8,B1,5
70,270,2.6,B2,5
70,278,4.6,C1,5
70,301,1.8333333333333333,A,6
70,320,1.0,A,6
70,321,5.0,C1,5
71,64,1.8333333333333333,B1,6
71,72,2.4285714285714284,B1,7
71,73,3.090909090909091,B2,11
71,268,1.8333333333333333,A,6
71,302,1.6,B1,5
72,71,2.1666666666666665,B1,6
72,73,2.909090909090909,C1,11
72,268,2.9,B2,20
72,272,2.8333333333333335,B2,6
72,301,1.8823529411764706,A,17
72,302,1.6,A,5
72,328,1.2,A,5
73,31,2.6666666666666665,B1,6
73,32,2.2,B1,5
73,43,1.8,A,5
73,50,2.2,A,5
73,64,1.875,A,8
73,65,1.4,A,10
73,68,2.6785714285714284,B1,28
73,69,2.1666666666666665,B2,24
73,70,1.3333333333333333,A,9
73,71,3.0,B1,9
73,72,2.909090909090909,C1,11
73,75,3.0,B1,7
73,76,1.9,B1,10
73,79,1.6,A,5
73,80,2.4,B1,5
73,82,1.2857142857142858,A,7
73,83,2.3333333333333335,A,6
73,88,2.0,A,5
73,268,2.6,B2,10
73,272,2.8,B2,5
73,278,4.5,B2,6
73,301,2.75,B2,8
73,302,2.25,B1,8
73,306,3.6,B2,5
73,318,1.0,A,6
73,319,3.2857142857142856,C2,7
73,322,1.9230769230769231,A,13
73,323,2.5,B1,14
73,328,2.2,B2,5
73,337,1.1666666666666667,A,6
73,509,3.4,B2,5
74,27,2.6923076923076925,B1,13
74,28,2.7777777777777777,B1,18
74,29,2.9,B1,10
74,31,1.8333333333333333,A,6
74,32,2.3846153846153846,B1,13
74,43,2.4,B1,5
74,57,2.090909090909091,B1,11
74,62,2.0,B1,7
74,65,1.3333333333333333,A,6
74,68,2.4285714285714284,B2,7
74,75,2.4444444444444446,A,9
74,76,1.8,A,5
74,78,2.0833333333333335,B2,12
74,79,1.95,A,40
74,97,1.4,A,5
75,27,2.5714285714285716,B2,7
75,28,2.75,B2,16
75,31,3.0,B1,5
75,32,2.7142857142857144,B2,7
75,57,2.5,B1,6
75,62,3.090909090909091,C1,11
75,65,3.3333333333333335,B2,6
75,67,2.0,A,5
75,68,3.5454545454545454,C1,11
75,69,2.6,B2,5
75,70,2.8,C1,5
75,73,3.0,B1,7
75,74,2.4444444444444446,A,9
75,76,2.142857142857143,B1,21
75,78,1.5217391304347827,A,23
75,79,1.6153846153846154,A,13
75,81,1.6666666666666667,B1,6
75,82,2.8333333333333335,B1,6
75,84,2.0,A,5
76,27,1.8333333333333333,B1,6
76,32,2.0,B1,6
76,57,2.875,B2,8
76,65,2.125,B1,8
76,67,2.2857142857142856,B1,7
76,68,2.4,B2,20
76,70,3.5,C1,16
76,73,1.9,B1,10
76,74,1.8,A,5
76,75,2.090909090909091,B1,22
76,77,2.0,A,6
76,78,1.25,A,8
76,79,1.9230769230769231,B1,13
76,80,1.625,A,8
76,81,2.2666666666666666,B2,15
76,82,2.5,B1,6
76,88,2.0,A,5
76,320,1.8,A,5
77,32,3.090909090909091,A,11
77,34,1.1666666666666667,A,6
77,49,2.375,B1,8
77,63,2.5,B1,6
77,65,2.5,B1,6
77,74,1.8,B1,5
77,76,2.0,A,6
77,78,2.1904761904761907,B1,21
77,79,1.8,A,5
77,80,2.823529411764706,B2,17
77,81,2.3333333333333335,B2,6
77,83,3.2222222222222223,C1,9
77,85,1.4,A,5
77,87,2.357142857142857,B1,14
77,88,2.8,B2,10
77,95,1.1428571428571428,A,7
77,97,1.8333333333333333,B1,12
77,320,1.2,A,5
78,27,2.3333333333333335,A,9
78,28,1.6,B1,5
78,29,1.6,A,15
78,31,2.4,A,10
78,32,1.875,A,16
78,57,2.888888888888889,B2,9
78,68,1.8,A,5
78,74,2.0833333333333335,B2,12
78,75,1.5217391304347827,A,23
78,76,1.2857142857142858,A,7
78,77,2.1904761904761907,B1,21
78,79,2.1,A,40
78,80,2.1666666666666665,B2,6
78,81,1.5454545454545454,B1,11
78,82,1.6,A,5
78,87,2.5,B1,6
79,1,2.4,B2,5
79,26,2.4,A,5
79,27,1.75,A,12
79,28,2.7142857142857144,B2,7
79,29,2.4444444444444446,B2,18
79,31,2.466666666666667,B2,15
79,32,2.4074074074074074,B2,27
79,33,2.1666666666666665,B2,6
79,34,2.0,A,11
79,36,2.6,A,5
79,55,3.4285714285714284,C1,7
79,57,2.3,B2,10
79,68,2.25,A,8
79,74,1.9743589743589745,A,39
79,75,1.6923076923076923,A,13
79,76,1.8125,A,16
79,77,1.6666666666666667,A,6
79,78,2.1578947368421053,A,38
79,82,2.5714285714285716,A,7
79,83,1.3333333333333333,A,6
79,88,2.0,A,6
79,96,1.3333333333333333,A,6
79,303,2.6,B2,5
79,318,1.5714285714285714,A,7
79,340,1.4,A,5
80,5,2.5,B1,6
80,27,2.111111111111111,B1,9
80,29,2.5,B2,8
80,30,1.5714285714285714,A,7
80,31,2.7777777777777777,B2,9
80,68,2.6,B2,5
80,69,2.7142857142857144,B1,7
80,76,1.625,A,8
80,77,2.8125,B2,16
80,78,2.0,A,5
80,81,2.0833333333333335,A,12
80,82,2.789473684210526,B1,38
80,83,3.1666666666666665,C1,24
80,84,2.4166666666666665,B1,12
80,87,2.6666666666666665,B1,6
80,88,2.7777777777777777,B1,9
80,96,1.6666666666666667,A,6
80,105,2.2,B1,5
80,301,2.8,B2,5
80,333,4.6,C2,5
80,339,2.5,B2,6
80,340,2.6666666666666665,B2,9
80,341,2.0,A,5
81,29,1.9,A,10
81,31,1.8,A,5
81,32,2.2666666666666666,B2,15
81,68,2.4375,A,16
81,69,1.4,A,15
81,73,2.2,B2,5
81,75,1.8571428571428572,B1,7
81,76,2.2142857142857144,B2,14
81,77,2.3333333333333335,B2,6
81,78,1.5,A,12
81,80,2.0833333333333335,A,12
81,82,2.2,B1,25
81,83,2.6,B1,5
81,95,1.3333333333333333,A,6
81,96,1.625,A,16
81,317,1.6,B1,5
81,318,1.0,A,17
81,319,2.6,B2,5
81,320,1.3793103448275863,A,29
81,323,1.4,A,5
81,328,2.25,A,8
81,330,1.7142857142857142,A,7
81,340,2.0,A,5
82,31,3.1666666666666665,C1,6
82,68,2.5384615384615383,B2,13
82,69,2.3,B2,10
82,73,1.4444444444444444,A,9
82,75,2.8333333333333335,B1,6
82,76,2.5,B1,6
82,78,1.6,A,5
82,79,2.5714285714285716,A,7
82,80,2.810810810810811,B2,37
82,81,2.2083333333333335,B1,24
82,83,2.6818181818181817,B2,22
82,85,1.2,A,5
82,87,2.1,A,10
82,88,2.0,A,6
82,94,2.0,A,6
82,95,1.8181818181818181,B1,11
82,96,2.0,A,15
82,97,1.5384615384615385,A,13
82,103,1.6,A,5
82,105,2.0,A,8
82,290,3.8,B2,5
82,321,3.6666666666666665,A,6
82,322,2.0,A,5
82,323,1.6666666666666667,A,6
82,326,3.6,B2,5
82,328,2.3333333333333335,B2,6
82,341,2.3,A,10
82,342,3.0,B2,5
83,27,1.8333333333333333,B1,6
83,28,2.0,B1,9
83,30,2.2,B2,5
83,31,2.7142857142857144,B2,7
83,32,2.8333333333333335,B2,6
83,68,2.625,B1,8
83,73,2.3333333333333335,A,6
83,77,3.2222222222222223,C1,9
83,79,1.5714285714285714,A,7
83,80,3.08,C1,25
83,81,2.6,B1,5
83,82,2.727272727272727,B2,22
83,84,2.3333333333333335,B2,6
83,87,2.5454545454545454,A,22
83,88,2.090909090909091,A,11
83,89,3.857142857142857,C2,7
83,90,2.4,B2,5
