Tabela 15,,,
Empregos com Trabalho Externo ou Interno por Zona de Emprego - 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de,Empregos,,
 Emprego ,Trabalho Externo(*),Trabalho Interno, Total 
,,,
 213 ," 5,211 "," 19,481 "," 24,692 "
 214 , 993 ," 16,449 "," 17,442 "
 215 ," 2,627 "," 15,927 "," 18,553 "
 216 ," 2,118 "," 10,876 "," 12,994 "
 217 ," 1,308 "," 7,472 "," 8,780 "
 218 ," 1,346 "," 13,987 "," 15,333 "
 219 ," 1,030 "," 8,915 "," 9,945 "
 220 , 635 ," 9,033 "," 9,668 "
 221 ," 4,001 "," 20,419 "," 24,421 "
 222 ," 2,916 "," 14,466 "," 17,382 "
 223 ," 2,351 "," 7,310 "," 9,661 "
 224 , -   ," 1,354 "," 1,354 "
 225 ," 1,468 "," 17,817 "," 19,284 "
 226 ," 2,219 "," 11,123 "," 13,342 "
 227 ," 2,138 "," 19,954 "," 22,092 "
 228 ," 1,182 "," 8,089 "," 9,271 "
 229 ," 3,225 "," 20,332 "," 23,557 "
 230 , 750 ," 15,872 "," 16,622 "
 231 ," 4,238 "," 7,517 "," 11,755 "
 232 ," 2,117 "," 8,482 "," 10,599 "
 233 , 914 ," 8,470 "," 9,384 "
 234 ," 2,529 "," 13,797 "," 16,326 "
 235 ," 1,634 "," 16,155 "," 17,790 "
 236 , 582 ," 12,741 "," 13,323 "
 237 , 113 ," 13,476 "," 13,589 "
 238 , 564 ," 12,345 "," 12,909 "
 239 ," 1,453 "," 17,944 "," 19,396 "
 240 ," 2,562 "," 12,746 "," 15,309 "
 241 , 828 ," 11,429 "," 12,257 "
 242 ," 2,545 "," 15,497 "," 18,042 "
 243 ," 2,117 "," 25,209 "," 27,326 "
 244 , 982 ," 13,640 "," 14,622 "
 245 , 45 ," 4,224 "," 4,269 "
 246 , 263 ," 7,792 "," 8,055 "
 247 ," 1,647 "," 18,980 "," 20,627 "
 248 , -   , 907 , 907 
 249 ," 1,454 "," 6,359 "," 7,813 "
 250 , 671 ," 15,425 "," 16,096 "
 251 , -   ," 6,795 "," 6,795 "
 252 ," 1,418 "," 4,892 "," 6,311 "
 253 ," 1,388 "," 4,270 "," 5,658 "
 254 ," 2,254 "," 30,962 "," 33,216 "
 255 ," 4,123 "," 17,499 "," 21,622 "
 256 ," 1,883 "," 6,557 "," 8,440 "
 257 ," 1,086 "," 10,784 "," 11,869 "
 258 ," 6,476 "," 18,356 "," 24,832 "
 259 , 183 ," 5,518 "," 5,701 "
 260 ," 1,640 "," 5,642 "," 7,282 "
 261 ," 3,428 "," 19,499 "," 22,927 "
 262 ," 1,788 "," 16,175 "," 17,963 "
 263 ," 5,107 "," 16,166 "," 21,273 "
 264 ," 4,691 "," 30,575 "," 35,266 "
 265 ," 3,719 "," 14,285 "," 18,004 "
 266 , 85 ," 3,367 "," 3,452 "
 267 ," 1,791 "," 15,244 "," 17,036 "
 268 , 483 ," 8,596 "," 9,079 "
 269 ," 1,697 "," 18,691 "," 20,389 "
 270 ," 1,164 "," 11,136 "," 12,300 "
 271 ," 1,589 "," 11,148 "," 12,736 "
 272 ," 2,987 "," 12,407 "," 15,394 "
 273 ," 2,012 "," 17,741 "," 19,753 "
 274 ," 3,613 "," 38,599 "," 42,211 "
 275 ," 1,759 "," 16,577 "," 18,336 "
 276 ," 1,987 "," 14,451 "," 16,438 "
 277 ," 4,951 "," 15,161 "," 20,111 "
 278 ," 5,112 "," 20,166 "," 25,279 "
 279 ," 2,474 "," 11,835 "," 14,309 "
 280 ," 2,390 "," 19,966 "," 22,356 "
 281 , 177 ," 19,101 "," 19,278 "
 282 ," 1,606 "," 17,937 "," 19,544 "
 283 ," 1,717 "," 6,497 "," 8,214 "
 284 ," 1,341 "," 9,570 "," 10,911 "
 285 ," 6,658 "," 19,937 "," 26,594 "
 286 ," 4,467 "," 19,334 "," 23,801 "
 287 , 870 ," 17,916 "," 18,786 "
 288 ," 1,197 "," 10,202 "," 11,399 "
 289 ," 1,946 "," 18,641 "," 20,587 "
 290 ," 3,856 "," 13,019 "," 16,875 "
 291 ," 5,454 "," 17,074 "," 22,528 "
 292 ," 4,030 "," 11,438 "," 15,467 "
 293 ," 3,051 "," 17,703 "," 20,755 "
 294 ," 3,337 "," 31,252 "," 34,589 "
 295 ," 2,758 "," 33,676 "," 36,434 "
 296 , 404 ," 1,975 "," 2,379 "
 297 , 355 ," 2,407 "," 2,762 "
 298 ," 7,515 "," 51,739 "," 59,254 "
 299 , 495 ," 1,435 "," 1,931 "
 300 , -   , 86 , 86 
 301 ," 4,402 "," 116,325 "," 120,728 "
 302 ," 1,693 "," 23,820 "," 25,512 "
 303 ," 1,001 "," 26,867 "," 27,868 "
 304 ," 1,299 "," 28,754 "," 30,053 "
 305 ," 3,950 "," 21,932 "," 25,881 "
 306 ," 4,784 "," 22,456 "," 27,240 "
 307 , 436 ," 12,247 "," 12,683 "
 308 , 704 ," 21,927 "," 22,632 "
 309 , 590 ," 5,178 "," 5,768 "
 310 ," 1,372 "," 8,277 "," 9,649 "
 311 , 388 ," 6,378 "," 6,765 "
 312 , 664 ," 21,485 "," 22,149 "
 313 ," 2,571 "," 16,020 "," 18,591 "
 314 , 949 ," 4,859 "," 5,808 "
 315 ," 9,264 "," 19,061 "," 28,325 "
 316 ," 4,739 "," 21,968 "," 26,707 "
 317 ," 1,307 "," 18,672 "," 19,979 "
 318 , 258 ," 9,832 "," 10,090 "
 319 , 803 ," 20,915 "," 21,717 "
 320 , 717 ," 18,675 "," 19,392 "
 321 ," 2,300 "," 13,129 "," 15,429 "
 322 ," 1,344 "," 24,878 "," 26,222 "
 323 ," 1,853 "," 20,697 "," 22,550 "
 324 ," 2,591 "," 10,141 "," 12,732 "
 325 ," 3,998 "," 14,913 "," 18,911 "
 326 ," 3,137 "," 14,219 "," 17,356 "
 327 , 726 ," 8,142 "," 8,869 "
 328 , 16 ," 10,898 "," 10,914 "
 329 , 746 ," 13,545 "," 14,291 "
 330 ," 1,953 "," 19,668 "," 21,621 "
 331 ," 1,145 "," 12,229 "," 13,374 "
 332 ," 4,985 "," 14,312 "," 19,297 "
 333 ," 1,143 "," 16,311 "," 17,454 "
 334 , 771 ," 9,113 "," 9,884 "
