Tabela 10,,,
Matrículas Escolares por Tipo de Estabelecimento e Zona de Escola – 2023,,,
Região Metropolitana de São Paulo,,,
Pesquisa Origem e Destino 2023,,,
Companhia do Metropolitano de São Paulo ,,,
,,,
Zona de ,Matrículas Escolares por Tipo de Escola,,
Escola,Pública,Particular,Total
,,,
 192 ," 6,364 "," 1,007 "," 7,370 "
 193 , 530 , 782 ," 1,313 "
 194 ," 7,447 ", 355 ," 7,801 "
 195 ," 3,380 "," 1,485 "," 4,865 "
 196 ," 6,616 ", 881 ," 7,497 "
 197 ," 6,434 "," 2,745 "," 9,180 "
 198 ," 5,606 "," 1,510 "," 7,117 "
 199 ," 18,950 "," 2,883 "," 21,833 "
 200 ," 5,160 ", -   ," 5,160 "
 201 ," 17,471 "," 2,026 "," 19,496 "
 202 ," 9,617 "," 1,593 "," 11,210 "
 203 ," 12,124 ", -   ," 12,124 "
 204 ," 27,690 "," 1,993 "," 29,683 "
 205 ," 19,984 ", 415 ," 20,399 "
 206 ," 7,457 "," 1,535 "," 8,993 "
 207 ," 23,680 ", 902 ," 24,582 "
 208 ," 2,471 "," 4,589 "," 7,060 "
 209 ," 6,864 ", 855 ," 7,719 "
 210 ," 4,598 "," 6,411 "," 11,009 "
 211 , 633 ," 3,375 "," 4,008 "
 212 ," 7,230 ", 828 ," 8,057 "
 213 ," 4,037 "," 4,171 "," 8,208 "
 214 ," 3,280 "," 3,301 "," 6,581 "
 215 ," 2,403 "," 4,137 "," 6,540 "
 216 ," 3,447 "," 2,128 "," 5,576 "
 217 ," 5,281 "," 1,419 "," 6,701 "
 218 ," 9,716 "," 4,167 "," 13,882 "
 219 ," 7,197 "," 3,171 "," 10,368 "
 220 ," 2,516 ", 625 ," 3,141 "
 221 ," 7,142 ", 86 ," 7,227 "
 222 ," 7,406 "," 5,732 "," 13,138 "
 223 ," 3,764 "," 1,227 "," 4,991 "
 224 , 893 ," 1,088 "," 1,981 "
 225 ," 5,479 "," 1,637 "," 7,116 "
 226 ," 19,177 "," 2,376 "," 21,553 "
 227 ," 9,605 "," 2,248 "," 11,854 "
 228 ," 10,193 ", -   ," 10,193 "
 229 ," 33,961 "," 4,112 "," 38,073 "
 230 ," 17,298 ", 281 ," 17,579 "
 231 ," 6,831 ", 173 ," 7,004 "
 232 ," 14,233 ", 437 ," 14,671 "
 233 ," 13,337 ", 564 ," 13,901 "
 234 ," 11,828 "," 1,027 "," 12,855 "
 235 ," 13,093 "," 2,322 "," 15,415 "
 236 ," 2,286 "," 2,654 "," 4,940 "
 237 , 260 ," 1,416 "," 1,676 "
 238 ," 1,418 ", 980 ," 2,398 "
 239 ," 3,963 "," 9,590 "," 13,553 "
 240 , 973 ," 1,169 "," 2,143 "
 241 ," 1,516 ", -   ," 1,516 "
 242 ," 1,536 ", 183 ," 1,720 "
 243 ," 14,686 "," 3,525 "," 18,212 "
 244 ," 3,820 ", -   ," 3,820 "
 245 ," 2,142 ", 367 ," 2,509 "
 246 ," 3,411 "," 8,497 "," 11,908 "
 247 ," 12,446 ", 494 ," 12,940 "
 248 , - , - , -   
 249 ," 4,152 "," 2,172 "," 6,324 "
 250 , 601 ," 1,280 "," 1,881 "
 251 ," 2,292 ", 812 ," 3,105 "
 252 ," 2,998 ", 97 ," 3,095 "
 253 , 54 , -   , 54 
 254 ," 7,116 "," 19,163 "," 26,279 "
 255 ," 7,180 "," 2,719 "," 9,899 "
 256 ," 1,490 "," 1,198 "," 2,688 "
 257 ," 4,970 "," 1,118 "," 6,088 "
 258 ," 10,026 "," 1,939 "," 11,965 "
 259 ," 1,355 ", 741 ," 2,096 "
 260 ," 5,570 ", 264 ," 5,835 "
 261 ," 10,212 "," 1,436 "," 11,648 "
 262 ," 5,796 ", -   ," 5,796 "
 263 ," 10,362 "," 1,413 "," 11,775 "
 264 ," 7,558 "," 4,864 "," 12,422 "
 265 ," 10,345 "," 1,940 "," 12,285 "
 266 ," 2,846 ", 384 ," 3,230 "
 267 ," 7,058 ", 181 ," 7,239 "
 268 , 784 ," 2,379 "," 3,162 "
 269 , 225 ," 1,807 "," 2,032 "
 270 , -   ," 1,655 "," 1,655 "
 271 , - , - , -   
 272 ," 1,025 "," 3,466 "," 4,490 "
 273 ," 3,210 "," 4,415 "," 7,624 "
 274 ," 6,564 "," 3,499 "," 10,063 "
 275 ," 7,960 "," 4,602 "," 12,562 "
 276 ," 7,784 "," 1,972 "," 9,756 "
 277 ," 7,185 "," 2,855 "," 10,040 "
 278 ," 21,680 "," 2,726 "," 24,406 "
 279 ," 8,826 ", -   ," 8,826 "
 280 , 991 ," 10,386 "," 11,377 "
 281 ," 1,114 "," 6,387 "," 7,501 "
 282 ," 2,632 "," 3,254 "," 5,886 "
 283 , 664 , 629 ," 1,294 "
 284 ," 14,287 "," 5,585 "," 19,872 "
