Tabela 18,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo e Zona de Origem – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
,Viagens Produzidas por Motivo,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,
 80 , 464 ," 7,945 "," 25,204 "," 9,848 "," 2,242 "," 3,541 "," 5,329 ", 40 ," 1,653 "," 2,213 "," 58,479 "
 81 ," 1,836 "," 7,268 "," 30,320 "," 7,120 "," 1,481 "," 1,434 "," 5,126 ", -   ," 1,754 ", 975 ," 57,313 "
 82 ," 5,752 "," 10,132 "," 59,350 "," 10,155 "," 2,374 "," 4,320 "," 7,726 ", -   ," 5,731 "," 5,398 "," 110,938 "
 83 ," 3,880 "," 4,371 "," 30,514 "," 17,508 "," 1,617 "," 1,081 "," 4,371 ", 36 ," 2,610 "," 2,427 "," 68,414 "
 84 , 641 ," 4,012 "," 17,581 "," 18,095 "," 1,306 ", 568 ," 1,866 ", -   ," 2,554 "," 1,732 "," 48,355 "
 85 , 447 , 257 ," 3,859 "," 5,313 "," 1,132 ", 382 , 652 , -   , 635 , 340 ," 13,018 "
 86 , 395 ," 1,070 "," 3,173 "," 1,516 ", 194 , 238 , 590 , -   , 235 , -   ," 7,410 "
 87 , 270 ," 2,031 "," 15,566 "," 8,740 "," 1,416 "," 2,173 "," 3,163 ", 93 ," 3,233 ", 136 ," 36,821 "
 88 ," 2,122 "," 8,084 "," 34,741 "," 20,827 "," 3,723 "," 3,957 "," 5,379 ", -   ," 4,900 "," 1,404 "," 85,138 "
 89 , 891 , 385 ," 6,087 "," 4,098 ", 965 , 987 , 502 , -   , 497 , -   ," 14,412 "
 90 ," 1,482 "," 1,868 "," 9,311 "," 6,454 "," 1,263 "," 2,083 "," 2,195 ", -   ," 1,702 ", 240 ," 26,598 "
 91 ," 5,210 "," 5,875 "," 18,606 "," 13,474 ", 974 , 953 ," 2,617 ", 600 ," 4,154 ", 976 ," 53,438 "
 92 ," 2,004 "," 2,587 "," 20,166 "," 4,215 ", 36 , 58 ," 2,306 ", 353 ," 7,149 "," 1,624 "," 40,499 "
 93 ," 1,003 "," 4,760 "," 29,150 "," 19,602 "," 2,505 "," 2,684 "," 5,993 ", -   ," 6,636 "," 1,256 "," 73,590 "
 94 ," 2,143 "," 6,520 "," 16,030 "," 3,882 "," 1,212 "," 1,710 "," 4,772 ", 326 ," 1,122 "," 1,777 "," 39,493 "
 95 , 879 , 574 ," 12,225 "," 8,665 ", 777 , 671 ," 3,171 ", -   ," 3,581 ", 220 ," 30,764 "
 96 , 445 , 865 ," 12,950 "," 9,067 ", 914 ," 1,614 "," 1,913 ", -   , 669 , 159 ," 28,596 "
