Tabela 18,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo e Zona de Origem – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
,Viagens Produzidas por Motivo,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,
 364 ," 1,832 "," 13,623 "," 36,258 "," 35,989 "," 3,316 "," 5,873 ", 565 , -   ," 4,359 ", 122 ," 101,938 "
 365 ," 20,913 "," 2,464 "," 12,353 "," 5,739 ", 242 , 824 , 228 , -   , 139 , -   ," 42,902 "
 366 ," 4,480 "," 2,862 "," 6,742 "," 3,314 ", 79 , 197 , 145 , -   ," 1,082 ", -   ," 18,900 "
 367 ," 15,204 "," 12,844 "," 20,560 "," 21,354 "," 6,698 "," 2,735 "," 2,038 ", -   ," 1,983 ", -   ," 83,416 "
 368 ," 5,793 "," 2,888 "," 13,945 "," 23,313 "," 2,638 "," 2,320 "," 1,745 ", -   ," 1,761 ", 48 ," 54,451 "
 369 ," 15,136 "," 5,847 "," 16,032 "," 35,536 "," 1,649 "," 5,176 "," 2,090 ", -   ," 2,169 "," 1,020 "," 84,654 "
 370 ," 6,998 "," 13,107 "," 18,000 "," 39,365 "," 3,795 "," 1,951 "," 3,692 ", -   ," 3,339 ", -   ," 90,247 "
 371 ," 6,222 "," 26,141 "," 41,196 "," 53,071 "," 6,439 ", 377 ," 1,578 ", -   ," 2,076 ", -   ," 137,102 "
 372 ," 3,663 "," 12,094 "," 17,589 "," 34,213 "," 5,343 "," 1,360 "," 4,162 ", -   ," 1,956 ", -   ," 80,381 "
 373 ," 2,627 "," 8,454 "," 14,077 "," 28,406 ", 887 ," 1,510 ", 587 , -   , 541 , 22 ," 57,113 "
 374 ," 2,851 "," 10,351 "," 24,379 "," 34,273 "," 6,567 ", 666 , 194 , -   ," 1,241 ", -   ," 80,521 "
 375 ," 2,359 ", 350 ," 29,341 ", -   , 454 , -   ," 4,326 ", 115 ," 1,722 ", -   ," 38,668 "
 376 ," 26,144 "," 7,508 "," 28,589 "," 43,134 "," 2,496 "," 11,840 ", 353 , -   ," 7,514 ", 207 ," 127,786 "
 377 ," 20,339 "," 1,771 "," 16,576 "," 37,730 ", 304 ," 2,463 ", 283 , 115 ," 3,187 ", -   ," 82,768 "
 378 ," 32,211 "," 15,142 "," 47,662 "," 111,534 "," 12,796 "," 11,479 "," 6,746 "," 1,038 "," 7,114 ", 158 ," 245,879 "
 379 ," 25,857 "," 7,618 "," 34,062 "," 60,458 "," 4,050 "," 7,930 "," 3,086 ", -   ," 3,554 ", 484 ," 147,099 "
 380 ," 7,986 "," 13,966 "," 13,197 "," 24,185 "," 7,160 "," 2,901 ", 539 , -   , -   , -   ," 69,936 "
 381 ," 11,765 "," 13,012 "," 22,479 "," 52,226 "," 12,393 "," 4,845 "," 1,719 ", -   ," 5,388 ", -   ," 123,827 "
 382 , - , - , - , - , - , - , - , - , - , - , -   
 383 ," 10,840 "," 11,409 "," 21,158 "," 47,457 "," 6,633 "," 11,435 "," 3,071 ", -   ," 4,010 ", -   ," 116,013 "
 384 ," 3,230 "," 11,866 "," 28,799 "," 49,875 "," 7,911 "," 5,689 ", 635 , -   ," 3,314 ", -   ," 111,320 "
 385 ," 2,918 "," 2,892 "," 8,027 "," 13,052 ", 458 , 68 , 463 , -   , 970 , -   ," 28,850 "
 386 , - , - , - , - , - , - , - , - , - , - , -   
 387 ," 4,122 ", 348 ," 2,038 "," 2,137 ", 382 , 290 , 105 , -   , -   , -   ," 9,422 "
 388 ," 25,929 "," 13,008 "," 39,024 "," 44,662 "," 7,417 "," 4,647 "," 1,483 ", 783 ," 1,019 ", -   ," 137,974 "
 389 ," 2,144 "," 2,250 "," 4,704 "," 1,458 ", 496 , 307 , -   , -   , 39 , -   ," 11,399 "
 390 ," 8,251 "," 3,130 "," 21,612 "," 32,113 "," 3,504 "," 3,623 ", 897 , 223 , 481 , -   ," 73,835 "
 391 ," 1,919 ", 384 ," 2,390 "," 2,605 ", 996 , 840 , 484 , -   , 330 , -   ," 9,947 "
 392 , -   , 220 , -   , -   , -   , -   , -   , -   , -   , -   , 220 
 393 , 367 , -   , 265 , -   , -   , -   , -   , -   , -   , -   , 632 
 394 ," 8,672 "," 11,445 "," 33,883 "," 66,890 "," 7,455 "," 10,244 "," 4,870 ", -   ," 6,899 ", -   ," 150,359 "
 395 , -   , 412 , -   , -   , -   , -   , -   , -   , -   , -   , 412 
 396 ," 18,534 "," 15,910 "," 32,698 "," 60,755 "," 3,827 "," 2,452 "," 2,924 ", -   ," 8,394 ", 591 ," 146,084 "
 397 ," 2,698 "," 1,858 "," 9,013 "," 16,095 ", 687 , 679 , 515 , -   ," 1,395 ", 441 ," 33,380 "
 398 ," 18,560 "," 30,069 "," 33,405 "," 62,082 "," 6,558 "," 5,897 "," 7,060 "," 3,007 "," 7,235 "," 2,252 "," 176,126 "
 399 ," 15,914 "," 16,351 "," 27,100 "," 76,412 "," 5,173 "," 4,291 "," 7,215 ", 827 ," 6,927 ", -   ," 160,211 "
 400 ," 13,642 "," 7,287 "," 27,042 "," 57,952 "," 6,050 "," 8,918 "," 6,525 ", -   ," 10,962 ", 381 ," 138,759 "
 401 ," 25,446 "," 14,872 "," 23,835 "," 78,099 "," 7,909 "," 7,601 ", 492 ," 1,655 "," 4,410 ", 52 ," 164,372 "
 402 ," 18,956 "," 9,665 "," 15,827 "," 49,906 "," 2,234 "," 3,995 "," 3,254 ", -   ," 4,925 ", -   ," 108,762 "
 403 ," 28,655 "," 19,813 "," 25,774 "," 89,644 "," 9,661 "," 4,866 "," 4,308 ", -   ," 5,787 "," 1,439 "," 189,948 "
 404 ," 23,706 "," 23,246 "," 92,176 "," 141,473 "," 18,736 "," 20,581 "," 18,056 "," 3,007 "," 20,325 "," 1,444 "," 362,750 "
 405 ," 9,737 "," 4,476 "," 6,002 "," 19,727 ", 737 , 490 ," 1,094 ", -   ," 1,764 ", -   ," 44,026 "
 406 ," 2,641 "," 1,255 "," 6,924 "," 9,545 "," 2,072 ", 192 , 645 , -   , 522 , -   ," 23,797 "
 407 ," 16,756 "," 11,020 "," 35,668 "," 64,391 "," 4,420 "," 13,533 "," 6,155 ", 147 ," 9,065 "," 1,270 "," 162,424 "
 408 ," 7,564 "," 8,876 "," 24,278 "," 31,916 "," 2,777 "," 2,304 "," 1,447 ", -   ," 1,373 ", 331 ," 80,866 "
 409 ," 3,181 "," 4,321 "," 22,846 "," 24,308 "," 6,052 ", 149 ," 3,836 ", -   ," 2,177 ", 218 ," 67,089 "
 410 ," 25,898 "," 13,058 "," 40,953 "," 49,977 ", 800 ," 4,551 ", 836 , -   ," 9,627 ", -   ," 145,700 "
 411 ," 7,718 "," 8,072 "," 14,242 "," 34,403 ", -   ," 3,031 "," 1,897 ", -   ," 4,459 ", -   ," 73,822 "
 412 ," 2,733 "," 2,287 "," 8,813 "," 12,050 ", 20 , 544 , -   , -   ," 3,505 ", -   ," 29,952 "
 413 ," 3,681 "," 1,513 "," 3,914 "," 4,660 ", 216 , 630 , 914 , 147 ," 1,803 ", -   ," 17,478 "
 414 ," 3,075 "," 1,252 "," 2,760 "," 6,078 ", 619 ," 1,631 ", 488 , -   ," 1,448 ", -   ," 17,351 "
 415 ," 5,139 "," 9,860 "," 17,516 "," 16,838 "," 2,578 "," 1,244 ", 971 , -   ," 1,320 ", 281 ," 55,747 "
 416 ," 1,859 "," 1,507 "," 7,027 "," 9,974 ", -   , 390 ," 1,026 ", -   , 873 , -   ," 22,657 "
 417 , -   , -   , 261 , -   , -   , -   , -   , -   , 178 , -   , 439 
 418 ," 1,234 "," 3,044 "," 6,147 "," 13,539 ", 368 ," 1,903 ", 470 , -   ," 3,768 ", -   ," 30,474 "
 419 , 31 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31 
 420 , 642 ," 1,388 "," 4,077 "," 7,038 "," 2,197 ", 111 , 501 , -   , 762 , -   ," 16,716 "
 421 , -   , -   , -   , -   , -   , -   , 104 , -   , -   , -   , 104 
 422 ," 4,818 "," 3,341 "," 12,469 "," 21,274 "," 1,315 "," 1,395 "," 1,550 ", -   ," 1,832 ", -   ," 47,994 "
 423 , - , - , - , - , - , - , - , - , - , - , -   
 424 ," 3,921 "," 14,485 "," 27,884 "," 42,506 "," 6,380 "," 10,383 "," 2,698 ", -   ," 3,620 "," 1,517 "," 113,394 "
 425 ," 3,502 "," 8,493 "," 31,648 "," 32,209 "," 6,072 "," 5,061 "," 1,847 ", -   ," 5,383 ", 763 ," 94,977 "
 426 ," 3,004 "," 4,002 "," 12,523 "," 32,992 "," 6,463 "," 4,135 "," 2,469 ", -   ," 5,969 ", -   ," 71,556 "
 427 ," 1,205 "," 2,667 "," 10,664 "," 6,919 "," 4,637 "," 1,619 "," 1,843 ", -   , 805 , 518 ," 30,877 "
 428 ," 22,472 "," 4,825 "," 22,236 "," 12,139 "," 2,534 "," 3,311 "," 2,476 ", -   ," 3,733 ", 340 ," 74,066 "
 429 ," 12,385 "," 27,169 "," 84,990 "," 59,929 "," 13,216 "," 21,245 "," 8,587 "," 2,852 "," 17,027 "," 6,528 "," 253,928 "
 430 ," 3,229 "," 4,912 "," 17,074 "," 10,158 "," 4,663 "," 2,266 "," 4,163 ", -   ," 3,177 "," 1,535 "," 51,178 "
 431 ," 1,971 "," 2,691 "," 8,420 "," 22,383 "," 2,081 "," 1,708 ", 963 , -   ," 1,904 "," 1,966 "," 44,088 "
 432 , 581 ," 4,711 "," 7,098 "," 8,290 "," 3,836 "," 1,138 ", 426 , -   ," 1,610 ", 113 ," 27,801 "
 433 ," 1,242 "," 5,715 "," 19,693 "," 17,740 ", -   ," 3,332 ", 772 , -   ," 1,827 ", -   ," 50,321 "
 434 ," 6,086 "," 9,195 "," 22,065 "," 21,101 "," 5,974 "," 2,637 "," 3,085 ", -   ," 3,442 ", 973 ," 74,560 "
 435 ," 6,524 "," 8,745 "," 15,476 "," 32,153 "," 3,142 "," 2,534 "," 3,435 ", -   ," 2,626 ", -   ," 74,635 "
 436 ," 9,275 "," 10,289 "," 14,063 "," 24,385 "," 1,064 "," 1,958 "," 2,341 ", 415 ," 4,011 ", -   ," 67,801 "
 437 ," 8,775 "," 4,422 "," 17,141 "," 28,284 "," 4,028 "," 1,217 ", 321 , 436 ," 2,359 ", -   ," 66,982 "
 438 ," 20,144 "," 19,383 "," 47,160 "," 44,390 "," 11,455 "," 11,473 "," 2,596 ", -   ," 11,669 "," 1,060 "," 169,328 "
 439 ," 7,556 "," 15,047 "," 55,062 "," 57,648 "," 7,134 "," 17,987 "," 10,650 ", -   ," 9,632 "," 2,240 "," 182,954 "
 440 ," 16,368 "," 13,783 "," 26,508 "," 60,749 "," 4,984 "," 7,830 "," 13,640 "," 1,491 ", 805 ," 1,682 "," 147,840 "
 441 , 460 , 61 ," 1,378 ", 812 , 28 , 142 , 67 , 25 , -   , -   ," 2,973 "
 442 ," 28,703 "," 6,628 "," 23,096 "," 26,670 "," 3,025 "," 2,592 "," 1,590 ", 732 ," 1,711 "," 1,966 "," 96,712 "
 443 ," 18,976 "," 27,351 "," 47,406 "," 83,448 "," 13,249 "," 15,487 "," 9,556 "," 2,827 "," 10,416 "," 3,509 "," 232,224 "
 444 ," 16,619 "," 15,682 "," 49,448 "," 43,780 "," 14,355 "," 8,126 "," 7,327 "," 1,328 "," 5,229 ", 319 ," 162,212 "
 445 ," 5,177 "," 5,488 "," 32,088 "," 39,160 "," 3,398 "," 1,393 "," 6,791 ", -   , 542 , -   ," 94,037 "
 446 ," 2,761 "," 3,632 "," 2,742 "," 7,642 ", 927 , 875 ," 1,521 ", 884 , 462 , -   ," 21,446 "
 447 ," 11,073 "," 16,058 "," 42,678 "," 46,044 "," 13,423 "," 2,673 "," 2,430 ", 972 ," 2,885 ", 555 ," 138,792 "
 448 ," 5,549 "," 1,151 "," 6,724 "," 8,022 ", 727 ," 1,589 ", 553 , 175 , 589 , 438 ," 25,518 "
 449 ," 1,996 "," 1,070 "," 4,470 "," 4,157 "," 1,113 ", 119 , 525 , 250 ," 1,556 ", 183 ," 15,438 "
 450 ," 1,910 "," 2,319 "," 4,585 "," 4,905 ", 510 , 135 , 227 , -   ," 1,581 ", 897 ," 17,069 "
 451 ," 5,346 "," 9,834 "," 15,970 "," 19,141 "," 2,463 ", 794 ," 2,500 ", -   , 381 , 801 ," 57,231 "
 452 ," 30,635 "," 11,794 "," 38,938 "," 66,452 "," 14,257 "," 6,824 "," 6,500 ", -   ," 10,119 ", -   ," 185,520 "
 453 ," 13,950 "," 12,023 "," 28,096 "," 34,395 "," 3,199 "," 1,615 "," 1,701 ", 548 ," 12,369 "," 2,125 "," 110,022 "
 454 ," 5,978 "," 10,461 "," 27,479 "," 39,158 "," 9,175 "," 4,213 "," 3,633 ", 220 ," 8,884 ", 875 ," 110,076 "
 455 ," 4,910 "," 12,377 "," 25,001 "," 48,772 "," 8,390 "," 9,311 "," 2,170 ", -   ," 10,209 ", 645 ," 121,785 "
 456 ," 9,427 "," 18,951 "," 71,421 "," 58,443 "," 25,310 "," 17,413 "," 11,332 "," 1,747 "," 12,211 ", 953 ," 227,207 "
 457 ," 21,214 "," 18,220 "," 41,987 "," 81,661 "," 19,490 "," 9,819 "," 9,093 ", 116 ," 7,111 "," 1,002 "," 209,712 "
 458 ," 17,369 "," 10,260 "," 28,765 "," 61,446 "," 13,631 "," 17,456 "," 11,685 ", -   ," 9,185 "," 1,188 "," 170,984 "
 459 ," 10,022 "," 4,705 "," 15,687 "," 18,688 "," 1,002 "," 3,023 "," 1,349 ", 220 ," 1,308 ", -   ," 56,003 "
 460 ," 4,121 "," 2,257 "," 3,778 "," 6,437 "," 2,032 "," 1,779 "," 1,828 ", -   , 874 , -   ," 23,107 "
 461 , 62 , -   , 760 , -   , -   , -   ," 1,609 ", -   , 757 , -   ," 3,188 "
 462 ," 26,762 "," 11,790 "," 42,967 "," 79,308 "," 8,955 "," 9,032 "," 4,495 ", -   ," 7,387 ", 111 ," 190,808 "
 463 ," 12,174 "," 16,894 "," 50,760 "," 49,389 "," 12,303 "," 10,178 "," 6,435 ", -   ," 12,090 "," 5,271 "," 175,494 "
 464 ," 14,658 "," 9,606 "," 14,779 "," 58,071 "," 13,989 "," 7,101 "," 1,777 ", -   ," 12,215 ", -   ," 132,195 "
 465 ," 43,625 "," 12,070 "," 23,298 "," 68,323 "," 7,245 "," 6,643 "," 1,888 ", -   ," 2,881 "," 1,975 "," 167,947 "
 466 ," 16,234 "," 7,101 "," 12,203 "," 48,259 "," 4,677 "," 3,763 "," 6,948 ", -   ," 4,212 ", -   ," 103,397 "
 467 ," 20,553 "," 4,064 "," 17,369 "," 35,173 "," 3,819 "," 3,454 "," 2,858 ", -   ," 9,644 ", -   ," 96,933 "
 468 ," 3,097 "," 5,902 "," 43,593 "," 52,949 "," 5,734 "," 5,797 "," 7,167 ", -   ," 7,715 ", 635 ," 132,589 "
 469 ," 3,857 ", 499 ," 15,504 "," 27,794 ", 345 ," 2,029 ", 47 , 251 ," 1,167 ", -   ," 51,495 "
 470 ," 3,436 "," 4,056 "," 20,871 "," 72,949 "," 1,349 "," 3,304 ", 207 , -   ," 5,641 ", -   ," 111,813 "
 471 ," 2,371 "," 3,122 "," 18,162 "," 28,811 ", 619 ," 1,261 ", 212 , -   ," 5,130 ", -   ," 59,689 "
 472 ," 3,374 "," 10,693 "," 12,664 "," 36,083 ", 298 ," 1,412 ", -   , 604 ," 5,759 ", -   ," 70,888 "
 473 ," 8,502 "," 10,631 "," 30,194 "," 94,557 "," 8,068 "," 5,562 "," 12,118 ", 38 ," 19,748 ", -   ," 189,418 "
 474 ," 14,961 "," 11,179 "," 20,911 "," 30,088 "," 2,831 "," 1,946 ", 273 , -   ," 7,930 ", 558 ," 90,677 "
 475 ," 4,558 "," 1,562 "," 6,838 "," 7,884 "," 1,104 ", 109 ," 1,615 ", -   , 641 , -   ," 24,311 "
 476 ," 1,938 "," 10,317 "," 44,688 "," 101,934 "," 3,161 "," 7,189 "," 4,401 ", 159 ," 6,574 ", 476 ," 180,837 "
 477 , 233 , 150 ," 1,262 "," 2,674 ", 202 , 150 , -   , -   , 86 , -   ," 4,758 "
 478 , 688 , 250 ," 3,081 "," 4,530 ", 16 , 202 , -   , 38 , 136 , 631 ," 9,574 "
 479 , 157 , 496 ," 8,705 "," 6,893 ", 598 , 501 , -   , -   ," 1,254 ", -   ," 18,603 "
 480 ," 3,958 "," 3,704 "," 18,452 "," 15,139 "," 4,854 "," 7,733 ", 479 , -   ," 2,487 ", 113 ," 56,919 "
 481 ," 1,416 ", 681 ," 8,985 "," 11,340 ", 389 ," 1,543 "," 1,285 ", 160 , 845 , -   ," 26,646 "
 482 , 598 , 70 ," 1,598 "," 2,620 ", 566 , 116 , 525 , -   , 532 , -   ," 6,625 "
 483 ," 1,713 "," 2,045 "," 8,133 "," 15,135 ", 667 ," 1,881 ", 292 , 362 ," 2,477 ", -   ," 32,707 "
 484 , - , - , - , - , - , - , - , - , - , - , -   
 485 , - , - , - , - , - , - , - , - , - , - , -   
 486 ," 22,470 "," 12,583 "," 70,345 "," 78,642 "," 6,509 "," 7,007 "," 15,617 ", -   ," 5,719 ", 492 ," 219,384 "
 487 ," 14,935 "," 7,534 "," 46,425 "," 50,668 "," 1,015 "," 1,543 "," 1,089 ", -   ," 1,489 ", 101 ," 124,800 "
 488 ," 14,763 "," 7,724 "," 38,950 "," 4,166 "," 1,998 "," 1,132 "," 4,350 ", 221 ," 1,373 "," 2,131 "," 76,809 "
 489 , 251 ," 1,404 "," 2,773 ", 508 , 287 , 128 , -   , -   , -   , -   ," 5,350 "
 490 ," 3,644 "," 5,094 "," 20,014 "," 34,065 "," 3,394 ", -   ," 1,092 ", -   ," 1,402 ", -   ," 68,706 "
 491 ," 3,152 "," 8,538 "," 21,056 "," 38,803 "," 1,473 ", 770 ," 7,845 ", -   , 129 , -   ," 81,766 "
 492 ," 3,197 "," 2,800 "," 10,753 "," 20,926 "," 1,277 "," 2,863 "," 3,828 ", 221 ," 2,028 ", -   ," 47,895 "
 493 ," 1,314 "," 1,338 "," 5,624 "," 3,825 ", 331 , 132 , 542 , -   , 33 , 11 ," 13,152 "
 494 ," 8,031 "," 11,278 "," 31,160 "," 68,910 "," 3,666 "," 3,370 "," 5,896 ", -   ," 4,801 ", 646 ," 137,757 "
 495 ," 10,234 "," 11,416 "," 30,100 "," 47,054 "," 8,081 "," 8,361 "," 5,114 ", -   ," 8,897 ", -   ," 129,257 "
 496 ," 4,567 "," 9,412 "," 27,614 "," 25,181 "," 3,447 "," 2,460 "," 4,853 ", 600 ," 8,177 ", -   ," 86,312 "
 497 ," 9,525 "," 5,896 "," 13,335 "," 21,503 "," 2,930 ", 885 ," 2,879 ", 771 , 883 , -   ," 58,608 "
 498 ," 4,874 "," 8,385 "," 11,161 "," 31,104 "," 3,494 ", 641 ," 2,882 ", -   ," 3,996 ", -   ," 66,537 "
 499 ," 4,742 "," 10,853 "," 35,881 "," 14,587 "," 5,237 "," 8,826 ", 817 ," 1,781 "," 4,783 ", 944 ," 88,452 "
 500 ," 1,624 "," 9,585 "," 21,918 "," 24,665 "," 4,679 ", 719 ," 3,134 ", -   ," 3,968 ", 293 ," 70,584 "
 501 ," 2,772 "," 4,952 "," 15,504 "," 24,381 "," 2,479 "," 2,087 "," 5,273 ", -   ," 4,945 ", 533 ," 62,926 "
 502 ," 2,006 "," 6,610 "," 46,594 "," 40,131 "," 3,868 "," 5,002 "," 2,209 ", -   ," 6,636 ", 384 ," 113,440 "
 503 ," 2,993 "," 7,475 "," 11,276 "," 18,068 ", 604 ," 1,091 ", 550 , -   , 318 , -   ," 42,374 "
 504 ," 4,520 "," 4,946 "," 31,502 "," 48,261 ", 503 ," 1,115 "," 1,162 ", -   , 137 , -   ," 92,145 "
 505 ," 2,788 "," 13,304 "," 34,895 "," 66,496 ", -   ," 1,105 "," 4,319 ", 317 , 606 , -   ," 123,832 "
 506 ," 2,790 "," 10,921 "," 23,257 "," 46,260 "," 8,588 "," 1,684 ", 755 , -   ," 9,473 ", 392 ," 104,119 "
 507 ," 1,279 "," 1,769 "," 9,299 "," 7,005 ", 821 , 475 , 311 , -   , 330 , -   ," 21,289 "
 508 ," 3,293 "," 3,681 "," 13,504 "," 7,403 "," 1,461 ", 648 , 918 , -   , 742 , 821 ," 32,470 "
 509 ," 5,327 "," 10,035 "," 34,942 "," 52,338 "," 3,831 "," 1,962 "," 1,969 ", 224 ," 6,388 ", 129 ," 117,145 "
 510 ," 4,949 "," 6,377 "," 17,254 "," 26,448 ", 509 ," 3,346 ", 336 , -   ," 1,179 ", -   ," 60,397 "
 511 ," 1,623 "," 8,219 "," 27,541 "," 20,637 "," 3,622 "," 2,100 ", 336 ," 1,740 ", 266 , -   ," 66,084 "
 512 ," 7,361 "," 7,410 "," 15,566 "," 13,400 ", 408 , 392 , 88 , 288 ," 1,281 ", -   ," 46,193 "
 513 ," 8,420 ", 401 ," 7,068 "," 8,055 ", 67 , 536 , 577 , -   , 560 , -   ," 25,684 "
 514 ," 16,745 "," 4,648 "," 31,491 "," 51,494 "," 5,867 ", 626 ," 4,062 ", -   ," 6,594 ", -   ," 121,525 "
 515 , 935 , 718 ," 3,441 "," 4,980 ", 686 , 181 , 256 , -   , 235 , -   ," 11,431 "
 516 ," 6,036 "," 4,543 "," 23,843 "," 25,723 "," 4,026 ", 327 ," 1,120 ", -   ," 2,626 ", 383 ," 68,627 "
 517 ," 14,866 "," 3,608 "," 17,286 "," 15,592 "," 1,981 "," 1,742 "," 1,319 ", 983 ," 2,019 ", -   ," 59,395 "
 518 ," 21,501 "," 15,695 "," 53,650 "," 54,040 "," 8,411 "," 2,665 "," 4,836 ", -   ," 15,399 "," 1,088 "," 177,283 "
 519 ," 1,072 ", 48 ," 2,666 "," 3,448 ", 444 ," 1,231 ", -   , -   , 698 , -   ," 9,608 "
 520 , -   , -   , 119 , -   , -   , 873 , -   , -   , -   , -   , 991 
 521 ," 6,265 "," 3,929 "," 17,566 "," 9,307 ", 336 ," 2,769 ", 39 , 983 ," 2,806 ", -   ," 44,000 "
 522 ," 14,488 "," 3,240 "," 26,005 "," 31,577 "," 5,783 ", 240 ," 1,796 ", -   ," 2,353 ", -   ," 85,483 "
 523 , 366 , -   ," 2,652 "," 3,843 ", 162 , 144 , 809 , -   , 231 , -   ," 8,207 "
 524 ," 8,344 "," 8,595 "," 33,213 "," 80,409 "," 2,602 "," 1,300 "," 15,398 ", -   ," 8,439 ", -   ," 158,300 "
 525 ," 20,105 "," 7,002 "," 41,719 "," 97,691 "," 7,562 "," 10,373 "," 5,117 ", -   ," 1,800 ", -   ," 191,369 "
 526 ," 27,969 "," 16,897 "," 62,372 "," 107,189 "," 2,783 "," 2,361 "," 3,165 ", -   ," 4,247 ", -   ," 226,982 "
 527 ," 1,600 "," 1,014 "," 6,423 "," 18,754 ", 86 ," 1,446 ", 242 , -   , 876 , -   ," 30,441 "
,,,,,,,,,,,
 Total RMSP ," 2,454,766 "," 3,334,605 "," 10,687,154 "," 12,901,173 "," 1,524,821 "," 1,584,483 "," 1,272,281 "," 70,855 "," 1,574,943 "," 255,983 "," 35,661,062 "
,,,,,,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,,,,,,,
