Tabela 3,,,,,,
População por Grau de Instrução e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
,População por Grau de Instrução,,,,,
Zona de Residência,Não Alfabetizado/ Fundamental I Incompleto,Fundamental I Completo/ Fundamental II Incompleto,Fundamental II Completo/ Médio Incompleto,Médio Completo/ Superior Incompleto,Superior Completo,Total
,,,,,,
238," 3,260 "," 2,073 "," 2,012 "," 6,351 "," 6,327 "," 20,023 "
239, 572 ," 1,462 "," 1,153 "," 5,205 "," 6,373 "," 14,764 "
240," 1,624 "," 1,660 "," 2,056 "," 5,201 "," 9,915 "," 20,456 "
241," 1,309 "," 1,126 "," 1,363 "," 3,259 "," 3,807 "," 10,864 "
242," 6,317 "," 2,719 "," 6,485 "," 11,747 "," 2,629 "," 29,897 "
243," 6,595 "," 4,962 "," 4,323 "," 17,419 "," 12,495 "," 45,794 "
244," 6,562 "," 9,619 "," 19,008 "," 27,089 "," 4,902 "," 67,180 "
245," 3,452 "," 2,106 "," 2,018 "," 14,843 "," 2,662 "," 25,081 "
246," 2,560 "," 2,361 "," 3,647 "," 14,267 "," 7,361 "," 30,196 "
247," 9,995 "," 7,743 "," 19,210 "," 42,572 "," 20,160 "," 99,681 "
248, - , - , - , - , - , -   
249," 7,548 "," 5,022 "," 5,464 "," 16,042 "," 5,043 "," 39,120 "
250," 2,055 "," 1,532 "," 1,639 "," 3,931 "," 10,730 "," 19,888 "
251," 2,979 "," 1,573 "," 1,568 "," 11,764 "," 7,146 "," 25,031 "
252," 3,105 "," 1,175 "," 1,673 "," 6,853 "," 8,880 "," 21,686 "
253, 955 ," 1,007 "," 1,326 "," 1,740 ", 577 ," 5,606 "
254," 3,008 "," 2,206 "," 3,621 "," 9,748 "," 16,575 "," 35,158 "
255," 9,861 "," 7,628 "," 11,627 "," 20,717 "," 17,719 "," 67,552 "
256," 4,807 "," 2,484 "," 3,899 "," 8,009 "," 8,683 "," 27,883 "
257," 3,288 "," 5,669 "," 4,187 "," 18,325 "," 12,924 "," 44,393 "
258," 8,795 "," 7,556 "," 11,104 "," 31,546 "," 10,191 "," 69,192 "
259," 5,798 "," 5,765 "," 6,265 "," 14,023 "," 2,849 "," 34,701 "
260," 5,869 "," 3,214 "," 4,381 "," 21,196 "," 8,615 "," 43,276 "
261," 11,113 "," 13,923 "," 7,634 "," 14,862 "," 5,947 "," 53,479 "
262," 25,848 "," 6,853 "," 8,236 "," 30,517 "," 7,723 "," 79,176 "
263," 13,598 "," 12,091 "," 9,097 "," 23,619 "," 4,305 "," 62,710 "
264," 11,333 "," 6,377 "," 18,707 "," 21,815 "," 6,074 "," 64,306 "
265," 7,061 "," 6,162 "," 5,159 "," 21,657 "," 2,799 "," 42,838 "
266," 3,883 "," 2,897 "," 1,127 "," 8,057 "," 4,050 "," 20,014 "
267," 3,248 "," 3,106 "," 5,135 "," 16,380 "," 4,523 "," 32,392 "
268," 1,523 "," 1,058 ", 914 ," 2,751 "," 6,657 "," 12,903 "
269," 2,762 "," 1,053 "," 2,178 "," 5,127 "," 18,231 "," 29,352 "
270," 1,002 ", 515 , 633 ," 2,443 "," 4,893 "," 9,486 "
271, - , - , - , - , - , -   
272," 2,316 "," 1,970 ", 984 ," 5,544 "," 10,269 "," 21,083 "
273," 6,637 "," 7,370 "," 7,454 "," 18,887 "," 21,517 "," 61,865 "
274," 3,143 "," 4,937 "," 3,751 "," 10,529 "," 9,451 "," 31,810 "
275," 4,822 "," 3,243 "," 2,857 "," 10,970 "," 16,561 "," 38,452 "
276," 18,053 "," 15,660 "," 10,038 "," 29,602 "," 14,828 "," 88,181 "
277," 6,346 "," 2,606 "," 4,388 "," 21,377 "," 22,911 "," 57,629 "
278," 27,184 "," 23,318 "," 17,773 "," 45,133 "," 9,539 "," 122,947 "
279," 14,968 "," 13,023 "," 14,451 "," 23,466 "," 8,925 "," 74,833 "
280," 2,429 ", 772 ," 2,548 "," 9,537 "," 10,276 "," 25,563 "
281," 3,767 "," 1,844 "," 2,574 "," 7,927 "," 23,533 "," 39,645 "
282," 3,681 "," 3,577 "," 2,080 "," 10,314 "," 16,582 "," 36,235 "
283," 1,654 ", 439 ," 1,728 "," 3,947 "," 9,594 "," 17,362 "
284," 9,930 "," 5,499 "," 11,217 "," 20,087 "," 5,720 "," 52,453 "
285," 23,264 "," 15,974 "," 19,971 "," 48,532 "," 7,456 "," 115,198 "
286," 1,097 "," 1,176 "," 1,474 "," 4,061 "," 3,703 "," 11,511 "
287," 4,960 "," 2,465 "," 3,341 "," 6,029 "," 10,691 "," 27,485 "
288," 3,146 ", 412 ," 2,199 "," 7,215 "," 5,289 "," 18,261 "
289," 7,507 "," 6,937 "," 3,711 "," 16,837 "," 9,854 "," 44,846 "
290," 10,331 "," 10,013 "," 4,718 "," 20,456 "," 7,362 "," 52,880 "
291," 17,181 "," 7,866 "," 6,221 "," 27,651 "," 12,087 "," 71,006 "
292," 13,592 "," 9,185 "," 7,879 "," 24,114 "," 10,309 "," 65,079 "
293," 16,581 "," 12,784 "," 7,996 "," 24,249 "," 15,293 "," 76,903 "
294," 33,424 "," 13,173 "," 9,628 "," 40,653 "," 4,893 "," 101,771 "
295," 37,966 "," 15,324 "," 20,226 "," 45,351 "," 10,475 "," 129,341 "
296," 5,884 "," 3,203 "," 3,166 "," 7,470 "," 1,619 "," 21,341 "
297," 1,427 ", 442 , 449 ," 3,377 ", 626 ," 6,321 "
298," 47,468 "," 18,808 "," 23,856 "," 54,116 "," 6,945 "," 151,193 "
299," 3,215 "," 2,231 "," 1,697 "," 3,477 "," 1,108 "," 11,727 "
300, - , - , - , - , - , -   
301," 3,372 "," 2,105 "," 3,551 "," 12,930 "," 19,729 "," 41,686 "
302," 1,400 ", 639 , 430 ," 1,431 "," 8,651 "," 12,550 "
303," 2,324 ", 565 ," 2,336 "," 4,709 "," 9,073 "," 19,007 "
304," 1,643 ", 946 ," 1,289 "," 3,612 "," 6,737 "," 14,227 "
305," 13,200 "," 11,626 "," 13,819 "," 25,706 "," 9,053 "," 73,405 "
306," 23,794 "," 15,534 "," 16,996 "," 38,659 "," 18,667 "," 113,649 "
307," 19,914 "," 7,031 "," 9,691 "," 39,398 "," 2,733 "," 78,768 "
308," 30,188 "," 25,243 "," 17,920 "," 35,151 "," 5,643 "," 114,145 "
309," 8,461 "," 8,214 "," 8,632 "," 11,589 "," 2,636 "," 39,532 "
310," 20,184 "," 6,517 "," 6,352 "," 20,883 "," 6,928 "," 60,864 "
311," 5,238 "," 3,845 "," 4,583 "," 10,305 "," 2,009 "," 25,981 "
312," 21,118 "," 14,504 "," 16,347 "," 22,645 "," 4,034 "," 78,648 "
313," 6,316 "," 4,706 "," 4,235 "," 12,392 "," 12,277 "," 39,927 "
314," 4,771 "," 3,418 "," 1,961 "," 8,623 "," 2,259 "," 21,032 "
315," 25,052 "," 18,509 "," 8,425 "," 31,727 "," 12,648 "," 96,360 "
316," 27,024 "," 18,439 "," 19,930 "," 40,459 "," 14,323 "," 120,175 "
317," 1,643 "," 1,018 ", 458 ," 2,871 "," 6,879 "," 12,869 "
318, 343 , 202 , 91 , 550 ," 1,459 "," 2,645 "
319," 3,412 "," 1,863 "," 3,130 "," 4,614 "," 8,047 "," 21,066 "
320," 1,244 ", 585 , 414 ," 1,868 "," 4,084 "," 8,196 "
321," 15,248 "," 17,315 "," 12,684 "," 20,210 "," 8,900 "," 74,358 "
322," 5,709 "," 2,396 "," 2,822 "," 7,151 "," 21,885 "," 39,963 "
323," 7,747 "," 2,883 "," 2,920 "," 11,943 "," 33,046 "," 58,539 "
324," 16,363 "," 6,693 "," 8,397 "," 20,663 "," 17,614 "," 69,730 "
