Tabela 1,,,,,,,,,,
Dados Gerais por Zona de Pesquisa – 2023,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,, ,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,
,,,,,,,,,,
,,,,,Matrículas,,Automóveis,Viagens,Viagens,
Zona ,Nome,Domicílios,Famílias,População,Escolares,Empregos,Particulares,Produzidas,Atraidas,Área (ha)
,,,,,,,,,,
168,Chácara do Piqueri,"10,658","10,658"," 25,381 "," 6,385 "," 26,525 ","9,353","73,784","73,069", 199 
169,Parque São Jorge,"11,758","11,758"," 29,171 "," 41,403 "," 23,461 ","7,906","101,975","101,809", 252 
170,Penha,"15,419","15,419"," 42,167 "," 13,837 "," 34,375 ","9,372","116,173","115,155", 384 
171,Tiquatira,"14,961","14,961"," 39,115 "," 11,286 "," 15,581 ","12,268","67,870","67,760", 324 
172,Vila Esperança,"10,127","10,127"," 26,444 "," 7,439 "," 8,988 ","5,923","43,963","43,642", 229 
173,Vila Ré,"10,543","10,543"," 28,017 "," 3,450 "," 10,824 ","6,907","28,699","28,998", 208 
174,Rui Barbosa,"17,039","17,039"," 46,902 "," 9,286 "," 8,641 ","10,023","54,314","54,361", 271 
175,Estação Eng. Goulart,"13,413","13,413"," 36,662 "," 1,300 "," 10,502 ","8,853","24,222","24,018", 193 
176,Cangaíba,"17,445","17,445"," 46,655 "," 11,732 "," 12,950 ","5,925","52,682","52,039", 334 
177,Parque Ecológico do Tietê,"5,232","5,232"," 14,461 ", 762 ," 2,939 ","1,932","19,140","18,992", 531 
178,USP Leste I,,0, - ," 3,937 ", 601 ,0,"8,743","8,754", 50 
179,USP Leste II,,0, - , - , -   ,0,-,-, 123 
180,Ermelino Matarazzo,"24,816","24,816"," 68,529 "," 13,795 "," 10,699 ","9,475","101,981","101,051", 449 
181,Parque Buturussu,"16,985","16,985"," 46,595 "," 11,671 "," 19,872 ","8,939","71,065","71,280", 372 
182,Ponte Rasa,"16,694","16,694"," 45,868 "," 11,911 "," 11,729 ","13,021","70,534","71,478", 365 
183,Burgo Paulista,"16,345","16,345"," 46,246 "," 5,514 "," 12,875 ","10,687","57,540","57,038", 292 
184,Limoeiro,"8,239","8,239"," 23,686 "," 3,506 "," 6,406 ","5,654","30,020","29,730", 143 
185,Laranja da China,"9,205","9,385"," 26,434 "," 8,236 "," 5,531 ","4,693","41,802","42,291", 132 
186,Pedro José Nunes,"3,664","3,664"," 10,111 "," 2,306 "," 2,904 ","2,858","17,405","16,818", 86 
187,Parque Cruzeiro do Sul,"16,479","16,902"," 48,525 "," 7,234 "," 9,841 ","6,204","76,228","75,314", 250 
188,Vila Jacuí,"10,139","10,139"," 28,767 "," 26,886 "," 12,072 ","5,964","73,142","73,505", 212 
189,Parada XV,"18,108","18,108"," 49,905 "," 10,978 "," 12,400 ","8,358","74,128","75,102", 324 
190,Itaquera,"13,325","13,838"," 36,307 "," 6,748 "," 20,052 ","9,738","65,944","65,366", 283 
191,Arena Corinthians,,0, - ," 6,259 "," 8,564 ",0,"34,569","35,008", 140 
192,Vila Campanela,"13,680","13,954"," 37,823 "," 7,370 "," 11,760 ","7,661","50,721","50,777", 231 
193,Araucárias,"8,734","8,734"," 25,171 "," 1,313 "," 5,905 ","3,425","24,777","24,468", 130 
194,Parque Guarani,"8,999","8,999"," 26,608 "," 7,801 "," 7,894 ","3,489","31,573","31,466", 126 
195,Rio Verde,"14,508","14,508"," 40,388 "," 4,865 "," 12,949 ","7,254","54,419","55,934", 239 
