 Tabela 14 ,,,,
"Empregos em Endereço Fixo, na Propria Residência e Sem Endereço Fixo, por Zona de Emprego - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de Emprego , Empregos com Endereço Fixo ,, Empregos Sem Endereço Fixo(*) , Total de Empregos 
, Fora da Residência , Na Residência ,,
,,,,
 337 ," 9,640 "," 4,666 "," 1,263 "," 15,568 "
 338 ," 8,357 "," 1,552 ", 836 ," 10,745 "
 339 ," 19,234 "," 1,615 "," 1,775 "," 22,623 "
 340 ," 26,926 ", -   , -   ," 26,926 "
 341 ," 18,405 ", 745 , 351 ," 19,501 "
 342 ," 3,522 ", 933 , 417 ," 4,873 "
 343 ," 12,372 ", 787 , 770 ," 13,929 "
 344 , 832 , 339 , 352 ," 1,524 "
 345 ," 21,836 "," 1,842 "," 1,898 "," 25,575 "
 346 ," 5,460 "," 1,738 "," 2,723 "," 9,920 "
 347 , 631 , -   , -   , 631 
 348 ," 43,351 "," 2,195 "," 5,697 "," 51,244 "
 349 ," 12,669 ", 454 , 456 ," 13,578 "
 350 , 300 , -   , -   , 300 
 351 ," 13,765 "," 2,567 "," 3,728 "," 20,059 "
 352 ," 9,194 "," 1,548 "," 4,329 "," 15,071 "
 353 ," 1,227 ", -   , -   ," 1,227 "
 354 , -   , -   , -   , -   
 355 , -   , -   , -   , -   
 356 ," 10,280 "," 2,172 "," 1,848 "," 14,299 "
 357 ," 8,547 "," 3,431 "," 6,864 "," 18,843 "
 358 , -   , 586 , 162 , 747 
 359 ," 15,799 "," 3,020 "," 1,416 "," 20,235 "
 360 , 695 ," 5,607 ", 98 ," 6,400 "
 361 ," 6,758 ", 374 ," 1,140 "," 8,272 "
 362 ," 3,427 ", 198 ," 1,444 "," 5,070 "
 363 ," 32,548 "," 2,307 "," 2,488 "," 37,343 "
 364 ," 29,788 "," 2,495 "," 2,502 "," 34,786 "
 365 ," 35,721 ", 725 , 478 ," 36,924 "
 366 ," 11,187 ", 427 , 239 ," 11,853 "
 367 ," 28,835 "," 2,122 "," 1,546 "," 32,503 "
 368 ," 9,184 "," 2,905 ", 245 ," 12,334 "
 369 ," 15,004 "," 2,319 "," 1,540 "," 18,863 "
 370 ," 10,618 "," 6,908 "," 2,842 "," 20,369 "
 371 ," 28,553 "," 2,976 "," 3,395 "," 34,925 "
 372 ," 2,032 ", 686 ," 4,147 "," 6,865 "
 373 ," 14,381 "," 7,593 "," 2,561 "," 24,535 "
 374 ," 25,308 "," 6,110 "," 3,947 "," 35,364 "
 375 ," 29,670 ", -   , -   ," 29,670 "
 376 ," 26,537 "," 6,842 "," 5,315 "," 38,694 "
 377 ," 17,671 "," 3,365 "," 3,587 "," 24,623 "
 378 ," 38,588 "," 17,288 "," 9,155 "," 65,030 "
 379 ," 31,777 "," 4,766 "," 8,075 "," 44,618 "
 380 ," 4,377 "," 2,563 "," 3,185 "," 10,125 "
 381 ," 9,746 "," 3,138 "," 4,408 "," 17,293 "
 382 , -   , -   , -   , -   
 383 ," 5,783 "," 5,483 "," 9,162 "," 20,427 "
 384 ," 7,699 "," 7,945 "," 6,228 "," 21,871 "
 385 ," 1,751 "," 1,744 "," 2,147 "," 5,643 "
 386 , -   , -   , -   , -   
 387 ," 4,043 ", 957 , 40 ," 5,039 "
 388 ," 36,709 "," 4,847 ", 852 ," 42,408 "
 389 ," 4,289 ", 721 , 543 ," 5,553 "
 390 ," 11,701 "," 1,102 "," 3,564 "," 16,367 "
 391 ," 1,784 "," 1,001 ", 697 ," 3,483 "
 392 , 186 , -   , -   , 186 
 393 , 310 , -   , -   , 310 
 394 ," 16,998 "," 6,667 "," 3,660 "," 27,326 "
 395 , 349 , -   , -   , 349 
 396 ," 17,644 "," 3,447 "," 3,417 "," 24,507 "
 397 ," 1,763 ", 596 , 901 ," 3,259 "
 398 ," 29,399 "," 5,229 "," 5,205 "," 39,833 "
 399 ," 22,021 "," 7,320 "," 5,211 "," 34,551 "
 400 ," 20,372 "," 3,455 "," 2,954 "," 26,781 "
 401 ," 22,546 "," 5,375 "," 6,848 "," 34,769 "
 402 ," 11,733 "," 4,414 "," 4,372 "," 20,519 "
 403 ," 27,416 "," 2,690 "," 1,826 "," 31,932 "
 404 ," 55,077 "," 9,714 "," 4,098 "," 68,889 "
