Tabela 9,,,,,,,,,
População por Condição de Atividade e Zona de Residência – 2023,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,
,,,,,,,,,
, População por Condição de Atividade ,,,,,,,,
Zona de,,,Em Licença,,Sem,Nunca,Dona de ,,
Residência, Ocupado ,Faz Bico, Médica , Aposentado , Trabalho , Trabalhou ,  Casa , Estudante , Total 
,,,,,,,,,
 459 ," 20,961 ", 275 , -   ," 7,836 "," 6,347 "," 2,707 "," 3,431 "," 8,388 "," 49,947 "
 460 ," 8,426 ", 112 , 679 ," 2,680 "," 2,808 "," 1,088 "," 1,804 "," 3,017 "," 20,614 "
 461 , - , - , - , - , - , - , - , - , -   
 462 ," 67,006 "," 2,099 "," 1,342 "," 21,869 "," 17,743 "," 7,273 "," 10,225 "," 24,200 "," 151,757 "
 463 ," 31,569 "," 3,954 ", -   ," 10,468 "," 6,559 "," 2,495 "," 2,030 "," 12,663 "," 69,737 "
 464 ," 44,230 "," 3,173 ", -   ," 10,320 "," 13,620 "," 7,441 "," 4,805 "," 13,590 "," 97,180 "
 465 ," 44,356 "," 2,126 "," 2,800 "," 10,392 "," 19,323 "," 5,685 "," 4,895 "," 18,286 "," 107,862 "
 466 ," 23,599 "," 2,281 ", -   ," 4,282 "," 8,049 "," 2,275 "," 3,576 "," 10,005 "," 54,066 "
 467 ," 31,251 "," 4,490 ", -   ," 4,744 "," 10,678 "," 6,319 "," 3,116 "," 10,788 "," 71,387 "
 468 ," 36,430 "," 1,207 ", -   ," 9,818 "," 1,860 "," 2,329 "," 4,836 "," 15,374 "," 71,854 "
 469 ," 25,023 "," 1,719 ", 240 ," 5,884 "," 1,410 "," 3,227 "," 3,153 "," 9,114 "," 49,769 "
 470 ," 26,361 "," 15,572 ", 594 ," 13,296 "," 13,424 "," 4,751 "," 6,174 "," 16,793 "," 96,964 "
 471 ," 24,021 "," 1,205 "," 1,791 "," 6,609 "," 11,384 "," 2,208 "," 3,926 "," 10,696 "," 61,840 "
 472 ," 27,540 ", 648 , -   ," 4,484 "," 9,418 "," 4,195 "," 3,643 "," 12,987 "," 62,915 "
 473 ," 53,951 "," 4,107 "," 1,654 "," 10,685 "," 8,974 "," 7,450 "," 9,058 "," 23,180 "," 119,059 "
 474 ," 24,758 "," 2,493 ", -   ," 6,763 "," 4,621 "," 4,540 "," 2,675 "," 9,744 "," 55,595 "
 475 ," 8,403 ", 595 , -   ," 2,748 "," 2,299 "," 1,433 ", 872 ," 2,314 "," 18,664 "
 476 ," 59,530 "," 6,908 "," 1,351 "," 17,235 "," 10,419 "," 9,326 "," 14,699 "," 29,082 "," 148,550 "
 477 ," 2,091 ", 488 , -   , 616 , 198 , 108 , 585 ," 1,240 "," 5,326 "
 478 ," 3,420 ", 262 , -   , 605 ," 1,406 ", 552 , 314 ," 1,558 "," 8,117 "
 479 ," 7,380 ", 197 , 63 ," 2,515 "," 1,122 ", 501 ," 1,497 "," 3,045 "," 16,319 "
 480 ," 21,408 ", -   , 383 ," 4,637 "," 1,495 "," 1,396 "," 4,849 "," 7,322 "," 41,490 "
 481 ," 10,293 ", -   , -   ," 2,329 "," 1,692 "," 1,464 "," 1,834 "," 3,965 "," 21,577 "
 482 ," 2,312 ", -   , 42 ," 1,133 ", 273 , 55 , 298 , 969 ," 5,083 "
 483 ," 11,000 ", 260 , 311 ," 4,292 "," 1,870 "," 1,792 "," 2,447 "," 5,822 "," 27,792 "
 484 , - , - , - , - , - , - , - , - , -   
 485 , - , - , - , - , - , - , - , - , -   
 486 ," 51,173 "," 8,920 ", -   ," 11,086 "," 11,155 "," 10,568 "," 7,817 "," 24,725 "," 125,446 "
 487 ," 34,107 "," 1,557 ", -   ," 3,900 "," 1,118 "," 2,706 "," 3,530 "," 11,355 "," 58,272 "
 488 , - , - , - , - , - , - , - , - , -   
 489 , - , - , - , - , - , - , - , - , -   
 490 ," 19,754 "," 4,032 ", -   ," 5,476 "," 4,416 "," 3,584 "," 2,071 "," 9,444 "," 48,776 "
 491 ," 32,442 "," 3,829 ", -   ," 6,190 "," 2,580 "," 3,999 "," 2,699 "," 9,403 "," 61,142 "
 492 ," 12,553 "," 1,352 ", -   ," 2,389 "," 1,589 "," 2,337 "," 2,147 "," 5,629 "," 27,996 "
 493 ," 2,201 ", 35 , -   , 117 , 263 , 150 , 97 , 865 ," 3,729 "
 494 ," 54,406 "," 9,897 ", -   ," 15,307 "," 8,689 "," 10,844 "," 8,906 "," 23,388 "," 131,437 "
 495 ," 41,601 "," 5,912 ", 238 ," 11,265 "," 7,712 "," 6,254 "," 7,086 "," 19,757 "," 99,825 "
 496 ," 26,191 "," 6,635 ", -   ," 8,369 "," 6,720 "," 6,821 "," 3,997 "," 11,565 "," 70,298 "
 497 ," 16,623 "," 1,052 ", -   ," 4,113 "," 4,521 "," 3,023 "," 4,167 "," 8,248 "," 41,747 "
 498 ," 21,381 "," 3,845 ", 265 ," 4,297 "," 1,587 "," 5,733 "," 4,543 "," 9,401 "," 51,053 "
 499 ," 2,723 ", 83 , 59 , 671 , 435 , 313 , 167 , 877 ," 5,328 "
 500 ," 10,506 ", 207 , -   ," 3,027 ", 187 ," 1,027 ", 885 ," 3,704 "," 19,543 "
 501 ," 19,575 ", 576 ," 1,487 "," 8,917 "," 1,469 "," 6,323 "," 1,757 "," 3,592 "," 43,697 "
 502 ," 32,694 "," 1,733 ", -   ," 7,936 "," 4,084 "," 3,112 "," 2,934 "," 8,481 "," 60,974 "
 503 ," 19,014 "," 2,945 ", -   ," 5,732 "," 3,565 "," 2,753 "," 2,902 "," 7,784 "," 44,695 "
 504 ," 33,420 "," 2,664 ", 550 ," 9,925 "," 7,069 "," 2,489 "," 2,670 "," 13,160 "," 71,946 "
 505 ," 63,886 "," 2,633 "," 1,379 "," 15,945 "," 6,147 "," 7,397 "," 7,853 "," 21,462 "," 126,702 "
 506 ," 42,350 "," 1,503 "," 1,251 "," 8,405 "," 3,275 "," 4,339 "," 5,149 "," 15,854 "," 82,126 "
 507 ," 7,382 ", 50 , -   ," 2,485 "," 1,016 "," 1,478 "," 1,783 "," 3,250 "," 17,446 "
 508 ," 8,828 ", 240 , -   ," 2,197 ", 951 , 808 ," 1,174 "," 2,126 "," 16,324 "
 509 ," 49,126 "," 7,862 "," 1,370 "," 17,528 "," 12,562 "," 8,910 "," 9,548 "," 18,180 "," 125,085 "
 510 ," 19,398 "," 1,167 ", 444 ," 6,727 "," 1,195 "," 2,979 "," 6,007 "," 7,430 "," 45,346 "
 511 ," 24,565 "," 1,180 ", -   ," 7,715 "," 5,944 ", 832 ," 3,587 "," 7,486 "," 51,309 "
 512 ," 17,175 ", 522 , -   ," 4,168 "," 2,240 "," 2,819 "," 3,742 "," 5,607 "," 36,274 "
 513 ," 4,116 ", 438 , -   , 939 , 634 , 470 ," 1,090 "," 1,630 "," 9,317 "
 514 ," 46,907 "," 3,546 ", -   ," 8,034 "," 2,959 "," 7,840 "," 11,137 "," 19,440 "," 99,863 "
 515 ," 5,902 ", 116 , 49 , 992 , 743 , 787 , 931 ," 1,876 "," 11,397 "
 516 ," 18,300 ", 153 , 315 ," 6,134 "," 3,074 "," 3,435 ", 635 ," 6,491 "," 38,538 "
 517 ," 12,939 ", 593 , -   ," 2,491 "," 1,512 "," 1,209 ", 771 ," 6,647 "," 26,162 "
 518 ," 74,112 "," 3,590 ", -   ," 14,550 "," 16,081 "," 13,761 "," 8,170 "," 29,119 "," 159,384 "
 519 ," 2,606 ", 612 , -   , 817 ," 1,987 ", 588 , 655 ," 1,606 "," 8,870 "
 520 , - , - , - , - , - , - , - , - , -   
 521 ," 22,692 "," 2,712 ", -   ," 4,304 "," 4,651 "," 3,252 "," 2,925 "," 8,991 "," 49,527 "
 522 ," 27,877 "," 1,367 ", 409 ," 6,407 "," 1,798 "," 1,198 "," 1,758 "," 10,687 "," 51,499 "
 523 ," 2,519 ", 123 , 70 , 367 , 742 , 363 , 261 , 631 ," 5,077 "
 524 ," 40,730 "," 5,433 "," 4,392 "," 5,079 "," 14,091 "," 8,269 "," 6,055 "," 22,323 "," 106,373 "
 525 ," 56,006 "," 1,505 ", 905 ," 10,717 "," 15,088 "," 9,219 "," 7,263 "," 26,317 "," 127,020 "
 526 ," 77,419 ", 887 ," 1,915 "," 13,997 "," 16,249 "," 10,638 "," 3,686 "," 34,584 "," 159,375 "
 527 ," 7,382 ", 561 , 85 ," 1,883 "," 1,286 "," 1,775 "," 1,432 "," 4,265 "," 18,670 "
,,,,,,,,,
 Total RMSP ," 9,644,877 "," 690,520 "," 101,088 "," 2,690,596 "," 1,948,389 "," 1,397,076 "," 1,262,399 "," 3,501,908 "," 21,236,852 "
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,,,,,
