Tabela 9,,,,,,,,,
População por Condição de Atividade e Zona de Residência – 2023,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,
,,,,,,,,,
, População por Condição de Atividade ,,,,,,,,
Zona de,,,Em Licença,,Sem,Nunca,Dona de ,,
Residência, Ocupado ,Faz Bico, Médica , Aposentado , Trabalho , Trabalhou ,  Casa , Estudante , Total 
,,,,,,,,,
 133 ," 23,367 ", 295 , -   ," 8,297 ", 449 ," 2,662 "," 1,631 "," 2,083 "," 38,784 "
 134 ," 14,552 ", 390 , -   ," 6,226 "," 2,639 "," 1,606 "," 1,136 "," 5,517 "," 32,066 "
 135 ," 20,185 ", 697 , -   ," 6,243 "," 1,287 "," 1,544 ", 787 ," 3,918 "," 34,660 "
 136 ," 15,317 "," 2,336 ", -   ," 4,262 "," 3,919 "," 2,689 ", 62 ," 3,509 "," 32,094 "
 137 ," 24,021 ", -   , -   ," 8,007 "," 3,073 "," 4,384 "," 3,466 "," 7,494 "," 50,443 "
 138 ," 5,411 ", -   , -   ," 1,178 "," 1,286 ", 429 ," 1,276 "," 2,331 "," 11,911 "
 139 ," 12,635 "," 1,438 ", -   ," 3,637 "," 2,796 ", 952 ," 1,198 "," 4,911 "," 27,568 "
 140 ," 19,862 ", -   , -   ," 7,726 "," 5,832 "," 2,874 "," 1,649 "," 6,998 "," 44,941 "
 141 ," 41,859 ", -   , -   ," 9,853 "," 8,091 "," 5,800 "," 4,820 "," 12,308 "," 82,731 "
 142 ," 29,959 "," 2,898 ", 439 ," 6,740 "," 7,935 "," 4,601 "," 1,032 "," 10,594 "," 64,197 "
 143 , - , - , - , - , - , - , - , - , -   
 144 ," 50,009 "," 5,136 ", 348 ," 11,209 "," 5,728 "," 6,444 "," 5,059 "," 14,315 "," 98,247 "
 145 ," 3,818 ", 84 , 40 ," 1,370 ", 388 , 482 , 868 , 944 ," 7,994 "
 146 , - , - , - , - , - , - , - , - , -   
 147 ," 12,165 "," 1,188 ", 428 ," 4,334 "," 3,498 "," 1,692 ", 949 ," 5,040 "," 29,295 "
 148 ," 10,969 ", -   , -   ," 2,374 "," 1,523 "," 1,244 ", 414 ," 4,462 "," 20,986 "
 149 , - , - , - , - , - , - , - , - , -   
 150 ," 27,846 ", -   , 228 ," 5,448 "," 3,664 "," 3,515 "," 1,660 "," 9,315 "," 51,675 "
 151 ," 35,996 "," 8,031 ", -   ," 9,311 "," 13,590 "," 8,831 "," 9,163 "," 14,569 "," 99,491 "
 152 ," 19,816 ", -   , -   ," 5,826 "," 2,201 "," 2,493 "," 1,481 "," 4,009 "," 35,826 "
 153 ," 8,801 ", 259 , -   ," 3,860 ", 418 , 853 , 866 ," 2,000 "," 17,057 "
 154 ," 25,108 ", -   , -   ," 9,041 "," 2,156 "," 2,469 "," 3,528 "," 6,848 "," 49,150 "
