 Tabela 13 ,,,,,,,,,
 Empregos por Vínculo Empregatício e Zona de Emprego – 2023 ,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,
,,,,,,,,,
 Zona de Emprego , Empregos por Vínculo Empregatício ,,,,,,,,
, Assalariado com Carteira , Assalariado sem Carteira , Funcionário Público , Profissional Liberal , Autônomo , Empregador , Dono de Negócio Familiar , Trabalhador Familiar , Total de Empregos 
 81 ," 38,258 ", 817 , -   ," 1,299 "," 5,227 ", 416 , 630 , -   ," 46,647 "
 82 ," 52,238 "," 3,092 "," 1,024 "," 2,248 "," 11,645 ", 996 ," 1,299 ", 68 ," 72,610 "
 83 ," 17,730 "," 3,642 ", 202 , 785 ," 10,521 ", 549 , 285 , -   ," 33,715 "
 84 ," 10,446 ", 54 , 349 ," 2,006 "," 2,600 ", 110 , 49 , 49 ," 15,664 "
 85 ," 1,667 ", 134 , -   , 524 ," 1,847 ", 61 , 320 , -   ," 4,554 "
 86 ," 2,955 ", 29 , 15 , -   , 719 , -   , -   , -   ," 3,718 "
 87 ," 5,160 "," 1,162 ", -   , 393 ," 4,822 ", 158 , 52 , -   ," 11,747 "
 88 ," 9,237 "," 1,242 ", -   ," 1,192 "," 11,090 ", 488 , 78 , 37 ," 23,366 "
 89 ," 1,321 ", 270 , -   , 31 ," 2,894 ", 82 , -   , 82 ," 4,681 "
 90 ," 4,771 ", 318 , -   , 196 ," 2,214 ", 51 , -   , -   ," 7,552 "
 91 ," 20,665 "," 1,109 ", 134 , 251 ," 4,806 ", 231 , -   , -   ," 27,195 "
 92 ," 15,028 ", 638 ," 1,354 ", 391 ," 2,414 ", -   , -   , -   ," 19,824 "
 93 ," 25,673 ", 125 , 259 , 912 ," 3,463 ", 441 , -   , -   ," 30,872 "
 94 ," 14,500 ", 21 , -   , 399 ," 3,445 ", -   , 207 , 41 ," 18,613 "
 95 ," 4,509 ", 532 , 365 ," 1,189 "," 2,134 ", 198 , 75 , -   ," 9,004 "
 96 ," 7,509 ", 320 ," 1,655 ", 255 ," 1,954 ", 113 , -   , 25 ," 11,830 "
 97 ," 6,607 ", 35 , -   ," 1,449 "," 2,657 ", 54 , 165 , -   ," 10,968 "
 98 ," 3,279 ", 467 , 215 , 94 ," 2,609 ", -   , -   , -   ," 6,664 "
 99 ," 23,394 ", 142 , 488 , 111 ," 1,588 ", -   , -   , -   ," 25,724 "
 100 ," 36,306 "," 3,616 "," 1,449 "," 2,294 "," 10,653 ", 501 , 377 , 30 ," 55,226 "
 101 ," 7,794 ", 69 , 600 , 168 ," 2,867 ", 269 , 222 , 72 ," 12,062 "
 102 ," 6,423 ", 66 , 173 , 50 ," 3,796 ", 37 , 69 , -   ," 10,615 "
 103 ," 4,187 ", 328 , -   , 42 , 690 , -   , 18 , -   ," 5,265 "
 104 ," 1,704 ", 79 , -   , 123 ," 2,165 ", -   , -   , -   ," 4,071 "
 105 ," 7,321 ", 536 , -   , 360 ," 3,570 ", 53 , -   , -   ," 11,839 "
 106 ," 17,485 "," 1,416 ", 252 , -   ," 7,235 ", 458 , 69 , 18 ," 26,935 "
 107 ," 9,990 ", 874 , 95 , 717 ," 3,637 ", -   , 368 , 124 ," 15,805 "
 108 ," 11,446 ", 114 , 743 , 308 ," 2,670 ", 492 , 131 , 34 ," 15,938 "
 109 ," 14,060 "," 3,064 "," 1,169 "," 2,052 "," 22,605 ", 37 , 725 , 656 ," 44,369 "
 110 ," 13,287 "," 3,934 ", 154 , -   ," 7,229 ", 139 , -   , 282 ," 25,025 "
 111 ," 7,648 "," 3,262 ", 597 , 302 ," 5,220 ", 342 , 49 , -   ," 17,421 "
 112 ," 12,756 ", 932 , 32 , 165 ," 6,339 ", -   , 280 , -   ," 20,504 "
 113 ," 19,007 "," 1,491 ", -   , 123 ," 3,559 ", -   , 625 , 324 ," 25,129 "
 114 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 115 ," 6,073 "," 3,808 ", 738 , 213 ," 7,367 ", -   , -   , -   ," 18,199 "
 116 ," 14,073 "," 1,244 "," 2,286 ", -   ," 16,163 ", 822 , 263 , 317 ," 35,169 "
 117 ," 9,339 "," 1,387 ", 569 , 348 ," 9,700 ", -   , 786 , -   ," 22,128 "
 118 ," 2,986 ", -   , -   , -   ," 1,191 ", 74 , 595 , 494 ," 5,339 "
 119 ," 8,114 ", 601 ," 2,361 ", -   ," 11,841 ", 393 ," 1,967 ", 528 ," 25,806 "
 120 , -   , -   , -   , -   , -   , -   , -   , -   , -   
 121 ," 3,217 ", 470 , -   , -   ," 9,892 ", 516 , -   , -   ," 14,095 "
 122 ," 1,206 ", 500 , 310 , -   ," 5,372 ", -   ," 1,162 "," 1,025 "," 9,574 "
 123 ," 1,143 ", 937 , -   , -   ," 4,422 ", -   , -   , 446 ," 6,948 "
 124 ," 3,144 ", 758 , -   , -   ," 8,698 ", -   , -   , 244 ," 12,845 "
 125 ," 3,274 ", 689 , 985 , 442 ," 7,721 ", -   , -   , -   ," 13,111 "
 126 ," 7,147 "," 1,074 ", 481 , -   ," 1,643 ", 456 , 431 , 771 ," 12,003 "
 127 ," 15,809 "," 1,467 "," 1,161 "," 1,741 "," 7,633 ", 104 , 777 , 442 ," 29,135 "
 128 ," 8,553 ", 69 , -   , 228 , 871 , 10 , 16 , 34 ," 9,781 "
 129 ," 11,277 "," 1,773 ", -   , 496 ," 1,428 ", -   , 10 , -   ," 14,984 "
 130 ," 3,845 ", 324 , 710 , 214 , 455 , -   , 72 , -   ," 5,621 "
 131 ," 9,704 ", -   , 269 , -   ," 1,429 ", 93 , -   , -   ," 11,495 "
 132 ," 2,530 ", 19 , 521 , -   , 349 , -   , -   , -   ," 3,419 "
 133 ," 12,725 "," 1,477 "," 1,127 ", 720 ," 6,753 ", 301 , 493 , -   ," 23,596 "
 134 ," 8,313 ", 906 , -   , 564 ," 4,226 ", 153 , 257 , -   ," 14,419 "
 135 ," 8,860 "," 1,550 ", 549 ," 1,415 "," 7,100 ", 360 , -   , -   ," 19,835 "
 136 ," 8,988 "," 1,191 ", 297 , 424 ," 7,772 "," 2,466 ", 302 , -   ," 21,441 "
 137 ," 6,407 ", 599 , 602 , 872 ," 9,215 ", 181 ," 1,160 ", -   ," 19,037 "
 138 ," 12,496 ", 509 , 287 , -   ," 1,914 ", 122 , -   , -   ," 15,329 "
 139 ," 2,350 "," 1,215 ", 728 , 319 ," 3,253 ", 233 , 220 , -   ," 8,318 "
 140 ," 2,829 "," 2,410 ", 778 , 567 ," 4,667 ", 90 , -   , -   ," 11,342 "
 141 ," 7,982 "," 1,884 "," 1,516 ", 490 ," 15,489 ", 133 ," 3,375 "," 1,485 "," 32,355 "
 142 ," 5,571 ", 579 , 306 , -   ," 5,136 ", -   ," 1,934 ", -   ," 13,526 "
 143 , -   , -   , -   , -   , -   , -   , -   , -   , -   
