 Tabela 17 ,,,,,
 Viagens Diárias Produzidas por Tipo e Zona de Origem – 2023 ,,,,,
 Região Metropolitana de São Paulo ,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,
,,,,,
, Viagens Produzidas por Tipo ,,,,
 Zona de , Coletivo , Individual ,Modo Motorizado,Modo, Total 
 Origem ,(A),(B),(A+B),Não Motorizado (C),(A+B+C)
,,,,,
 100 ," 62,638 "," 48,184 "," 110,822 "," 19,470 "," 130,293 "
 101 ," 13,473 "," 11,664 "," 25,137 "," 1,249 "," 26,386 "
 102 ," 10,996 "," 13,851 "," 24,847 "," 2,329 "," 27,176 "
 103 ," 2,805 "," 3,696 "," 6,501 ", 376 ," 6,876 "
 104 ," 2,543 "," 5,246 "," 7,789 "," 2,210 "," 9,999 "
 105 ," 8,378 "," 15,796 "," 24,174 "," 4,701 "," 28,875 "
 106 ," 13,383 "," 10,510 "," 23,893 "," 5,159 "," 29,052 "
 107 ," 14,675 "," 19,004 "," 33,679 "," 8,984 "," 42,663 "
 108 ," 8,353 "," 10,768 "," 19,121 "," 3,092 "," 22,212 "
 109 ," 60,909 "," 72,216 "," 133,126 "," 27,889 "," 161,014 "
 110 ," 48,104 "," 23,956 "," 72,060 "," 25,432 "," 97,492 "
 111 ," 21,065 "," 38,619 "," 59,684 "," 12,957 "," 72,640 "
 112 ," 19,827 "," 24,199 "," 44,025 "," 12,257 "," 56,282 "
 113 ," 16,191 "," 27,034 "," 43,225 "," 15,880 "," 59,105 "
 114 , - , - , -   , -   , -   
 115 ," 37,256 "," 27,005 "," 64,260 "," 16,387 "," 80,647 "
 116 ," 103,836 "," 44,182 "," 148,018 "," 90,705 "," 238,722 "
 117 ," 36,284 "," 33,322 "," 69,606 "," 17,560 "," 87,166 "
 118 ," 7,674 "," 4,877 "," 12,551 "," 9,275 "," 21,825 "
 119 ," 60,434 "," 25,106 "," 85,540 "," 34,440 "," 119,980 "
 120 , - , - , -   , -   , -   
 121 ," 46,246 "," 14,135 "," 60,381 "," 45,301 "," 105,682 "
 122 ," 28,160 "," 2,712 "," 30,872 "," 26,313 "," 57,185 "
 123 ," 30,320 "," 18,350 "," 48,670 "," 26,570 "," 75,239 "
 124 ," 31,391 "," 26,487 "," 57,879 "," 30,266 "," 88,145 "
 125 ," 31,821 "," 22,773 "," 54,594 "," 18,745 "," 73,339 "
 126 ," 22,480 "," 21,097 "," 43,576 "," 16,729 "," 60,306 "
 127 ," 43,963 "," 41,623 "," 85,586 "," 27,407 "," 112,992 "
 128 ," 10,475 "," 12,574 "," 23,049 ", 936 ," 23,985 "
 129 ," 16,695 "," 14,788 "," 31,483 "," 3,592 "," 35,075 "
 130 ," 5,006 "," 3,843 "," 8,849 "," 4,167 "," 13,016 "
 131 ," 11,632 "," 6,804 "," 18,436 ", 778 ," 19,214 "
 132 ," 4,866 "," 4,761 "," 9,627 ", 859 ," 10,486 "
 133 ," 24,941 "," 37,240 "," 62,181 "," 12,594 "," 74,775 "
 134 ," 24,935 "," 28,767 "," 53,702 "," 9,443 "," 63,145 "
 135 ," 29,735 "," 35,756 "," 65,491 "," 4,487 "," 69,978 "
 136 ," 25,533 "," 29,677 "," 55,210 "," 14,036 "," 69,247 "
 137 ," 21,337 "," 25,806 "," 47,142 "," 23,269 "," 70,411 "
 138 ," 14,510 "," 10,245 "," 24,755 "," 9,456 "," 34,211 "
 139 ," 15,944 "," 22,853 "," 38,797 "," 11,897 "," 50,694 "
 140 ," 25,503 "," 9,103 "," 34,606 "," 23,450 "," 58,057 "
 141 ," 41,091 "," 34,267 "," 75,357 "," 76,778 "," 152,136 "
 142 ," 40,185 "," 5,542 "," 45,728 "," 24,978 "," 70,706 "
 143 , - , - , -   , -   , -   
 144 ," 50,194 "," 80,127 "," 130,321 "," 50,367 "," 180,688 "
 145 ," 5,501 "," 4,459 "," 9,960 "," 3,405 "," 13,364 "
 146 , - , - , -   , -   , -   
 147 ," 18,066 "," 15,489 "," 33,556 "," 11,716 "," 45,272 "
 148 ," 14,230 "," 12,467 "," 26,697 "," 9,123 "," 35,820 "
 149 , -   , 280 , 280 , -   , 280 
 150 ," 36,685 "," 7,525 "," 44,209 "," 17,133 "," 61,342 "
 151 ," 41,743 "," 33,272 "," 75,015 "," 27,656 "," 102,671 "
 152 ," 24,699 "," 27,675 "," 52,373 "," 8,629 "," 61,002 "
 153 ," 10,062 "," 17,484 "," 27,547 "," 3,075 "," 30,622 "
 154 ," 39,873 "," 36,170 "," 76,043 "," 25,134 "," 101,177 "
 155 ," 15,541 "," 6,203 "," 21,744 "," 14,234 "," 35,979 "
 156 ," 22,781 "," 37,247 "," 60,028 "," 26,960 "," 86,987 "
 157 ," 10,952 "," 3,707 "," 14,659 "," 6,375 "," 21,034 "
 158 ," 17,326 "," 24,796 "," 42,122 "," 15,725 "," 57,847 "
 159 ," 32,338 "," 35,020 "," 67,358 "," 36,862 "," 104,220 "
 160 ," 18,175 "," 20,702 "," 38,877 "," 28,082 "," 66,959 "
 161 ," 24,186 "," 28,765 "," 52,951 "," 38,604 "," 91,556 "
 162 ," 11,620 "," 18,365 "," 29,985 "," 14,087 "," 44,071 "
 163 ," 23,374 "," 31,189 "," 54,563 "," 22,523 "," 77,086 "
 164 ," 9,346 "," 9,430 "," 18,776 "," 3,128 "," 21,904 "
 165 ," 14,310 "," 4,482 "," 18,792 "," 1,204 "," 19,996 "
 166 ," 41,620 "," 43,596 "," 85,215 "," 22,514 "," 107,729 "
 167 ," 52,321 "," 39,658 "," 91,979 "," 10,827 "," 102,806 "
 168 ," 39,873 "," 23,771 "," 63,644 "," 10,140 "," 73,784 "
 169 ," 49,033 "," 31,954 "," 80,987 "," 20,988 "," 101,975 "
 170 ," 48,124 "," 38,482 "," 86,606 "," 29,567 "," 116,173 "
 171 ," 23,095 "," 24,382 "," 47,477 "," 20,394 "," 67,870 "
 172 ," 21,962 "," 11,953 "," 33,914 "," 10,049 "," 43,963 "
 173 ," 12,824 "," 9,640 "," 22,464 "," 6,235 "," 28,699 "
 174 ," 27,805 "," 6,897 "," 34,702 "," 19,612 "," 54,314 "
 175 ," 14,494 "," 4,939 "," 19,433 "," 4,788 "," 24,222 "
 176 ," 24,090 "," 11,042 "," 35,132 "," 17,549 "," 52,682 "
 177 ," 7,826 "," 5,199 "," 13,025 "," 6,114 "," 19,140 "
 178 ," 1,406 ", 100 ," 1,506 "," 7,237 "," 8,743 "
 179 , - , - , -   , -   , -   
 180 ," 39,709 "," 18,653 "," 58,361 "," 43,619 "," 101,981 "
 181 ," 34,097 "," 21,683 "," 55,780 "," 15,285 "," 71,065 "
 182 ," 20,097 "," 28,519 "," 48,616 "," 21,918 "," 70,534 "
 183 ," 26,185 "," 16,901 "," 43,085 "," 14,455 "," 57,540 "
 184 ," 13,796 "," 7,916 "," 21,713 "," 8,308 "," 30,020 "
 185 ," 10,655 "," 11,047 "," 21,701 "," 20,101 "," 41,802 "
 186 ," 4,777 "," 6,528 "," 11,305 "," 6,100 "," 17,405 "
 187 ," 22,781 "," 14,017 "," 36,797 "," 39,431 "," 76,228 "
 188 ," 26,457 "," 24,459 "," 50,915 "," 22,226 "," 73,142 "
 189 ," 34,815 "," 10,541 "," 45,355 "," 28,773 "," 74,128 "
 190 ," 30,445 "," 23,312 "," 53,757 "," 12,187 "," 65,944 "
 191 ," 19,328 "," 14,891 "," 34,219 ", 350 ," 34,569 "
 192 ," 18,013 "," 13,181 "," 31,194 "," 19,527 "," 50,721 "
 193 ," 14,704 "," 6,779 "," 21,483 "," 3,295 "," 24,777 "
 194 ," 13,423 "," 6,816 "," 20,239 "," 11,334 "," 31,573 "
 195 ," 21,339 "," 14,200 "," 35,539 "," 18,880 "," 54,419 "
 196 ," 12,335 "," 17,956 "," 30,291 "," 26,054 "," 56,345 "
 197 ," 19,925 "," 13,741 "," 33,665 "," 9,389 "," 43,054 "
 198 ," 40,579 "," 24,534 "," 65,113 "," 22,875 "," 87,988 "
 199 ," 41,181 "," 25,341 "," 66,522 "," 70,204 "," 136,726 "
 200 ," 22,014 "," 4,969 "," 26,983 "," 21,233 "," 48,216 "
 201 ," 32,310 "," 14,048 "," 46,358 "," 60,050 "," 106,408 "
 202 ," 38,382 "," 44,500 "," 82,882 "," 44,647 "," 127,529 "
 203 ," 26,774 "," 8,274 "," 35,047 "," 44,894 "," 79,942 "
 204 ," 52,055 "," 33,402 "," 85,457 "," 56,006 "," 141,463 "
 205 ," 45,383 "," 19,047 "," 64,431 "," 67,169 "," 131,600 "
 206 ," 28,658 "," 22,177 "," 50,834 "," 24,525 "," 75,360 "
 207 ," 36,857 "," 32,584 "," 69,441 "," 79,008 "," 148,449 "
 208 ," 34,791 "," 31,294 "," 66,084 "," 14,929 "," 81,014 "
 209 ," 21,374 "," 34,956 "," 56,331 "," 12,645 "," 68,975 "
 210 ," 30,699 "," 26,296 "," 56,995 "," 5,499 "," 62,494 "
 211 ," 26,510 "," 33,136 "," 59,647 "," 10,572 "," 70,218 "
 212 ," 24,265 "," 18,422 "," 42,687 "," 12,741 "," 55,428 "
 213 ," 29,553 "," 30,159 "," 59,712 "," 15,574 "," 75,286 "
 214 ," 15,945 "," 17,885 "," 33,830 "," 4,649 "," 38,479 "
 215 ," 22,815 "," 22,876 "," 45,691 "," 14,224 "," 59,915 "
 216 ," 16,726 "," 23,155 "," 39,881 "," 20,970 "," 60,851 "
 217 ," 14,953 "," 9,860 "," 24,813 "," 8,540 "," 33,353 "
 218 ," 37,103 "," 27,018 "," 64,121 "," 44,214 "," 108,335 "
 219 ," 17,883 "," 29,785 "," 47,669 "," 21,561 "," 69,229 "
 220 ," 16,753 "," 15,951 "," 32,703 "," 17,238 "," 49,942 "
 221 ," 23,983 "," 28,238 "," 52,221 "," 20,997 "," 73,218 "
 222 ," 26,016 "," 29,287 "," 55,303 "," 16,780 "," 72,083 "
 223 ," 19,646 "," 12,982 "," 32,628 "," 13,850 "," 46,477 "
 224 ," 1,926 "," 4,420 "," 6,345 "," 1,100 "," 7,445 "
 225 ," 26,269 "," 15,956 "," 42,225 "," 18,282 "," 60,506 "
 226 ," 54,405 "," 31,172 "," 85,576 "," 27,979 "," 113,556 "
 227 ," 38,188 "," 21,291 "," 59,479 "," 38,789 "," 98,268 "
 228 ," 24,316 "," 6,200 "," 30,516 "," 31,151 "," 61,667 "
 229 ," 70,528 "," 39,758 "," 110,287 "," 101,639 "," 211,926 "
 230 ," 33,322 "," 17,272 "," 50,594 "," 44,622 "," 95,215 "
 231 ," 25,976 "," 13,963 "," 39,939 "," 8,839 "," 48,778 "
 232 ," 21,904 "," 21,625 "," 43,529 "," 25,673 "," 69,202 "
 233 ," 33,356 "," 22,159 "," 55,515 "," 26,885 "," 82,400 "
 234 ," 23,301 "," 20,069 "," 43,370 "," 38,598 "," 81,967 "
 235 ," 24,657 "," 20,053 "," 44,709 "," 40,899 "," 85,608 "
 236 ," 14,760 "," 12,241 "," 27,002 "," 6,386 "," 33,387 "
 237 ," 11,866 "," 19,075 "," 30,941 "," 8,620 "," 39,562 "
 238 ," 11,924 "," 14,750 "," 26,673 "," 5,473 "," 32,146 "
 239 ," 27,909 "," 18,741 "," 46,651 "," 13,771 "," 60,422 "
 240 ," 14,625 "," 22,768 "," 37,393 "," 5,036 "," 42,429 "
 241 ," 11,465 "," 15,849 "," 27,313 "," 4,493 "," 31,807 "
 242 ," 12,879 "," 17,090 "," 29,969 "," 17,836 "," 47,806 "
 243 ," 26,647 "," 37,370 "," 64,018 "," 32,271 "," 96,289 "
 244 ," 34,426 "," 19,501 "," 53,927 "," 38,742 "," 92,669 "
 245 ," 4,207 "," 9,403 "," 13,610 "," 11,579 "," 25,190 "
 246 ," 17,509 "," 9,678 "," 27,187 "," 15,867 "," 43,055 "
 247 ," 42,222 "," 26,128 "," 68,350 "," 37,625 "," 105,975 "
 248 ," 1,120 ", 375 ," 1,495 ", -   ," 1,495 "
 249 ," 20,108 "," 12,865 "," 32,973 "," 20,405 "," 53,378 "
 250 ," 11,542 "," 27,661 "," 39,204 "," 7,651 "," 46,854 "
 251 ," 7,922 "," 15,890 "," 23,813 "," 7,811 "," 31,624 "
 252 ," 11,260 "," 17,230 "," 28,491 "," 6,082 "," 34,573 "
 253 ," 3,730 "," 4,956 "," 8,686 "," 4,802 "," 13,488 "
 254 ," 47,593 "," 37,501 "," 85,093 "," 15,905 "," 100,999 "
 255 ," 21,862 "," 38,665 "," 60,528 "," 31,345 "," 91,873 "
 256 ," 12,419 "," 21,773 "," 34,192 "," 14,020 "," 48,212 "
 257 ," 23,568 "," 15,218 "," 38,786 "," 13,258 "," 52,044 "
 258 ," 23,674 "," 22,659 "," 46,333 "," 35,404 "," 81,737 "
 259 ," 14,597 "," 9,025 "," 23,622 "," 12,275 "," 35,897 "
 260 ," 28,639 "," 14,721 "," 43,359 "," 20,427 "," 63,786 "
 261 ," 38,024 "," 22,491 "," 60,515 "," 23,462 "," 83,977 "
 262 ," 32,486 "," 12,099 "," 44,585 "," 29,076 "," 73,661 "
 263 ," 29,019 "," 21,269 "," 50,287 "," 45,318 "," 95,605 "
 264 ," 41,137 "," 44,564 "," 85,701 "," 30,631 "," 116,332 "
 265 ," 29,225 "," 23,654 "," 52,879 "," 28,967 "," 81,846 "
 266 ," 9,217 "," 9,323 "," 18,540 "," 8,747 "," 27,287 "
 267 ," 14,616 "," 21,961 "," 36,577 "," 20,242 "," 56,819 "
 268 ," 10,388 "," 14,935 "," 25,323 "," 3,379 "," 28,702 "
