Tabela 5,,,,,,
População por Faixa de Renda Familiar Mensal e Zona de Residência – 2023,,,,,,
Região Metropolitana de São Paulo,,,,,,
Pesquisa Origem e Destino 2023,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,
,,,,,,
 Zona de ,      Faixa de Renda (*),,,,,
 Residência ,até 2.640,2.640 a 5.280,5.280 a 10.560,10.560 a 15.840,mais de 15.840,Total
,,,,,,
 175 ," 5,487 "," 14,139 "," 14,748 "," 1,745 ", 543 ," 36,662 "
 176 ," 12,217 "," 19,780 "," 10,501 "," 2,731 "," 1,426 "," 46,655 "
 177 ," 2,371 "," 8,561 "," 3,529 ", -   , -   ," 14,461 "
 178 , - , - , - , - , - , -   
 179 , - , - , - , - , - , -   
 180 ," 30,103 "," 21,774 "," 15,193 "," 1,459 ", -   ," 68,529 "
 181 ," 2,627 "," 17,433 "," 22,334 "," 2,934 "," 1,268 "," 46,595 "
 182 ," 6,060 "," 19,933 "," 15,427 "," 3,841 ", 605 ," 45,868 "
 183 ," 8,455 "," 16,998 "," 17,974 "," 2,288 ", 531 ," 46,246 "
 184 ," 2,208 "," 7,072 "," 11,434 "," 1,815 "," 1,157 "," 23,686 "
 185 ," 6,084 "," 10,910 "," 9,440 ", -   , -   ," 26,434 "
 186 , 614 ," 2,814 "," 5,668 ", 765 , 249 ," 10,111 "
 187 ," 18,002 "," 23,667 "," 5,027 "," 1,829 ", -   ," 48,525 "
 188 ," 4,045 "," 13,870 "," 6,672 "," 4,001 ", 179 ," 28,767 "
 189 ," 9,655 "," 25,309 "," 12,621 "," 2,320 ", -   ," 49,905 "
 190 ," 1,724 "," 7,583 "," 22,238 "," 2,768 "," 1,994 "," 36,307 "
 191 , - , - , - , - , - , -   
 192 ," 11,691 "," 13,605 "," 8,587 "," 2,102 "," 1,838 "," 37,823 "
 193 ," 4,328 "," 14,152 "," 6,293 ", 398 , -   ," 25,171 "
 194 ," 4,580 "," 13,904 "," 7,512 ", 612 , -   ," 26,608 "
 195 , 747 ," 20,357 "," 17,868 "," 1,416 ", -   ," 40,388 "
 196 ," 9,973 "," 9,602 "," 12,683 "," 1,342 ", -   ," 33,600 "
 197 ," 2,787 "," 6,413 "," 12,464 ", 164 ," 1,568 "," 23,395 "
 198 ," 6,731 "," 8,688 "," 9,174 "," 1,128 ", 309 ," 26,029 "
 199 ," 5,009 "," 73,759 "," 19,321 "," 1,546 ", -   ," 99,634 "
 200 ," 12,037 "," 15,673 "," 4,909 ", 371 , -   ," 32,990 "
 201 ," 7,357 "," 29,136 "," 25,181 "," 7,454 ", -   ," 69,129 "
 202 ," 16,187 "," 33,951 "," 22,676 ", 584 ," 1,640 "," 75,039 "
 203 ," 5,034 "," 33,119 "," 14,093 ", 810 , -   ," 53,056 "
 204 ," 51,251 "," 41,197 "," 22,972 ", -   , -   ," 115,420 "
 205 ," 16,291 "," 64,010 "," 17,208 ", -   , -   ," 97,509 "
 206 ," 9,128 "," 18,086 "," 10,706 ", -   ," 1,523 "," 39,442 "
 207 ," 24,353 "," 37,485 "," 11,607 ", -   , -   ," 73,445 "
