 Tabela 4 ,,,,
 População por Sexo e Zona de Residência – 2023 ,,,,
 Região Metropolitana de São Paulo ,,,,
 Pesquisa Origem e Destino 2023 ,,,,
 Companhia do Metropolitano de São Paulo  ,,,,
,,,,
 Zona de , População por Sexo ,,,
 Residência , Masculino , Feminino , Não respondeu , Total 
,,,,
 209 ," 17,635 "," 23,707 ", -   ," 41,342 "
 210 ," 14,859 "," 19,252 ", -   ," 34,111 "
 211 ," 25,949 "," 34,417 ", -   ," 60,366 "
 212 ," 22,537 "," 20,860 ", -   ," 43,397 "
 213 ," 21,857 "," 26,546 ", -   ," 48,403 "
 214 ," 14,049 "," 12,118 ", -   ," 26,167 "
 215 ," 19,150 "," 21,006 ", -   ," 40,156 "
 216 ," 17,407 "," 22,401 ", -   ," 39,808 "
 217 ," 14,240 "," 17,800 ", -   ," 32,040 "
 218 ," 30,132 "," 35,778 ", -   ," 65,910 "
 219 ," 24,612 "," 24,427 ", -   ," 49,039 "
 220 ," 17,660 "," 17,707 ", -   ," 35,367 "
 221 ," 29,592 "," 26,058 ", -   ," 55,650 "
 222 ," 21,260 "," 26,538 ", -   ," 47,798 "
 223 ," 14,296 "," 14,438 ", -   ," 28,734 "
 224 , - , - , - , -   
 225 ," 22,873 "," 24,149 ", -   ," 47,022 "
 226 ," 39,558 "," 44,422 ", 427 ," 84,407 "
 227 ," 30,961 "," 33,110 ", -   ," 64,071 "
 228 ," 25,720 "," 22,241 ", -   ," 47,961 "
 229 ," 64,044 "," 70,136 ", -   ," 134,180 "
 230 ," 31,094 "," 33,728 ", -   ," 64,822 "
 231 ," 24,454 "," 24,692 ", -   ," 49,146 "
 232 ," 23,165 "," 23,664 ", -   ," 46,829 "
 233 ," 27,067 "," 30,378 ", -   ," 57,445 "
 234 ," 38,775 "," 37,057 ", -   ," 75,832 "
 235 ," 43,078 "," 32,916 ", -   ," 75,994 "
 236 ," 5,232 "," 6,840 ", -   ," 12,072 "
 237 ," 5,313 "," 5,771 ", -   ," 11,084 "
 238 ," 9,866 "," 10,157 ", -   ," 20,023 "
 239 ," 8,006 "," 6,758 ", -   ," 14,764 "
 240 ," 8,306 "," 12,150 ", -   ," 20,456 "
 241 ," 4,741 "," 6,123 ", -   ," 10,864 "
 242 ," 14,986 "," 14,911 ", -   ," 29,897 "
 243 ," 22,642 "," 23,152 ", -   ," 45,794 "
 244 ," 27,714 "," 39,466 ", -   ," 67,180 "
 245 ," 10,672 "," 14,409 ", -   ," 25,081 "
 246 ," 13,629 "," 16,567 ", -   ," 30,196 "
 247 ," 47,835 "," 51,846 ", -   ," 99,681 "
 248 , - , - , - , -   
 249 ," 14,177 "," 24,943 ", -   ," 39,120 "
 250 ," 9,013 "," 10,875 ", -   ," 19,888 "
 251 ," 9,622 "," 15,409 ", -   ," 25,031 "
 252 ," 10,724 "," 10,962 ", -   ," 21,686 "
 253 ," 2,870 "," 2,736 ", -   ," 5,606 "
 254 ," 15,666 "," 19,492 ", -   ," 35,158 "
 255 ," 25,477 "," 42,075 ", -   ," 67,552 "
 256 ," 11,951 "," 15,932 ", -   ," 27,883 "
 257 ," 17,686 "," 26,707 ", -   ," 44,393 "
 258 ," 29,010 "," 40,182 ", -   ," 69,192 "
 259 ," 16,596 "," 18,105 ", -   ," 34,701 "
 260 ," 21,043 "," 22,233 ", -   ," 43,276 "
 261 ," 26,785 "," 26,694 ", -   ," 53,479 "
 262 ," 36,311 "," 42,865 ", -   ," 79,176 "
 263 ," 29,961 "," 32,749 ", -   ," 62,710 "
 264 ," 31,593 "," 32,713 ", -   ," 64,306 "
 265 ," 19,707 "," 23,131 ", -   ," 42,838 "
 266 ," 8,863 "," 11,151 ", -   ," 20,014 "
 267 ," 12,751 "," 19,641 ", -   ," 32,392 "
 268 ," 6,146 "," 6,757 ", -   ," 12,903 "
 269 ," 14,340 "," 15,012 ", -   ," 29,352 "
 270 ," 4,337 "," 5,149 ", -   ," 9,486 "
 271 , - , - , - , -   
 272 ," 8,525 "," 12,558 ", -   ," 21,083 "
 273 ," 25,798 "," 36,067 ", -   ," 61,865 "
 274 ," 10,494 "," 20,738 ", 578 ," 31,810 "
 275 ," 16,757 "," 21,695 ", -   ," 38,452 "
 276 ," 38,049 "," 50,132 ", -   ," 88,181 "
 277 ," 25,047 "," 32,582 ", -   ," 57,629 "
 278 ," 56,510 "," 66,437 ", -   ," 122,947 "
 279 ," 37,252 "," 37,055 ", 525 ," 74,833 "
 280 ," 8,868 "," 16,695 ", -   ," 25,563 "
 281 ," 18,979 "," 20,666 ", -   ," 39,645 "
 282 ," 15,971 "," 20,264 ", -   ," 36,235 "
 283 ," 7,935 "," 9,427 ", -   ," 17,362 "
 284 ," 28,847 "," 23,606 ", -   ," 52,453 "
