Tabela 11,,,,
Empregos por Setor de Atividade e Zona de Emprego – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de Emprego, Empregos por Setor de Atividade ,,, Total 
, Secundário , Terciário , Outros ,
,,,,
 134 ," 1,055 "," 13,364 ", -   ," 14,419 "
 135 , 696 ," 19,138 ", -   ," 19,835 "
 136 ," 4,212 "," 17,229 ", -   ," 21,441 "
 137 ," 2,990 "," 16,047 ", -   ," 19,037 "
 138 ," 5,125 "," 10,204 ", -   ," 15,329 "
 139 ," 1,366 "," 6,952 ", -   ," 8,318 "
 140 , 791 ," 10,550 ", -   ," 11,342 "
 141 ," 6,558 "," 25,796 ", -   ," 32,355 "
 142 ," 2,187 "," 11,339 ", -   ," 13,526 "
 143 , -   , -   , -   , -   
 144 ," 1,390 "," 30,570 ", -   ," 31,960 "
 145 , 190 ," 2,467 ", -   ," 2,658 "
 146 , -   , -   , -   , -   
 147 ," 1,937 "," 7,637 ", -   ," 9,574 "
 148 , 703 ," 7,373 ", -   ," 8,076 "
 149 , -   , -   , -   , -   
 150 ," 5,045 "," 10,453 ", -   ," 15,498 "
 151 ," 1,606 "," 15,576 ", -   ," 17,183 "
 152 ," 1,203 "," 10,607 ", -   ," 11,810 "
 153 , 778 ," 7,335 ", -   ," 8,113 "
 154 ," 4,832 "," 22,323 ", -   ," 27,155 "
 155 ," 2,112 "," 4,955 ", -   ," 7,067 "
 156 ," 1,578 "," 16,745 ", -   ," 18,323 "
 157 ," 1,518 "," 2,027 ", -   ," 3,545 "
 158 ," 3,056 "," 13,836 ", -   ," 16,892 "
 159 ," 4,567 "," 18,602 ", -   ," 23,169 "
 160 ," 3,182 "," 14,494 ", -   ," 17,676 "
 161 ," 5,008 "," 30,095 ", -   ," 35,103 "
 162 ," 5,563 "," 20,221 ", -   ," 25,784 "
 163 ," 3,673 "," 21,523 ", -   ," 25,196 "
 164 ," 4,238 "," 14,263 ", -   ," 18,501 "
 165 ," 1,246 "," 8,243 ", -   ," 9,489 "
 166 ," 2,381 "," 33,946 ", -   ," 36,327 "
 167 ," 1,623 "," 35,291 ", -   ," 36,914 "
 168 , 970 ," 25,555 ", -   ," 26,525 "
 169 ," 1,494 "," 21,967 ", -   ," 23,461 "
 170 ," 1,191 "," 33,184 ", -   ," 34,375 "
 171 ," 2,505 "," 13,076 ", -   ," 15,581 "
 172 , -   ," 8,988 ", -   ," 8,988 "
 173 ," 1,809 "," 9,015 ", -   ," 10,824 "
 174 , 387 ," 8,254 ", -   ," 8,641 "
 175 , 947 ," 9,555 ", -   ," 10,502 "
 176 ," 3,068 "," 9,882 ", -   ," 12,950 "
 177 , 285 ," 2,655 ", -   ," 2,939 "
 178 , 451 , 149 , -   , 601 
 179 , -   , -   , -   , -   
 180 ," 3,281 "," 7,418 ", -   ," 10,699 "
 181 ," 3,948 "," 15,924 ", -   ," 19,872 "
 182 ," 1,838 "," 9,891 ", -   ," 11,729 "
 183 ," 1,256 "," 11,619 ", -   ," 12,875 "
 184 ," 1,176 "," 5,231 ", -   ," 6,406 "
 185 , 875 ," 4,656 ", -   ," 5,531 "
 186 , 255 ," 2,649 ", -   ," 2,904 "
 187 , 143 ," 9,698 ", -   ," 9,841 "
 188 , 326 ," 11,746 ", -   ," 12,072 "
 189 ," 1,663 "," 10,737 ", -   ," 12,400 "
 190 ," 2,046 "," 18,007 ", -   ," 20,052 "
 191 , 386 ," 8,178 ", -   ," 8,564 "
 192 , 950 ," 10,810 ", -   ," 11,760 "
 193 , 319 ," 5,586 ", -   ," 5,905 "
 194 ," 1,369 "," 6,525 ", -   ," 7,894 "
 195 ," 2,304 "," 10,645 ", -   ," 12,949 "
 196 , 624 ," 6,101 ", -   ," 6,725 "
 197 , 931 ," 8,138 ", -   ," 9,070 "
 198 ," 2,146 "," 23,016 ", -   ," 25,162 "
 199 ," 5,826 "," 17,867 ", -   ," 23,693 "
 200 , 851 ," 4,140 ", -   ," 4,991 "
 201 ," 1,268 "," 10,717 ", -   ," 11,985 "
 202 ," 1,991 "," 14,087 ", -   ," 16,078 "
 203 , 909 ," 10,704 ", -   ," 11,612 "
 204 ," 3,577 "," 29,097 ", -   ," 32,674 "
 205 ," 2,831 "," 20,383 ", -   ," 23,214 "
 206 ," 1,798 "," 16,775 ", -   ," 18,573 "
 207 , -   ," 17,479 ", -   ," 17,479 "
 208 ," 4,109 "," 31,781 ", -   ," 35,890 "
 209 ," 3,714 "," 14,503 ", -   ," 18,217 "
 210 ," 2,879 "," 19,397 ", -   ," 22,276 "
 211 ," 2,434 "," 15,708 ", -   ," 18,143 "
 212 ," 3,256 "," 16,008 ", -   ," 19,264 "
 213 ," 3,108 "," 21,585 ", -   ," 24,692 "
 214 ," 2,113 "," 15,328 ", -   ," 17,442 "
 215 , 733 ," 17,820 ", -   ," 18,553 "
 216 ," 2,456 "," 10,537 ", -   ," 12,994 "
 217 ," 1,389 "," 7,392 ", -   ," 8,780 "
 218 , 885 ," 14,448 ", -   ," 15,333 "
 219 ," 1,690 "," 8,255 ", -   ," 9,945 "
 220 ," 2,301 "," 7,367 ", -   ," 9,668 "
 221 ," 3,121 "," 21,300 ", -   ," 24,421 "
 222 ," 1,029 "," 16,352 ", -   ," 17,382 "
 223 ," 1,066 "," 8,596 ", -   ," 9,661 "
 224 , 110 ," 1,244 ", -   ," 1,354 "
 225 ," 5,378 "," 13,907 ", -   ," 19,284 "
 226 ," 1,278 "," 12,064 ", -   ," 13,342 "
 227 ," 4,040 "," 18,052 ", -   ," 22,092 "
 228 ," 2,531 "," 6,740 ", -   ," 9,271 "
 229 ," 1,879 "," 21,678 ", -   ," 23,557 "
 230 ," 2,295 "," 14,327 ", -   ," 16,622 "
 231 ," 2,993 "," 8,761 ", -   ," 11,755 "
 232 ," 1,485 "," 9,114 ", -   ," 10,599 "
 233 , 964 ," 8,419 ", -   ," 9,384 "
 234 ," 5,731 "," 10,595 ", -   ," 16,326 "
 235 ," 3,248 "," 14,542 ", -   ," 17,790 "
 236 ," 1,703 "," 11,620 ", -   ," 13,323 "
 237 ," 1,861 "," 11,728 ", -   ," 13,589 "
 238 ," 3,343 "," 9,566 ", -   ," 12,909 "
 239 , 640 ," 18,756 ", -   ," 19,396 "
 240 ," 1,856 "," 13,453 ", -   ," 15,309 "
 241 ," 3,785 "," 8,472 ", -   ," 12,257 "
 242 ," 6,568 "," 11,473 ", -   ," 18,042 "
 243 ," 5,923 "," 21,403 ", -   ," 27,326 "
 244 , -   ," 14,622 ", -   ," 14,622 "
 245 , 815 ," 3,453 ", -   ," 4,269 "
 246 ," 1,222 "," 6,834 ", -   ," 8,055 "
 247 ," 2,885 "," 17,743 ", -   ," 20,627 "
 248 , -   , 907 , -   , 907 
 249 ," 3,148 "," 4,665 ", -   ," 7,813 "
 250 , 311 ," 15,785 ", -   ," 16,096 "
 251 , 576 ," 6,220 ", -   ," 6,795 "
 252 , 267 ," 6,044 ", -   ," 6,311 "
 253 , 963 ," 4,695 ", -   ," 5,658 "
 254 ," 2,194 "," 31,022 ", -   ," 33,216 "
 255 ," 3,788 "," 17,834 ", -   ," 21,622 "
 256 ," 1,881 "," 6,560 ", -   ," 8,440 "
 257 ," 3,120 "," 8,750 ", -   ," 11,869 "
 258 ," 5,720 "," 19,112 ", -   ," 24,832 "
 259 , 811 ," 4,890 ", -   ," 5,701 "
 260 , 515 ," 6,767 ", -   ," 7,282 "
 261 ," 4,377 "," 18,550 ", -   ," 22,927 "
 262 ," 5,671 "," 12,292 ", -   ," 17,963 "
 263 ," 5,008 "," 16,265 ", -   ," 21,273 "
 264 ," 9,445 "," 25,821 ", -   ," 35,266 "
 265 ," 3,553 "," 14,451 ", -   ," 18,004 "
 266 , 976 ," 2,476 ", -   ," 3,452 "
 267 ," 3,690 "," 13,346 ", -   ," 17,036 "
 268 , 662 ," 8,386 ", 32 ," 9,079 "
 269 ," 1,930 "," 18,459 ", -   ," 20,389 "
 270 ," 1,197 "," 11,103 ", -   ," 12,300 "
 271 , -   ," 12,736 ", -   ," 12,736 "
 272 , 492 ," 14,902 ", -   ," 15,394 "
 273 ," 2,930 "," 16,823 ", -   ," 19,753 "
 274 ," 2,105 "," 40,106 ", -   ," 42,211 "
 275 ," 1,652 "," 16,684 ", -   ," 18,336 "
 276 ," 2,403 "," 14,035 ", -   ," 16,438 "
 277 ," 1,338 "," 18,773 ", -   ," 20,111 "
 278 ," 3,391 "," 21,888 ", -   ," 25,279 "
 279 , 698 ," 13,611 ", -   ," 14,309 "
 280 ," 4,435 "," 17,921 ", -   ," 22,356 "
 281 , 872 ," 18,406 ", -   ," 19,278 "
 282 ," 1,214 "," 18,330 ", -   ," 19,544 "
 283 ," 3,321 "," 4,893 ", -   ," 8,214 "
 284 ," 1,807 "," 9,104 ", -   ," 10,911 "
 285 ," 6,886 "," 19,708 ", -   ," 26,594 "
 286 ," 6,203 "," 17,598 ", -   ," 23,801 "
 287 ," 1,825 "," 16,962 ", -   ," 18,786 "
 288 ," 1,195 "," 10,204 ", -   ," 11,399 "
 289 ," 2,987 "," 17,600 ", -   ," 20,587 "
 290 ," 1,877 "," 14,998 ", -   ," 16,875 "
 291 ," 2,865 "," 19,663 ", -   ," 22,528 "
 292 ," 3,057 "," 12,411 ", -   ," 15,467 "
 293 , 303 ," 20,452 ", -   ," 20,755 "
 294 ," 5,364 "," 29,226 ", -   ," 34,589 "
 295 ," 4,294 "," 32,140 ", -   ," 36,434 "
 296 , 184 ," 1,901 ", 294 ," 2,379 "
 297 , 778 ," 1,984 ", -   ," 2,762 "
 298 ," 11,669 "," 47,585 ", -   ," 59,254 "
 299 , 774 ," 1,086 ", 71 ," 1,931 "
 300 , -   , 86 , -   , 86 
 301 ," 11,546 "," 108,951 ", 231 ," 120,728 "
 302 ," 2,449 "," 23,063 ", -   ," 25,512 "
 303 ," 2,145 "," 25,723 ", -   ," 27,868 "
 304 ," 3,613 "," 26,440 ", -   ," 30,053 "
 305 ," 3,784 "," 21,967 ", 130 ," 25,881 "
 306 ," 5,225 "," 22,015 ", -   ," 27,240 "
 307 ," 2,739 "," 9,944 ", -   ," 12,683 "
 308 ," 4,910 "," 17,721 ", -   ," 22,632 "
 309 , 341 ," 5,427 ", -   ," 5,768 "
 310 , 774 ," 8,875 ", -   ," 9,649 "
 311 , 746 ," 6,019 ", -   ," 6,765 "
 312 ," 5,890 "," 16,259 ", -   ," 22,149 "
 313 ," 3,611 "," 14,980 ", -   ," 18,591 "
 314 , 573 ," 5,235 ", -   ," 5,808 "
 315 ," 2,385 "," 25,940 ", -   ," 28,325 "
 316 ," 2,979 "," 23,728 ", -   ," 26,707 "
 317 ," 1,281 "," 18,698 ", -   ," 19,979 "
 318 , 833 ," 9,250 ", 6 ," 10,090 "
 319 ," 2,411 "," 19,307 ", -   ," 21,717 "
 320 ," 1,081 "," 18,311 ", -   ," 19,392 "
 321 ," 2,130 "," 13,299 ", -   ," 15,429 "
 322 ," 1,692 "," 24,530 ", -   ," 26,222 "
 323 ," 3,017 "," 19,533 ", -   ," 22,550 "
 324 , 442 ," 12,290 ", -   ," 12,732 "
 325 ," 2,559 "," 16,352 ", -   ," 18,911 "
 326 ," 1,775 "," 15,581 ", -   ," 17,356 "
 327 , 585 ," 8,283 ", -   ," 8,869 "
 328 , 181 ," 10,670 ", 63 ," 10,914 "
 329 , 915 ," 13,377 ", -   ," 14,291 "
 330 ," 1,738 "," 19,883 ", -   ," 21,621 "
 331 ," 1,406 "," 11,968 ", -   ," 13,374 "
 332 ," 3,706 "," 15,590 ", -   ," 19,297 "
 333 ," 4,483 "," 12,971 ", -   ," 17,454 "
 334 ," 2,035 "," 7,849 ", -   ," 9,884 "
 335 ," 3,397 "," 13,833 ", -   ," 17,230 "
 336 , 897 ," 13,034 ", -   ," 13,931 "
 337 ," 1,485 "," 14,084 ", -   ," 15,568 "
 338 ," 1,526 "," 9,219 ", -   ," 10,745 "
 339 ," 7,352 "," 15,270 ", -   ," 22,623 "
 340 , -   ," 26,926 ", -   ," 26,926 "
 341 ," 1,308 "," 18,193 ", -   ," 19,501 "
 342 , 535 ," 4,338 ", -   ," 4,873 "
 343 ," 1,731 "," 12,198 ", -   ," 13,929 "
 344 , 122 ," 1,401 ", -   ," 1,524 "
 345 ," 5,522 "," 20,053 ", -   ," 25,575 "
 346 ," 2,863 "," 7,057 ", -   ," 9,920 "
 347 , 359 , 271 , -   , 631 
 348 ," 12,766 "," 38,478 ", -   ," 51,244 "
 349 ," 3,687 "," 9,892 ", -   ," 13,578 "
 350 , 300 , -   , -   , 300 
 351 ," 5,282 "," 14,777 ", -   ," 20,059 "
 352 ," 2,142 "," 12,929 ", -   ," 15,071 "
 353 , -   ," 1,227 ", -   ," 1,227 "
 354 , -   , -   , -   , -   
 355 , -   , -   , -   , -   
 356 , 953 ," 13,346 ", -   ," 14,299 "
 357 ," 3,205 "," 15,638 ", -   ," 18,843 "
 358 , 364 , 383 , -   , 747 
 359 ," 2,807 "," 17,428 ", -   ," 20,235 "
 360 , -   ," 6,400 ", -   ," 6,400 "
 361 ," 2,660 "," 5,611 ", -   ," 8,272 "
 362 ," 2,151 "," 2,681 ", 238 ," 5,070 "
 363 , 787 ," 36,556 ", -   ," 37,343 "
 364 ," 1,411 "," 33,375 ", -   ," 34,786 "
 365 ," 21,952 "," 14,972 ", -   ," 36,924 "
 366 ," 4,274 "," 7,580 ", -   ," 11,853 "
 367 ," 11,746 "," 20,757 ", -   ," 32,503 "
 368 , 993 ," 11,341 ", -   ," 12,334 "
 369 ," 6,860 "," 12,003 ", -   ," 18,863 "
 370 ," 2,727 "," 17,642 ", -   ," 20,369 "
 371 ," 3,275 "," 31,650 ", -   ," 34,925 "
 372 , 539 ," 6,326 ", -   ," 6,865 "
 373 ," 3,172 "," 21,363 ", -   ," 24,535 "
 374 ," 4,280 "," 31,085 ", -   ," 35,364 "
 375 ," 1,820 "," 27,851 ", -   ," 29,670 "
 376 ," 13,741 "," 24,953 ", -   ," 38,694 "
 377 ," 10,231 "," 14,392 ", -   ," 24,623 "
 378 ," 20,836 "," 44,194 ", -   ," 65,030 "
 379 ," 18,129 "," 26,489 ", -   ," 44,618 "
 380 ," 3,347 "," 6,778 ", -   ," 10,125 "
 381 ," 6,001 "," 11,291 ", -   ," 17,293 "
 382 , -   , -   , -   , -   
 383 ," 5,945 "," 14,482 ", -   ," 20,427 "
 384 ," 1,903 "," 19,967 ", -   ," 21,871 "
 385 ," 1,410 "," 4,233 ", -   ," 5,643 "
 386 , -   , -   , -   , -   
 387 ," 2,023 "," 1,277 "," 1,739 "," 5,039 "
 388 ," 16,843 "," 25,565 ", -   ," 42,408 "
 389 ," 1,122 "," 4,430 ", -   ," 5,553 "
 390 ," 5,129 "," 11,238 ", -   ," 16,367 "
 391 , 945 ," 2,498 ", 39 ," 3,483 "
 392 , -   , 186 , -   , 186 
 393 , 310 , -   , -   , 310 
 394 ," 7,023 "," 20,303 ", -   ," 27,326 "
 395 , -   , 349 , -   , 349 
 396 ," 8,111 "," 16,396 ", -   ," 24,507 "
 397 , 565 ," 2,694 ", -   ," 3,259 "
 398 ," 7,936 "," 31,896 ", -   ," 39,833 "
 399 ," 7,304 "," 27,248 ", -   ," 34,551 "
 400 ," 7,427 "," 19,353 ", -   ," 26,781 "
 401 ," 16,181 "," 18,587 ", -   ," 34,769 "
 402 ," 7,571 "," 12,947 ", -   ," 20,519 "
 403 ," 15,398 "," 16,534 ", -   ," 31,932 "
