Tabela 19,,,,,,,,,,
Viagens Diárias Produzidas a Pé por Razão de Escolha do Modo e Zona de Origem – 2023,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,
,,,,,,,,,,
,Viagens a Pé por Razão da Escolha do Modo,,,,,,,,,
Zona de Origem,Pequena Distância,Condução Cara,Ponto/ Estação Distante,Condução Demora para Passar,Viagem Demorada,Condução Lotada,Atividade Física,Medo de Contágio,Outros Motivos,Total
,,,,,,,,,,
 185 ," 19,763 ", 240 , -   , -   , -   , -   , 98 , -   , -   ," 20,101 "
 186 ," 5,814 ", 286 , -   , -   , -   , -   , -   , -   , -   ," 6,100 "
 187 ," 37,047 ", -   , -   , 368 , -   , -   , -   , -   , -   ," 37,415 "
 188 ," 20,418 ", -   , -   , -   , -   , -   , 310 , -   , 528 ," 21,257 "
 189 ," 28,276 ", -   , -   , 497 , -   , -   , -   , -   , -   ," 28,773 "
 190 ," 11,863 ", -   , -   , -   , -   , -   , 324 , -   , -   ," 12,187 "
 191 , - , - , - , - , - , - , - , - , - , -   
 192 ," 17,984 "," 1,173 ", -   , 370 , -   , -   , -   , -   , -   ," 19,527 "
 193 ," 3,091 ", -   , -   , 105 , -   , -   , 98 , -   , -   ," 3,295 "
 194 ," 7,978 "," 2,861 ", -   , 147 , 142 , -   , -   , -   , -   ," 11,129 "
 195 ," 17,132 ", -   , -   , 497 , -   , -   , -   , -   , -   ," 17,629 "
 196 ," 26,054 ", -   , -   , -   , -   , -   , -   , -   , -   ," 26,054 "
 197 ," 8,736 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,736 "
 198 ," 20,791 ", -   , -   , -   , -   , -   , 315 , -   , 528 ," 21,634 "
 199 ," 57,769 ", -   , -   , -   , -   , -   , 537 , -   , -   ," 58,307 "
 200 ," 17,127 "," 1,116 ", -   , -   , -   , -   , 152 , -   , -   ," 18,395 "
 201 ," 59,513 ", -   , -   , -   , -   , -   , 537 , -   , -   ," 60,050 "
 202 ," 43,014 ", 382 , -   , -   , -   , -   , -   , -   , -   ," 43,396 "
 203 ," 44,503 ", -   , -   , -   , -   , -   , -   , -   , -   ," 44,503 "
 204 ," 53,192 "," 1,277 ", -   , -   , -   , -   , -   , -   ," 1,538 "," 56,006 "
 205 ," 67,169 ", -   , -   , -   , -   , -   , -   , -   , -   ," 67,169 "
 206 ," 23,618 ", -   , -   , -   , -   , -   , -   , -   , -   ," 23,618 "
 207 ," 64,175 "," 7,336 ", -   , -   , -   , -   , -   , -   ," 1,038 "," 72,549 "
 208 ," 13,801 ", -   , -   , -   , -   , -   , 703 , -   , -   ," 14,504 "
 209 ," 10,445 ", -   ," 1,479 ", 295 , -   , -   , -   , -   , -   ," 12,219 "
 210 ," 5,499 ", -   , -   , -   , -   , -   , -   , -   , -   ," 5,499 "
 211 ," 10,572 ", -   , -   , -   , -   , -   , -   , -   , -   ," 10,572 "
 212 ," 12,741 ", -   , -   , -   , -   , -   , -   , -   , -   ," 12,741 "
 213 ," 15,574 ", -   , -   , -   , -   , -   , -   , -   , -   ," 15,574 "
 214 ," 4,102 ", -   , -   , -   , -   , -   , 547 , -   , -   ," 4,649 "
 215 ," 14,010 ", -   , 214 , -   , -   , -   , -   , -   , -   ," 14,224 "
 216 ," 19,559 ", -   , -   , -   , -   , -   , 742 , -   , -   ," 20,301 "
 217 ," 8,540 ", -   , -   , -   , -   , -   , -   , -   , -   ," 8,540 "
 218 ," 39,853 ", -   , -   , -   , -   , -   , -   , -   , 198 ," 40,051 "
 219 ," 20,420 ", -   , 935 , -   , -   , -   , 206 , -   , -   ," 21,561 "
 220 ," 16,640 ", 287 , -   , 114 , -   , -   , -   , -   , 198 ," 17,238 "
 221 ," 16,495 "," 1,413 ", -   , 114 , -   , -   , 206 , -   , -   ," 18,228 "
 222 ," 14,278 ", -   , -   , -   , -   , -   , -   , -   , -   ," 14,278 "
 223 ," 12,431 ", -   , -   ," 1,419 ", -   , -   , -   , -   , -   ," 13,850 "
 224 , -   , -   , 361 , -   , -   , -   , -   , -   , -   , 361 
