Tabela 23a,,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo no Destino,,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,
,,,,,,,,,,,,
359," 2,852 "," 6,876 "," 12,583 "," 25,687 "," 1,509 "," 1,278 ", 98 ," 40,819 ", -   ," 1,334 ", -   ," 93,036 "
360, 480 , -   ," 1,317 "," 2,958 ", 106 , 93 , 649 ," 15,922 ", -   , -   , -   ," 21,524 "
361," 2,596 "," 1,236 "," 4,691 "," 8,861 "," 1,390 ", 405 , 387 ," 21,269 ", -   , -   , -   ," 40,835 "
362," 3,454 ", -   ," 1,002 "," 2,075 ", 184 , -   , 666 ," 14,758 ", -   , -   , -   ," 22,139 "
363," 1,039 "," 13,176 "," 22,836 "," 22,216 "," 1,618 "," 7,442 "," 2,158 "," 15,831 ", -   ," 2,234 ", -   ," 88,550 "
364, 995 ," 9,751 "," 20,811 "," 26,924 "," 2,906 "," 3,705 ", 25 ," 32,109 ", -   ," 4,594 ", 122 ," 101,942 "
365," 20,990 "," 1,602 "," 9,735 "," 3,038 ", -   , -   , -   ," 7,018 ", -   , -   , -   ," 42,384 "
366," 3,958 "," 1,791 "," 6,521 ", 409 , -   , -   , 39 ," 8,105 ", -   , 780 , -   ," 21,603 "
367," 12,179 "," 10,876 "," 13,684 "," 8,588 "," 5,034 ", 509 ," 1,768 "," 30,395 ", -   , 622 , -   ," 83,655 "
368," 1,386 ", 664 ," 7,630 "," 11,857 ", 342 ," 1,531 "," 1,042 "," 28,116 ", -   , 923 , 70 ," 53,560 "
369," 7,070 "," 3,474 "," 7,214 "," 15,209 ", 246 ," 4,754 "," 1,693 "," 42,117 ", -   ," 1,408 ", -   ," 83,184 "
370," 2,868 "," 4,305 "," 6,355 "," 22,185 "," 1,443 "," 1,132 ", 959 ," 47,492 ", -   ," 3,040 ", -   ," 89,778 "
371," 2,938 "," 11,837 "," 15,702 "," 23,286 "," 4,593 ", 377 , -   ," 75,697 ", -   ," 1,618 "," 1,020 "," 137,068 "
372, 326 ," 1,484 "," 1,275 "," 17,199 "," 2,290 ", -   ," 1,695 "," 55,728 ", -   , 258 , -   ," 80,255 "
373," 1,768 "," 5,083 "," 7,753 "," 13,236 ", 167 ," 1,510 ", 587 ," 28,289 ", -   , 79 , -   ," 58,473 "
374," 1,193 "," 10,105 "," 13,247 "," 22,883 "," 6,231 ", -   , -   ," 28,006 ", -   , 808 , -   ," 82,473 "
375," 2,310 ", 350 ," 28,658 ", -   , 454 , -   , 91 , -   , 115 ," 1,437 ", -   ," 33,416 "
376," 15,132 "," 2,945 "," 12,561 "," 20,358 "," 1,452 "," 5,389 ", -   ," 66,945 ", -   ," 2,502 ", 207 ," 127,493 "
377," 14,139 ", 949 ," 8,027 "," 20,994 ", -   , 815 , 283 ," 35,379 ", -   ," 1,266 ", -   ," 81,852 "
378," 15,118 "," 5,748 "," 24,498 "," 51,507 "," 5,082 "," 3,238 "," 3,838 "," 131,216 ", 519 ," 4,162 ", 158 ," 245,084 "
379," 13,886 "," 6,137 "," 15,892 "," 33,532 "," 1,935 "," 2,015 ", 507 ," 72,795 ", -   , 627 , -   ," 147,327 "
380, 940 , 595 ," 5,324 "," 10,662 "," 2,824 "," 1,279 ", 270 ," 48,043 ", -   , -   , -   ," 69,936 "
381," 1,685 "," 2,646 "," 3,517 "," 20,218 "," 2,709 ", 797 , 229 ," 89,261 ", -   ," 2,421 ", -   ," 123,483 "
382, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
383," 1,132 "," 1,722 "," 5,301 "," 19,298 "," 3,275 "," 4,444 "," 1,325 "," 78,487 ", -   , 554 , 484 ," 116,020 "
384," 1,016 "," 2,228 "," 9,108 "," 22,639 "," 1,102 ", 614 , 360 ," 74,153 ", -   ," 4,567 ", -   ," 115,787 "
385, 487 , 589 ," 1,112 "," 9,148 ", 287 , -   , 232 ," 16,363 ", -   , -   , -   ," 28,218 "
386, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
387," 2,814 ", 192 ," 1,927 ", 872 , -   , -   , 53 ," 3,565 ", -   , -   , -   ," 9,422 "
388," 15,956 "," 5,548 "," 18,550 "," 22,822 "," 4,027 "," 3,562 ", 296 ," 66,467 ", -   , 627 , 52 ," 137,907 "
389," 1,358 "," 1,749 "," 1,905 ", 593 , 156 , -   , -   ," 5,710 ", -   , -   , -   ," 11,471 "
390," 3,953 "," 1,485 "," 9,617 "," 16,829 "," 1,941 "," 1,919 ", 609 ," 36,829 ", 111 , 481 , -   ," 73,776 "
391, 463 , 151 ," 1,296 ", 210 , 309 , 160 , 81 ," 7,276 ", -   , -   , -   ," 9,947 "
392, -   , 220 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 220 
393, 367 , -   , 265 , -   , -   , -   , -   , -   , -   , -   , -   , 632 
394," 2,888 "," 4,893 "," 9,401 "," 37,425 "," 3,676 "," 5,440 "," 2,092 "," 81,794 ", -   ," 2,948 ", 33 ," 150,590 "
395, -   , 412 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 412 
396," 4,491 "," 4,355 "," 10,374 "," 28,311 "," 2,319 ", -   ," 1,823 "," 90,389 ", -   ," 2,902 ", 548 ," 145,511 "
397, 513 , 750 ," 2,423 "," 7,442 ", -   , -   , -   ," 22,257 ", -   , -   , 84 ," 33,470 "
398," 9,872 "," 13,930 "," 18,575 "," 29,507 "," 3,750 ", 455 ," 2,569 "," 88,683 ", -   ," 6,380 "," 2,219 "," 175,940 "
399," 5,053 "," 6,389 "," 14,806 "," 32,621 "," 3,353 "," 1,673 "," 4,890 "," 90,340 ", -   ," 4,350 ", -   ," 163,476 "
400," 5,600 "," 3,662 "," 12,007 "," 32,543 "," 3,734 "," 6,045 "," 4,710 "," 62,058 ", -   ," 7,503 ", 381 ," 138,242 "
401," 13,213 "," 3,178 "," 6,784 "," 33,433 "," 2,753 ", 58 , 66 ," 103,445 "," 1,655 ", 189 , -   ," 164,775 "
402," 5,308 "," 4,405 "," 4,942 "," 21,846 ", 279 , 226 ," 1,341 "," 67,678 ", -   ," 1,225 ", -   ," 107,251 "
403," 14,657 "," 7,516 "," 6,083 "," 42,829 "," 4,745 "," 1,468 "," 1,710 "," 108,044 ", -   ," 2,716 ", 357 ," 190,124 "
404," 6,935 "," 13,850 "," 50,249 "," 77,079 "," 10,592 "," 14,207 "," 10,697 "," 160,846 "," 3,007 "," 13,282 "," 1,220 "," 361,965 "
405," 4,188 "," 1,467 "," 2,716 "," 10,981 ", 210 , -   ," 1,094 "," 22,521 ", -   , 973 , -   ," 44,151 "
406, 840 , 882 ," 3,323 "," 3,484 "," 1,466 ", -   , 391 ," 14,124 ", -   , -   , -   ," 24,509 "
407," 10,583 "," 6,893 "," 22,197 "," 36,314 "," 3,272 "," 11,824 "," 5,004 "," 57,488 ", 147 ," 6,243 "," 1,270 "," 161,233 "
408," 4,474 "," 6,013 "," 15,763 "," 18,998 "," 1,501 "," 1,716 "," 1,648 "," 29,784 ", -   , 643 , 257 ," 80,798 "
409," 1,201 "," 3,265 "," 14,117 "," 15,457 "," 2,878 ", -   ," 1,257 "," 26,210 ", -   ," 1,659 ", -   ," 66,044 "
410," 12,019 "," 3,032 "," 14,739 "," 21,376 ", 741 ," 1,137 ", 474 ," 88,198 ", -   ," 4,262 ", -   ," 145,978 "
411," 3,090 "," 3,250 "," 3,380 "," 14,733 ", -   , 347 ," 1,180 "," 47,238 ", -   ," 1,398 ", -   ," 74,615 "
412," 2,660 ", 555 ," 5,909 "," 6,394 ", -   , 159 , -   ," 14,652 ", -   ," 1,085 ", -   ," 31,416 "
413," 3,161 ", 164 ," 1,231 "," 1,924 ", -   , -   , -   ," 9,596 ", -   ," 1,402 ", -   ," 17,478 "
414," 1,093 ", 327 , 827 ," 2,542 ", 99 , -   , 50 ," 11,829 ", -   , 526 , -   ," 17,294 "
415," 4,075 "," 4,432 "," 6,992 "," 7,516 ", 892 , -   , -   ," 30,511 ", -   , 816 , 281 ," 55,513 "
416, -   , 257 ," 4,084 "," 6,055 ", -   , -   , 411 ," 10,906 ", -   , 649 , -   ," 22,362 "
417, -   , -   , -   , -   , -   , -   , -   , -   , -   , 178 , -   , 178 
418, 543 , 942 ," 2,558 "," 6,986 ", 204 , 813 , 374 ," 16,745 ", -   ," 1,490 ", -   ," 30,656 "
419, 31 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 31 
420, 409 , 694 ," 1,422 "," 3,485 ", 997 , 56 , 161 ," 8,420 ", -   , 600 , -   ," 16,244 "
421, -   , -   , -   , -   , -   , -   , 104 , -   , -   , -   , -   , 104 
422," 2,655 "," 2,016 "," 6,230 "," 10,501 ", 311 , 220 , 862 ," 24,310 ", -   , 872 , -   ," 47,977 "
423, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
424," 2,344 "," 8,194 "," 17,018 "," 22,761 "," 2,446 "," 6,185 "," 1,217 "," 50,168 ", -   ," 1,671 ", 915 ," 112,918 "
425, 958 ," 4,651 "," 13,597 "," 15,805 "," 2,406 "," 2,111 ", 860 ," 51,727 ", -   ," 2,152 ", 292 ," 94,559 "
426," 1,412 "," 1,359 "," 5,439 "," 19,934 "," 4,091 ", 375 ," 1,209 "," 34,701 ", -   ," 3,393 ", -   ," 71,912 "
427, 885 ," 2,139 "," 8,814 "," 3,442 "," 3,919 ", 950 ," 1,668 "," 7,265 ", -   ," 1,661 ", 255 ," 30,997 "
428," 21,205 "," 3,486 "," 18,234 "," 7,372 "," 1,536 "," 1,939 "," 1,261 "," 15,632 ", -   ," 2,201 "," 1,428 "," 74,294 "
429," 9,426 "," 20,275 "," 68,909 "," 43,743 "," 8,900 "," 21,802 "," 5,922 "," 55,766 "," 2,852 "," 11,722 "," 6,172 "," 255,490 "
430, 626 ," 1,449 "," 8,043 "," 3,127 "," 2,026 "," 1,035 "," 1,784 "," 30,731 ", -   , -   ," 1,096 "," 49,919 "
431, 659 , 977 ," 2,579 "," 18,407 ", 320 ," 4,128 "," 1,057 "," 15,357 ", -   , 603 , -   ," 44,088 "
432, -   ," 1,879 ", 846 ," 2,925 "," 2,133 ", -   , -   ," 18,170 ", -   , 311 , 360 ," 26,624 "
433, 590 ," 2,712 "," 11,504 "," 9,293 ", -   ," 2,268 ", -   ," 22,745 ", -   , 585 , 623 ," 50,321 "
434," 2,192 "," 5,844 "," 10,146 "," 10,431 "," 4,429 ", -   ," 2,381 "," 35,667 ", -   ," 2,581 ", 349 ," 74,020 "
435," 1,580 "," 4,152 "," 6,612 "," 17,575 "," 1,212 ", -   ," 1,859 "," 40,375 ", -   ," 1,844 ", -   ," 75,209 "
436," 5,403 "," 2,108 "," 7,149 "," 12,015 ", 283 , 581 , 894 ," 37,257 ", -   , 790 , -   ," 66,481 "
437," 3,559 "," 4,117 "," 7,804 "," 11,669 "," 1,524 ", -   , 321 ," 39,480 ", -   , 188 , -   ," 68,662 "
438," 14,866 "," 9,759 "," 21,872 "," 15,118 "," 6,609 "," 3,164 "," 1,542 "," 92,788 ", -   ," 3,925 "," 1,060 "," 170,702 "
439, 947 ," 8,226 "," 20,050 "," 23,968 "," 1,745 "," 7,493 "," 6,264 "," 107,565 ", -   ," 4,681 "," 1,265 "," 182,204 "
440," 7,198 "," 3,023 "," 4,855 "," 27,392 "," 2,015 "," 4,394 "," 4,585 "," 91,938 ", -   , 562 ," 1,682 "," 147,644 "
441, 60 , -   , 767 , 389 , -   , -   , 34 ," 1,723 ", -   , -   , -   ," 2,973 "
442," 22,718 "," 2,673 "," 15,275 "," 18,247 "," 1,505 ", -   , 408 ," 32,399 ", 732 , 897 ," 3,066 "," 97,922 "
443," 7,775 "," 22,433 "," 28,793 "," 52,601 "," 10,363 "," 11,504 "," 6,385 "," 86,251 "," 1,232 "," 2,201 "," 2,728 "," 232,265 "
444," 3,654 "," 3,047 "," 16,053 "," 20,116 "," 5,231 "," 2,012 "," 3,757 "," 103,784 ", 75 ," 2,552 ", -   ," 160,280 "
445, -   ," 2,284 "," 3,811 "," 16,276 ", 420 , 222 ," 2,353 "," 67,650 ", -   , 271 , -   ," 93,288 "
446, -   , 423 , 433 , 604 , 203 , -   , 747 ," 19,328 ", -   , -   , -   ," 21,738 "
447," 7,187 "," 7,439 "," 17,765 "," 27,350 "," 7,411 "," 1,941 "," 1,602 "," 60,545 ", -   ," 2,812 ", 555 ," 134,608 "
448," 2,110 ", 195 ," 4,631 "," 2,482 ", 169 , -   , -   ," 17,395 ", -   , 316 , -   ," 27,298 "
449, 351 , 627 ," 1,732 "," 1,393 ", 484 , -   , 202 ," 9,327 ", 175 , 581 , 183 ," 15,054 "
450, 250 ," 1,110 "," 2,009 "," 2,349 ", -   , -   , -   ," 9,645 ", -   ," 1,350 ", 142 ," 16,854 "
451," 2,370 "," 4,387 "," 6,962 "," 9,261 "," 1,292 ", 326 ," 1,215 "," 30,208 ", -   , 120 ," 1,556 "," 57,698 "
452," 18,824 "," 10,018 "," 19,635 "," 30,427 "," 7,683 "," 4,232 "," 2,068 "," 88,908 ", -   ," 6,077 ", -   ," 187,872 "
453," 11,108 "," 4,335 "," 16,339 "," 21,091 "," 1,172 ", 86 , 190 ," 47,944 ", -   ," 5,683 "," 2,074 "," 110,022 "
454," 2,536 "," 8,582 "," 15,730 "," 21,729 "," 5,075 "," 1,085 "," 3,085 "," 45,814 ", 220 ," 4,390 ", 583 ," 108,830 "
455," 4,077 "," 9,197 "," 17,947 "," 31,066 "," 4,718 "," 5,372 "," 3,232 "," 45,047 ", -   ," 3,573 ", 383 ," 124,612 "
456," 2,746 "," 10,834 "," 47,623 "," 38,010 "," 18,420 "," 12,454 "," 7,294 "," 74,684 "," 1,692 "," 9,515 "," 1,346 "," 224,618 "
457," 5,515 "," 5,425 "," 7,499 "," 31,133 "," 9,648 "," 3,983 "," 4,051 "," 137,258 ", -   ," 1,809 ", -   ," 206,322 "
458," 14,489 "," 3,657 "," 17,357 "," 36,687 "," 5,427 "," 7,861 "," 1,206 "," 79,068 ", -   ," 5,689 ", 962 ," 172,403 "
459," 3,480 ", 687 ," 6,892 "," 8,868 ", -   , -   , 840 ," 35,083 ", -   , -   , -   ," 55,850 "
460," 1,163 ", 151 ," 1,418 "," 2,517 ", 453 , 132 ," 1,282 "," 17,110 ", -   , 163 , -   ," 24,388 "
461, 62 , -   , 760 , -   , -   , -   ," 2,366 ", -   , -   , -   , -   ," 3,188 "
462," 13,251 "," 2,944 "," 12,289 "," 38,922 "," 3,167 "," 2,866 ", 930 ," 114,342 ", -   ," 3,641 ", 338 ," 192,689 "
463," 9,852 "," 11,092 "," 28,670 "," 33,940 "," 9,018 "," 8,826 "," 3,248 "," 59,077 ", -   ," 10,293 "," 2,635 "," 176,652 "
464," 8,657 "," 4,584 "," 3,680 "," 25,590 "," 6,760 "," 2,133 ", -   ," 73,429 ", -   ," 6,319 ", -   ," 131,151 "
465," 22,878 "," 4,403 "," 7,159 "," 37,577 "," 3,595 "," 2,180 "," 1,152 "," 85,948 ", -   , 987 ," 1,815 "," 167,696 "
466," 8,929 "," 3,146 "," 5,226 "," 24,824 "," 1,283 "," 2,582 "," 4,731 "," 52,645 ", -   , 341 , -   ," 103,706 "
467," 7,141 ", -   ," 5,138 "," 14,004 "," 1,337 ", -   ," 1,841 "," 64,429 ", -   ," 2,317 ", -   ," 96,205 "
468," 1,234 "," 2,075 "," 19,807 "," 28,915 "," 3,532 "," 3,447 "," 6,852 "," 59,709 ", -   ," 5,327 ", 635 ," 131,533 "
469," 2,110 ", 646 ," 3,945 "," 16,036 ", 345 , 266 , -   ," 28,042 ", -   , 916 , -   ," 52,305 "
470," 3,160 "," 3,609 "," 5,360 "," 36,564 ", 696 ," 1,093 ", 131 ," 61,738 ", -   , 285 , -   ," 112,636 "
471," 2,819 "," 1,860 "," 7,445 "," 14,312 ", 239 ," 1,261 ", 212 ," 30,162 ", -   ," 2,204 ", -   ," 60,514 "
472, 762 ," 1,961 "," 1,243 "," 15,546 ", -   , 624 , 137 ," 47,346 ", -   ," 3,940 ", -   ," 71,559 "
473," 1,598 "," 4,279 "," 7,214 "," 49,734 "," 3,317 "," 1,267 "," 4,865 "," 113,130 ", 38 ," 7,766 ", -   ," 193,210 "
474," 10,254 "," 7,645 "," 11,439 "," 14,306 "," 1,721 ", 518 , 135 ," 40,175 ", -   ," 4,558 ", 558 ," 91,310 "
475," 1,735 ", 940 ," 2,727 "," 4,513 ", 193 , -   ," 1,479 "," 12,230 ", -   , -   , 650 ," 24,468 "
476," 1,079 "," 4,294 "," 17,337 "," 50,885 "," 2,082 "," 3,988 "," 1,054 "," 93,547 ", -   ," 3,777 ", 476 ," 178,519 "
477, 109 , -   , 705 ," 1,085 ", -   , -   , -   ," 2,993 ", -   , -   , -   ," 4,893 "
478," 1,357 ", 150 ," 1,670 "," 2,263 ", -   , 26 , -   ," 4,359 ", -   , -   , -   ," 9,825 "
479, 28 , -   ," 4,282 "," 3,454 ", 241 , 251 , -   ," 9,277 ", -   ," 1,102 ", -   ," 18,634 "
480," 2,306 "," 1,381 "," 8,664 "," 7,893 "," 2,268 "," 3,569 ", 479 ," 28,910 ", -   ," 1,334 ", 113 ," 56,918 "
481, 294 , 293 ," 2,845 "," 5,227 ", -   , 629 ," 1,291 "," 16,823 ", -   , 171 , -   ," 27,573 "
482, 505 , 35 , 341 ," 1,243 ", 438 , -   , 127 ," 3,937 ", -   , -   , -   ," 6,625 "
483, 880 ," 1,012 "," 3,736 "," 7,341 ", 334 , 594 , 292 ," 16,882 ", 181 ," 1,400 ", -   ," 32,651 "
484, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
485, 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , -   
486," 13,175 "," 6,281 "," 41,297 "," 45,051 "," 3,582 "," 2,078 "," 7,487 "," 95,781 ", -   ," 1,839 ", 492 ," 217,063 "
487," 9,814 "," 3,900 "," 30,788 "," 28,735 ", 892 , 642 , -   ," 49,522 ", -   , 558 , 527 ," 125,378 "
488," 17,412 "," 10,052 "," 40,408 ", 647 ," 1,998 "," 1,161 "," 4,081 ", -   , 221 ," 1,373 "," 1,705 "," 79,059 "
489, 251 ," 1,404 "," 2,773 ", 508 , 287 , 128 , -   , -   , -   , -   , -   ," 5,350 "
490, 321 ," 2,000 "," 4,692 "," 19,006 ", 856 , -   , -   ," 39,684 ", -   , 305 , -   ," 66,864 "
491, 35 ," 3,815 "," 4,506 "," 21,869 "," 1,058 ", 351 ," 2,030 "," 48,575 ", -   , 276 , -   ," 82,514 "
492," 1,757 "," 1,655 "," 5,752 "," 12,164 ", 223 ," 2,136 "," 1,523 "," 21,560 ", -   , 456 , -   ," 47,226 "
493," 1,189 "," 1,147 "," 4,021 "," 2,821 ", 154 , -   , 467 ," 2,983 ", -   , -   , 11 ," 12,792 "
494," 1,586 "," 4,109 "," 6,362 "," 30,887 "," 1,813 ", 921 ," 2,375 "," 87,064 ", -   ," 2,227 ", 646 ," 137,991 "
495," 2,812 "," 5,329 "," 13,418 "," 25,603 "," 4,680 "," 2,981 "," 3,877 "," 65,745 ", -   ," 4,056 ", -   ," 128,503 "
496," 2,660 "," 3,904 "," 9,624 "," 12,353 "," 1,316 "," 1,224 "," 2,151 "," 47,330 ", -   ," 5,759 ", -   ," 86,321 "
497," 4,644 "," 2,421 "," 4,232 "," 8,560 "," 1,856 ", 98 ," 1,263 "," 34,186 ", -   , 836 , -   ," 58,096 "
498, 925 ," 2,675 "," 4,160 "," 14,533 ", 329 , 246 , 265 ," 41,189 ", -   ," 2,293 ", -   ," 66,615 "
499," 4,714 "," 10,078 "," 35,978 "," 12,644 "," 5,008 "," 8,359 ", 630 ," 5,162 "," 1,781 "," 4,200 ", 979 ," 89,534 "
500, 431 ," 7,923 "," 17,713 "," 20,487 "," 3,375 ", 290 ," 2,486 "," 13,967 ", -   ," 3,763 ", 399 ," 70,833 "
501," 1,123 "," 2,366 "," 7,952 "," 11,116 ", 431 , -   ," 1,868 "," 36,302 ", -   ," 1,302 ", 533 ," 62,992 "
502, 547 ," 4,669 "," 24,852 "," 21,123 ", 821 ," 2,649 "," 1,450 "," 53,491 ", -   ," 4,308 ", 349 ," 114,259 "
503, 318 ," 3,389 "," 2,705 "," 7,528 ", -   , -   , 372 ," 27,506 ", -   , -   , -   ," 41,817 "
504, -   , 414 ," 8,856 "," 25,196 ", 143 , -   , 446 ," 56,276 ", -   , 137 , -   ," 91,467 "
505, 420 ," 3,127 "," 7,044 "," 24,904 ", -   , -   ," 2,285 "," 84,766 ", -   , 252 , -   ," 122,799 "
506," 1,799 "," 2,482 "," 4,710 "," 25,439 "," 3,814 ", 508 , 788 ," 59,487 ", -   ," 4,902 ", 392 ," 104,320 "
507, 932 , 593 ," 5,180 "," 1,044 ", 169 , -   , -   ," 13,424 ", -   , -   , -   ," 21,341 "
508," 1,720 "," 1,637 "," 10,817 "," 5,022 ", 178 , 232 ," 1,746 "," 12,538 ", -   , 195 , 349 ," 34,433 "
509, 339 ," 4,789 "," 5,738 "," 28,166 "," 1,157 ", 481 , 263 ," 71,435 ", -   ," 1,720 ", 95 ," 114,183 "
510," 1,343 "," 3,104 "," 8,137 "," 13,005 ", 316 ," 1,039 ", 336 ," 33,032 ", -   , 523 , -   ," 60,835 "
511," 1,196 "," 2,581 "," 8,174 "," 10,448 "," 1,145 "," 1,121 "," 1,914 "," 39,453 ", -   , 56 , -   ," 66,087 "
512," 7,023 "," 3,337 "," 4,749 "," 3,372 ", -   , -   , 88 ," 26,711 ", 182 , 161 , -   ," 45,624 "
513," 7,666 ", 80 ," 4,832 "," 4,769 ", -   , -   , 230 ," 8,040 ", -   , 208 , -   ," 25,824 "
514," 2,513 "," 2,856 "," 5,597 "," 17,709 "," 5,067 ", 313 , 111 ," 82,025 ", -   ," 3,052 ", -   ," 119,242 "
515, -   , 110 , 413 , 37 , -   , -   , -   ," 10,527 ", -   , 178 , -   ," 11,266 "
516," 5,402 "," 3,278 "," 16,703 "," 13,493 "," 1,184 ", 63 ," 2,299 "," 25,238 ", -   , 882 , 383 ," 68,925 "
517," 11,713 "," 2,236 "," 9,022 "," 6,724 ", 810 ," 1,742 ", 663 ," 24,357 ", 983 , 652 , -   ," 58,902 "
518," 8,257 "," 6,732 "," 23,393 "," 32,243 "," 4,815 ", 664 ," 3,612 "," 88,847 ", -   ," 7,893 "," 1,088 "," 177,544 "
519, 210 , -   ," 1,337 "," 1,555 ", 222 , -   , -   ," 6,230 ", -   , 53 , -   ," 9,608 "
520, -   , -   , 119 , -   , -   , 873 , -   , -   , -   , -   , -   , 991 
521," 3,266 "," 1,621 "," 8,176 "," 3,573 ", 168 , 954 , 39 ," 25,146 ", -   ," 1,058 ", -   ," 44,000 "
522," 5,262 "," 1,150 "," 13,201 "," 15,453 "," 2,891 ", 120 , 898 ," 45,198 ", -   ," 1,310 ", -   ," 85,483 "
523, 97 , -   , 836 ," 1,358 ", 34 , -   , -   ," 5,735 ", -   , -   , -   ," 8,060 "
524," 2,655 "," 2,681 "," 9,598 "," 45,072 "," 2,367 ", 930 ," 8,573 "," 83,834 ", -   ," 3,897 ", -   ," 159,610 "
525," 8,915 "," 2,769 "," 15,400 "," 51,736 "," 2,532 "," 5,047 "," 3,425 "," 100,477 ", -   , 507 , -   ," 190,809 "
526," 14,558 "," 7,244 "," 26,403 "," 51,404 ", 196 , 705 ," 2,315 "," 123,876 ", -   ," 1,831 ", -   ," 228,533 "
527, 684 , 510 ," 2,194 "," 9,545 ", -   , 704 , 121 ," 16,311 ", -   , 406 , -   ," 30,475 "
,,,,,,,,,,,,
 Total RMSP ," 1,273,707 "," 1,727,831 "," 5,581,477 "," 6,640,519 "," 781,658 "," 824,974 "," 673,384 "," 17,072,792 "," 36,141 "," 821,305 "," 227,275 "," 35,661,062 "
,,,,,,,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,,,,,,,,
