Tabela 23a,,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo no Destino,,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,
,,,,,,,,,,,,
68," 3,478 "," 2,657 "," 63,754 "," 4,182 ", 526 ," 1,369 "," 2,236 "," 18,122 ", -   ," 2,361 "," 5,123 "," 103,808 "
69," 6,390 "," 6,324 "," 27,353 "," 4,464 "," 1,273 ", 939 ," 1,331 "," 11,612 ", 294 , 889 ," 2,324 "," 63,193 "
70, 579 ," 4,242 "," 19,933 "," 12,802 ", 106 ," 3,099 "," 2,113 "," 9,873 ", -   , 930 , 633 ," 54,311 "
71," 1,946 "," 3,317 "," 28,049 "," 5,069 "," 2,051 ", 154 ," 1,053 "," 33,417 ", -   ," 4,110 "," 1,324 "," 80,490 "
72," 1,172 "," 2,449 "," 17,090 "," 4,556 ", 225 , 100 ," 1,101 "," 10,956 ", 116 ," 1,077 ", 659 ," 39,502 "
73," 11,325 "," 9,913 "," 102,961 ", 521 , 731 ," 1,040 "," 4,958 "," 10,065 ", -   ," 2,057 "," 9,730 "," 153,299 "
74," 6,006 "," 9,363 "," 38,372 "," 3,395 ", 278 ," 1,957 "," 1,210 "," 9,170 ", -   ," 1,391 "," 1,658 "," 72,800 "
75, 337 ," 2,239 "," 9,496 "," 1,447 ", 909 , 247 , 594 ," 11,060 ", -   , 665 , 300 ," 27,295 "
76," 1,240 "," 1,139 "," 14,211 "," 1,108 ", 51 ," 1,624 "," 2,288 "," 8,205 ", -   , 510 , 395 ," 30,771 "
77, 645 ," 3,120 "," 35,639 "," 5,762 ", 631 ," 16,773 "," 2,495 "," 18,231 ", -   ," 1,427 "," 1,107 "," 85,829 "
78, 733 ," 3,164 "," 19,627 "," 1,278 "," 1,675 ", 254 ," 1,138 "," 15,155 ", -   , 988 , 953 ," 44,964 "
79," 3,932 "," 3,873 "," 36,038 "," 8,127 ", 530 ," 9,435 "," 2,688 "," 9,393 ", 158 ," 3,722 "," 2,612 "," 80,508 "
80, 50 ," 6,694 "," 20,876 "," 5,084 "," 1,156 "," 2,182 "," 3,444 "," 16,448 ", 40 ," 1,204 "," 1,738 "," 58,917 "
81," 1,883 "," 6,826 "," 27,864 "," 2,873 "," 1,002 ", 641 ," 4,704 "," 9,672 ", -   ," 1,114 ", 779 ," 57,361 "
82," 5,440 "," 9,890 "," 57,872 "," 5,623 "," 1,651 "," 3,817 "," 6,172 "," 12,203 ", -   ," 5,238 "," 4,756 "," 112,661 "
83," 3,733 "," 4,476 "," 21,409 "," 11,652 ", 302 , 189 ," 2,408 "," 20,667 ", 36 ," 1,293 "," 2,392 "," 68,557 "
84, 418 ," 3,351 "," 13,913 "," 15,797 ", 940 , 140 , 157 ," 11,043 ", -   , 813 ," 1,724 "," 48,296 "
85, 334 , 36 ," 2,596 "," 4,403 ", 43 , 879 , 214 ," 4,026 ", -   , 145 , 340 ," 13,016 "
86, 308 ," 1,013 "," 2,271 "," 1,589 ", 15 , -   , 15 ," 1,896 ", -   , 302 , -   ," 7,409 "
87, 48 ," 1,453 "," 10,120 "," 4,106 ", 500 ," 1,903 "," 1,228 "," 15,351 ", -   ," 1,795 ", 136 ," 36,640 "
88," 1,181 "," 5,924 "," 19,105 "," 8,471 "," 1,578 "," 2,975 "," 2,071 "," 40,612 ", -   ," 1,905 ", 807 ," 84,628 "
89, 860 , -   ," 1,238 ", 997 , -   , 347 , 71 ," 10,585 ", -   , 314 , -   ," 14,412 "
90," 1,336 "," 1,472 "," 5,081 "," 3,958 ", 275 , 695 ," 1,721 "," 11,285 ", -   ," 1,033 ", 149 ," 27,005 "
91," 4,551 "," 4,487 "," 15,898 "," 12,500 ", 919 , -   , 785 ," 9,209 ", 600 ," 2,432 "," 1,311 "," 52,692 "
92," 1,905 "," 2,812 "," 21,982 "," 2,656 ", 85 , 58 , 502 ," 2,888 ", 317 ," 5,683 ", 572 ," 39,460 "
93, 838 ," 4,105 "," 25,238 "," 16,109 ", 835 ," 6,898 "," 1,990 "," 10,060 ", -   ," 5,866 "," 1,256 "," 73,196 "
94," 2,106 "," 6,162 "," 13,804 "," 1,610 ", 876 ," 1,426 "," 3,959 "," 6,241 ", 326 , 486 ," 2,890 "," 39,887 "
95, 422 , 173 ," 8,559 "," 3,541 ", 275 , -   ," 1,238 "," 14,893 ", -   ," 1,112 ", 220 ," 30,433 "
96, 162 , 543 ," 12,318 "," 6,440 ", 467 ," 1,196 "," 1,663 "," 5,943 ", -   , 301 , -   ," 29,033 "
