Tabela 18a,,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo no Destino e Zona de Origem – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
,Viagens Produzidas por Motivo no Destino,,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,,
 359 ," 3,213 "," 5,893 "," 13,617 "," 20,933 "," 1,422 ", 386 , -   ," 47,752 ", -   , 457 , -   ," 93,674 "
 360 , 666 , -   ," 4,468 "," 7,656 ", 538 , 706 ," 1,159 "," 5,559 ", -   , 771 , -   ," 21,524 "
 361 ," 4,121 "," 1,630 "," 6,033 "," 7,960 "," 1,523 ", 331 , 666 ," 18,114 ", -   , 457 , -   ," 40,835 "
 362 ," 1,600 ", 351 ," 3,566 "," 6,559 ", 217 ," 1,534 ", -   ," 7,907 ", -   , 931 , -   ," 22,664 "
 363 , 711 ," 1,674 "," 5,813 "," 9,168 ", 225 , 957 , 188 ," 68,984 ", -   , 330 , -   ," 88,051 "
 364 , 836 ," 4,936 "," 15,263 "," 9,738 ", 410 , 435 , 540 ," 68,656 ", -   ," 1,002 ", 122 ," 101,938 "
 365 ," 1,284 ", 310 ," 1,950 "," 2,700 ", 242 , 824 , 228 ," 35,225 ", -   , 139 , -   ," 42,902 "
 366 , 522 ," 1,070 "," 2,847 "," 2,905 ", 79 , 197 , 106 ," 10,834 ", -   , 340 , -   ," 18,900 "
 367 ," 4,618 "," 2,349 "," 5,757 "," 12,766 "," 1,664 "," 2,227 ", 270 ," 52,371 ", -   ," 1,395 ", -   ," 83,416 "
 368 ," 4,476 "," 2,225 "," 6,542 "," 11,650 "," 2,297 ", 789 , 702 ," 25,443 ", -   , 280 , 48 ," 54,451 "
 369 ," 7,909 "," 2,196 "," 10,334 "," 20,891 "," 1,402 ", 422 , 397 ," 39,323 ", -   , 761 ," 1,020 "," 84,654 "
 370 ," 4,130 "," 8,333 "," 11,644 "," 17,435 "," 2,352 ", 819 ," 2,733 "," 42,500 ", -   , 299 , -   ," 90,247 "
 371 ," 3,283 "," 14,305 "," 25,414 "," 30,785 "," 1,846 ", -   ," 1,578 "," 59,433 ", -   , 458 , -   ," 137,102 "
 372 ," 3,336 "," 10,610 "," 16,314 "," 17,014 "," 3,053 "," 1,360 "," 2,467 "," 24,527 ", -   ," 1,699 ", -   ," 80,381 "
 373 , 859 ," 4,115 "," 6,911 "," 15,170 ", 721 , -   , -   ," 28,854 ", -   , 462 , 22 ," 57,113 "
 374 ," 1,525 ", 378 ," 12,155 "," 11,390 ", 336 , 666 , 194 ," 53,444 ", -   , 433 , -   ," 80,521 "
 375 , -   , -   , 390 , -   , -   , -   , 60 ," 38,097 ", -   , 122 , -   ," 38,668 "
 376 ," 12,168 "," 4,953 "," 14,763 "," 23,011 "," 1,044 "," 6,451 ", 353 ," 59,823 ", -   ," 5,013 ", 207 ," 127,786 "
 377 ," 6,200 ", 822 ," 8,101 "," 18,471 ", 304 ," 1,648 ", -   ," 45,255 ", 115 ," 1,851 ", -   ," 82,768 "
 378 ," 17,451 "," 10,040 "," 24,419 "," 60,556 "," 7,714 "," 8,727 "," 2,907 "," 112,029 ", 519 ," 1,359 ", 158 ," 245,879 "
 379 ," 12,701 "," 1,692 "," 18,673 "," 29,106 "," 2,115 "," 5,916 "," 2,579 "," 70,907 ", -   ," 2,927 ", 484 ," 147,099 "
 380 ," 7,046 "," 13,371 "," 7,874 "," 13,523 "," 4,336 "," 1,623 ", 270 ," 21,893 ", -   , -   , -   ," 69,936 "
 381 ," 10,169 "," 10,366 "," 19,265 "," 32,008 "," 9,684 "," 4,048 "," 1,490 "," 33,830 ", -   ," 2,967 ", -   ," 123,827 "
 382 , - , - , - , - , - , - , - , - , - , - , - , -   
 383 ," 10,250 "," 9,687 "," 15,701 "," 27,782 "," 3,358 "," 6,991 "," 1,746 "," 37,042 ", -   ," 3,456 ", -   ," 116,013 "
 384 ," 2,214 "," 9,638 "," 20,686 "," 27,235 "," 6,809 "," 5,076 ", 275 ," 36,911 ", -   ," 2,475 ", -   ," 111,320 "
 385 ," 2,432 "," 2,303 "," 7,030 "," 3,904 ", 171 , 68 , 232 ," 11,740 ", -   , 970 , -   ," 28,850 "
 386 , - , - , - , - , - , - , - , - , - , - , - , -   
 387 ," 1,308 ", 156 , 369 ," 1,265 ", 382 , 290 , 53 ," 5,599 ", -   , -   , -   ," 9,422 "
 388 ," 10,544 "," 7,460 "," 21,964 "," 22,098 "," 3,390 "," 1,085 "," 1,188 "," 69,069 ", 783 , 393 , -   ," 137,974 "
 389 , 786 , 501 ," 2,800 ", 865 , 340 , 307 , -   ," 5,761 ", -   , 39 , -   ," 11,399 "
 390 ," 4,458 "," 1,645 "," 11,835 "," 15,284 "," 1,563 "," 1,704 ", 288 ," 36,946 ", 111 , -   , -   ," 73,835 "
 391 ," 1,456 ", 232 ," 1,094 "," 2,395 ", 687 , 679 , 403 ," 2,671 ", -   , 330 , -   ," 9,947 "
 392 , -   , -   , -   , -   , -   , -   , -   , 220 , -   , -   , -   , 220 
 393 , -   , -   , -   , -   , -   , -   , -   , 632 , -   , -   , -   , 632 
 394 ," 5,784 "," 6,552 "," 24,845 "," 30,882 "," 3,816 "," 4,804 "," 2,778 "," 66,947 ", -   ," 3,951 ", -   ," 150,359 "
 395 , -   , -   , -   , -   , -   , -   , -   , 412 , -   , -   , -   , 412 
 396 ," 14,234 "," 12,100 "," 23,486 "," 32,989 "," 1,582 "," 2,452 "," 1,101 "," 52,056 ", -   ," 5,491 ", 591 ," 146,084 "
 397 ," 2,185 "," 1,108 "," 6,796 "," 8,975 ", 687 , 679 , 515 ," 10,600 ", -   ," 1,395 ", 441 ," 33,380 "
 398 ," 9,951 "," 16,139 "," 17,707 "," 34,735 "," 2,977 "," 5,442 "," 4,633 "," 77,734 "," 3,007 "," 1,549 "," 2,252 "," 176,126 "
 399 ," 10,860 "," 9,564 "," 15,344 "," 44,398 "," 1,926 "," 2,618 "," 2,325 "," 69,857 ", 827 ," 2,490 ", -   ," 160,211 "
 400 ," 8,043 "," 3,771 "," 16,854 "," 28,983 "," 2,774 "," 3,072 "," 5,116 "," 65,669 ", -   ," 4,095 ", 381 ," 138,759 "
 401 ," 14,061 "," 10,332 "," 18,245 "," 44,666 "," 5,156 "," 7,544 ", 426 ," 58,843 ", 827 ," 4,221 ", 52 ," 164,372 "
 402 ," 13,463 "," 5,260 "," 11,244 "," 28,060 "," 1,955 "," 3,769 "," 1,838 "," 39,831 ", -   ," 3,344 ", -   ," 108,762 "
 403 ," 15,105 "," 12,829 "," 18,892 "," 49,133 "," 5,450 "," 4,080 "," 2,988 "," 77,875 ", -   ," 3,239 ", 357 ," 189,948 "
 404 ," 17,269 "," 10,079 "," 52,924 "," 77,296 "," 8,730 "," 6,733 "," 9,955 "," 170,665 ", -   ," 7,879 "," 1,220 "," 362,750 "
 405 ," 5,549 "," 2,493 "," 3,464 "," 8,746 ", 526 , 490 , -   ," 21,879 ", -   , 880 , -   ," 44,026 "
 406 ," 1,902 ", 890 ," 3,601 "," 6,215 ", 607 , 192 , 254 ," 9,614 ", -   , 522 , -   ," 23,797 "
 407 ," 6,173 "," 4,612 "," 15,602 "," 28,432 "," 1,148 "," 1,389 "," 3,078 "," 96,056 ", -   ," 4,840 "," 1,095 "," 162,424 "
 408 ," 2,678 "," 3,080 "," 8,961 "," 13,765 "," 1,276 ", 588 , 853 ," 48,604 ", -   , 731 , 331 ," 80,866 "
 409 ," 1,981 "," 1,961 "," 10,323 "," 9,250 "," 4,406 ", 149 ," 2,879 "," 35,148 ", -   , 890 , 102 ," 67,089 "
 410 ," 13,912 "," 10,027 "," 28,622 "," 28,601 ", 59 ," 3,414 ", 362 ," 55,340 ", -   ," 5,364 ", -   ," 145,700 "
 411 ," 5,009 "," 4,822 "," 11,447 "," 19,670 ", -   ," 2,684 ", 717 ," 26,411 ", -   ," 3,061 ", -   ," 73,822 "
 412 , 984 ," 1,732 "," 2,904 "," 5,866 ", 20 , 385 , -   ," 15,642 ", -   ," 2,420 ", -   ," 29,952 "
 413 , 520 ," 1,348 "," 2,684 "," 2,737 ", 216 , 630 , 914 ," 7,882 ", 147 , 401 , -   ," 17,478 "
 414 ," 1,982 ", 925 ," 1,933 "," 3,536 ", 520 ," 1,631 ", 438 ," 5,464 ", -   , 922 , -   ," 17,351 "
 415 ," 1,064 "," 5,989 "," 10,814 "," 9,322 "," 1,687 "," 1,244 ", 971 ," 23,871 ", -   , 504 , 281 ," 55,747 "
 416 ," 1,559 "," 1,250 "," 3,243 "," 3,919 ", -   , 390 , 616 ," 11,457 ", -   , 224 , -   ," 22,657 "
 417 , -   , -   , -   , -   , -   , -   , -   , 439 , -   , -   , -   , 439 
 418 , 691 ," 2,102 "," 3,589 "," 6,855 ", 164 ," 1,090 ", 96 ," 13,608 ", -   ," 2,278 ", -   ," 30,474 "
 419 , -   , -   , -   , -   , -   , -   , -   , 31 , -   , -   , -   , 31 
 420 , 440 , 694 ," 2,449 "," 3,687 "," 1,200 ", 56 , 340 ," 7,689 ", -   , 162 , -   ," 16,716 "
 421 , -   , -   , -   , -   , -   , -   , -   , 104 , -   , -   , -   , 104 
 422 ," 2,162 "," 1,325 "," 6,454 "," 11,255 "," 1,004 "," 1,175 ", 689 ," 22,970 ", -   , 960 , -   ," 47,994 "
 423 , - , - , - , - , - , - , - , - , - , - , - , -   
 424 ," 1,577 "," 6,379 "," 13,566 "," 22,609 "," 3,934 "," 4,976 "," 1,680 "," 55,149 ", -   ," 2,007 "," 1,517 "," 113,394 "
 425 ," 2,543 "," 3,841 "," 19,512 "," 18,343 "," 3,667 "," 4,314 "," 1,385 "," 37,378 ", -   ," 3,231 ", 763 ," 94,977 "
 426 ," 1,593 "," 2,750 "," 7,067 "," 14,698 "," 2,731 "," 3,759 "," 1,607 "," 34,922 ", -   ," 2,429 ", -   ," 71,556 "
 427 , 405 , 696 ," 3,136 "," 3,784 "," 1,578 ", 669 , 175 ," 19,571 ", -   , 345 , 518 ," 30,877 "
 428 ," 1,899 "," 1,235 "," 5,855 "," 5,744 "," 1,152 "," 1,372 "," 1,215 "," 53,614 ", -   ," 1,640 ", 340 ," 74,066 "
 429 ," 3,837 "," 9,398 "," 26,106 "," 20,557 "," 4,882 "," 2,440 "," 3,530 "," 172,897 ", -   ," 4,257 "," 6,024 "," 253,928 "
 430 ," 2,603 "," 3,611 "," 10,117 "," 7,031 "," 2,637 "," 1,230 "," 2,379 "," 16,857 ", -   ," 3,177 "," 1,535 "," 51,178 "
 431 ," 1,312 "," 1,714 "," 5,842 "," 4,422 "," 1,761 ", 578 , 151 ," 25,286 ", -   ," 1,056 "," 1,966 "," 44,088 "
 432 , 581 ," 3,819 "," 6,366 "," 5,364 "," 1,950 "," 1,138 ", 426 ," 6,747 ", -   ," 1,299 ", 113 ," 27,801 "
 433 , 652 ," 3,003 "," 9,485 "," 10,064 ", -   ," 1,437 ", 772 ," 23,081 ", -   ," 1,827 ", -   ," 50,321 "
 434 ," 4,165 "," 3,352 "," 13,688 "," 10,500 "," 1,546 "," 2,637 ", 704 ," 34,938 ", -   ," 2,058 ", 973 ," 74,560 "
 435 ," 4,944 "," 4,594 "," 8,886 "," 16,805 "," 1,930 "," 2,534 "," 1,576 "," 32,016 ", -   ," 1,350 ", -   ," 74,635 "
 436 ," 4,759 "," 8,182 "," 8,683 "," 12,371 ", 781 ," 1,958 "," 1,919 "," 25,787 ", 415 ," 2,949 ", -   ," 67,801 "
 437 ," 5,216 "," 1,979 "," 11,084 "," 19,432 "," 3,195 "," 1,217 ", -   ," 22,684 ", 436 ," 1,739 ", -   ," 66,982 "
 438 ," 5,648 "," 10,887 "," 29,323 "," 29,272 "," 4,846 "," 9,587 "," 1,053 "," 70,533 ", -   ," 7,121 "," 1,060 "," 169,328 "
 439 ," 6,883 "," 6,221 "," 36,912 "," 34,548 "," 5,389 "," 10,494 "," 5,234 "," 71,334 ", -   ," 4,965 ", 975 ," 182,954 "
 440 ," 11,129 "," 11,351 "," 21,653 "," 33,357 "," 2,969 "," 3,436 "," 9,348 "," 51,424 "," 1,491 ", -   ," 1,682 "," 147,840 "
 441 , 400 , 61 , 610 , 424 , 28 , 142 , 34 ," 1,250 ", 25 , -   , -   ," 2,973 "
 442 ," 6,440 "," 4,364 "," 8,675 "," 8,423 "," 1,520 "," 2,592 "," 1,181 "," 62,704 ", -   , 813 , -   ," 96,712 "
 443 ," 13,029 "," 11,053 "," 21,119 "," 36,513 "," 4,922 "," 4,584 "," 2,935 "," 126,585 "," 1,684 "," 6,290 "," 3,509 "," 232,224 "
 444 ," 13,220 "," 11,314 "," 34,602 "," 24,494 "," 8,794 "," 6,114 "," 3,953 "," 55,472 "," 1,253 "," 2,677 ", 319 ," 162,212 "
 445 ," 5,177 "," 3,203 "," 28,277 "," 23,345 "," 2,977 "," 1,171 "," 4,438 "," 25,177 ", -   , 271 , -   ," 94,037 "
 446 ," 2,761 "," 3,209 "," 1,990 "," 7,038 ", 724 , 875 , 805 ," 2,698 ", 884 , 462 , -   ," 21,446 "
 447 ," 4,208 "," 9,037 "," 26,542 "," 19,507 "," 5,904 ", 835 , 879 ," 70,669 ", 972 , 120 , 117 ," 138,792 "
 448 ," 3,777 "," 1,151 "," 3,486 "," 5,539 ", 558 ," 1,589 ", 553 ," 7,866 ", 175 , 384 , 438 ," 25,518 "
 449 ," 1,527 ", 626 ," 2,734 "," 2,869 ", 629 , 119 , 323 ," 5,379 ", 75 , 975 , 183 ," 15,438 "
 450 ," 1,660 "," 1,352 "," 3,330 "," 2,556 ", 510 , 135 , 227 ," 6,170 ", -   , 231 , 897 ," 17,069 "
 451 ," 3,212 "," 5,671 "," 9,574 "," 10,013 "," 1,262 ", 468 ," 1,379 "," 24,610 ", -   , 240 , 801 ," 57,231 "
 452 ," 12,395 "," 4,617 "," 20,677 "," 40,366 "," 7,727 "," 2,592 "," 4,432 "," 86,446 ", -   ," 6,267 ", -   ," 185,520 "
 453 ," 3,569 "," 8,667 "," 11,757 "," 18,852 "," 2,027 "," 1,529 "," 1,511 "," 52,951 ", 548 ," 7,568 "," 1,043 "," 110,022 "
 454 ," 3,680 "," 4,644 "," 13,434 "," 20,054 "," 4,099 "," 3,786 ", 548 ," 54,784 ", -   ," 4,463 ", 583 ," 110,076 "
 455 , 501 ," 4,288 "," 10,828 "," 21,097 "," 5,055 "," 4,236 ", 836 ," 68,641 ", -   ," 5,658 ", 645 ," 121,785 "
 456 ," 6,531 "," 8,634 "," 27,739 "," 24,607 "," 8,647 "," 6,003 "," 3,064 "," 136,368 ", 344 ," 4,317 ", 953 ," 227,207 "
 457 ," 16,700 "," 11,917 "," 31,278 "," 51,967 "," 10,779 "," 6,648 "," 5,042 "," 68,424 ", 116 ," 5,839 "," 1,002 "," 209,712 "
 458 ," 5,126 "," 7,698 "," 13,343 "," 26,660 "," 8,671 "," 9,595 "," 10,479 "," 84,000 ", -   ," 4,223 "," 1,188 "," 170,984 "
 459 ," 6,542 "," 4,018 "," 8,794 "," 10,045 "," 1,002 "," 3,023 ", 846 ," 20,205 ", 220 ," 1,308 ", -   ," 56,003 "
 460 ," 2,958 "," 2,106 "," 2,802 "," 3,920 "," 1,579 "," 1,647 "," 1,828 "," 5,556 ", -   , 711 , -   ," 23,107 "
 461 , -   , -   , -   , -   , -   , -   , -   ," 3,188 ", -   , -   , -   ," 3,188 "
 462 ," 13,780 "," 8,958 "," 30,514 "," 40,810 "," 6,643 "," 6,166 "," 3,565 "," 76,514 ", -   ," 3,746 ", 111 ," 190,808 "
 463 ," 2,322 "," 6,341 "," 23,029 "," 18,779 "," 4,375 "," 1,589 "," 3,187 "," 110,469 ", -   ," 2,768 "," 2,635 "," 175,494 "
 464 ," 6,910 "," 5,022 "," 10,769 "," 32,481 "," 8,070 "," 4,968 "," 1,777 "," 56,291 ", -   ," 5,907 ", -   ," 132,195 "
 465 ," 23,052 "," 7,666 "," 15,842 "," 34,062 "," 3,650 "," 4,668 "," 1,152 "," 73,125 ", -   ," 2,755 "," 1,975 "," 167,947 "
 466 ," 8,824 "," 3,955 "," 7,208 "," 23,538 "," 2,808 "," 1,181 "," 2,218 "," 49,794 ", -   ," 3,871 ", -   ," 103,397 "
 467 ," 13,412 "," 4,064 "," 13,711 "," 21,170 "," 2,482 "," 3,454 "," 1,017 "," 29,974 ", -   ," 7,649 ", -   ," 96,933 "
 468 ," 1,770 "," 3,827 "," 24,518 "," 26,120 "," 1,715 "," 2,569 ", 697 ," 67,834 ", -   ," 2,903 ", 635 ," 132,589 "
 469 ," 2,045 ", 499 ," 12,554 "," 13,801 ", -   ," 1,764 ", 47 ," 20,053 ", 251 , 481 , -   ," 51,495 "
 470 ," 1,034 ", 447 ," 15,511 "," 41,813 ", 653 ," 2,211 ", 76 ," 44,712 ", -   ," 5,356 ", -   ," 111,813 "
 471 , 944 ," 1,262 "," 12,107 "," 14,500 ", 380 , -   , 111 ," 27,348 ", -   ," 3,038 ", -   ," 59,689 "
 472 ," 2,611 "," 8,732 "," 11,421 "," 21,716 ", 298 , 788 , -   ," 22,519 ", 604 ," 2,198 ", -   ," 70,888 "
 473 ," 7,520 "," 5,806 "," 23,426 "," 50,628 "," 4,751 "," 4,294 "," 11,654 "," 69,356 ", -   ," 11,983 ", -   ," 189,418 "
 474 ," 4,550 "," 5,071 "," 9,474 "," 15,782 "," 1,183 "," 1,429 ", 137 ," 48,444 ", -   ," 4,048 ", 558 ," 90,677 "
 475 ," 2,823 ", 622 ," 4,111 "," 3,371 ", 911 , 109 , 135 ," 11,588 ", -   , 641 , -   ," 24,311 "
 476 , 858 ," 6,023 "," 29,030 "," 54,229 "," 1,079 "," 3,200 "," 3,080 "," 79,906 ", 159 ," 2,797 ", 476 ," 180,837 "
 477 , 123 , 150 , 614 ," 1,589 ", 202 , 150 , -   ," 1,843 ", -   , 86 , -   ," 4,758 "
 478 , 278 , 100 ," 1,663 "," 2,267 ", 16 , 116 , -   ," 4,328 ", 38 , 136 , 631 ," 9,574 "
 479 , 129 , 386 ," 4,833 "," 3,439 ", 356 , 251 , -   ," 9,056 ", -   , 152 , -   ," 18,603 "
 480 ," 1,785 "," 1,951 "," 10,441 "," 7,246 "," 2,586 "," 4,164 ", -   ," 27,481 ", -   ," 1,152 ", 113 ," 56,919 "
 481 ," 1,122 ", 388 ," 6,441 "," 6,319 ", 389 , 914 , 726 ," 9,571 ", 160 , 615 , -   ," 26,646 "
 482 , 92 , 35 ," 1,257 "," 1,377 ", 128 , 116 , 399 ," 2,688 ", -   , 532 , -   ," 6,625 "
 483 , 834 ," 1,034 "," 4,365 "," 7,889 ", 334 ," 1,287 ", -   ," 15,707 ", 181 ," 1,078 ", -   ," 32,707 "
 484 , - , - , - , - , - , - , - , - , - , - , - , -   
 485 , - , - , - , - , - , - , - , - , - , - , - , -   
 486 ," 10,049 "," 7,333 "," 32,035 "," 39,384 "," 3,369 "," 5,750 "," 8,250 "," 109,567 ", -   ," 3,155 ", 492 ," 219,384 "
 487 ," 5,121 "," 3,078 "," 19,817 "," 24,435 ", 123 , 901 ," 1,089 "," 69,203 ", -   , 931 , 101 ," 124,800 "
 488 , -   , -   ," 2,587 "," 3,598 ", -   , -   , 269 ," 68,224 ", -   , -   ," 2,131 "," 76,809 "
 489 , -   , -   , 233 , -   , -   , -   , -   ," 5,116 ", -   , -   , -   ," 5,350 "
 490 ," 3,323 "," 3,094 "," 14,731 "," 16,707 "," 3,092 ", -   ," 1,092 "," 25,569 ", -   ," 1,097 ", -   ," 68,706 "
 491 ," 3,117 "," 4,223 "," 17,441 "," 16,363 ", 415 , 548 ," 5,815 "," 33,844 ", -   , -   , -   ," 81,766 "
 492 ," 1,440 "," 1,145 "," 6,365 "," 8,645 "," 1,054 ", 875 ," 2,571 "," 23,879 ", 221 ," 1,700 ", -   ," 47,895 "
 493 , 126 , 751 ," 1,055 "," 1,123 ", 177 , 132 , 75 ," 9,668 ", -   , 33 , 11 ," 13,152 "
 494 ," 6,445 "," 7,170 "," 25,439 "," 41,108 "," 1,853 "," 2,449 "," 3,520 "," 46,555 ", -   ," 2,574 ", 646 ," 137,757 "
 495 ," 7,422 "," 6,087 "," 17,776 "," 23,964 "," 3,917 "," 6,152 "," 1,237 "," 56,647 ", -   ," 6,055 ", -   ," 129,257 "
 496 ," 1,906 "," 5,508 "," 17,174 "," 12,828 "," 2,131 "," 1,257 "," 2,701 "," 37,677 ", 600 ," 4,529 ", -   ," 86,312 "
 497 ," 4,881 "," 3,475 "," 8,716 "," 13,403 "," 1,074 ", 787 ," 1,617 "," 23,650 ", 771 , 235 , -   ," 58,608 "
 498 ," 3,948 "," 5,710 "," 7,398 "," 16,917 "," 3,165 ", 395 ," 2,617 "," 25,029 ", -   ," 1,357 ", -   ," 66,537 "
 499 , 181 ," 1,702 "," 2,307 "," 2,577 ", 238 , 722 , 188 ," 79,071 ", -   , 721 , 746 ," 88,452 "
 500 ," 1,193 "," 1,662 "," 5,803 "," 5,738 "," 1,564 ", 429 , 647 ," 52,960 ", -   , 296 , 293 ," 70,584 "
 501 ," 1,650 "," 3,119 "," 8,238 "," 13,265 "," 2,048 "," 2,087 "," 3,405 "," 24,939 ", -   ," 3,643 ", 533 ," 62,926 "
 502 ," 1,459 "," 1,977 "," 23,684 "," 21,365 "," 3,047 "," 2,462 ", 843 ," 55,230 ", -   ," 2,988 ", 384 ," 113,440 "
 503 ," 2,675 "," 4,086 "," 8,959 "," 10,539 ", 604 ," 1,091 ", 178 ," 13,923 ", -   , 318 , -   ," 42,374 "
 504 ," 4,520 "," 4,532 "," 22,662 "," 23,419 ", 360 ," 1,115 ", 716 ," 34,821 ", -   , -   , -   ," 92,145 "
 505 ," 2,450 "," 10,177 "," 28,453 "," 41,592 ", -   ," 1,105 "," 2,034 "," 37,349 ", 317 , 354 , -   ," 123,832 "
 506 ," 1,301 "," 8,831 "," 19,895 "," 22,417 "," 4,774 "," 1,176 ", 519 ," 40,950 ", -   ," 3,864 ", 392 ," 104,119 "
 507 , 375 ," 1,176 "," 4,094 "," 5,961 ", 652 , 475 , 311 ," 7,914 ", -   , 330 , -   ," 21,289 "
 508 ," 2,090 "," 2,023 "," 3,535 "," 2,443 "," 1,282 ", 175 , 318 ," 19,405 ", -   , 547 , 652 ," 32,470 "
 509 ," 5,327 "," 4,894 "," 29,124 "," 25,853 "," 2,831 "," 1,481 "," 1,706 "," 40,831 ", 224 ," 4,778 ", 95 ," 117,145 "
 510 ," 3,606 "," 3,273 "," 9,485 "," 13,443 ", 193 ," 2,307 ", -   ," 27,347 ", -   , 744 , -   ," 60,397 "
 511 ," 1,623 "," 5,590 "," 18,679 "," 11,246 "," 2,431 ", 979 , 336 ," 23,250 "," 1,740 ", 210 , -   ," 66,084 "
 512 ," 2,470 "," 4,073 "," 8,843 "," 10,028 ", 408 , 392 , -   ," 18,754 ", 106 ," 1,120 ", -   ," 46,193 "
 513 ," 1,220 ", 321 ," 1,842 "," 3,438 ", 67 , 536 , 347 ," 17,562 ", -   , 352 , -   ," 25,684 "
 514 ," 14,232 "," 2,341 "," 25,699 "," 34,340 ", 910 , 313 ," 3,950 "," 36,198 ", -   ," 3,542 ", -   ," 121,525 "
 515 , 935 , 607 ," 3,041 "," 4,943 ", 686 , 181 , 256 , 604 , -   , 178 , -   ," 11,431 "
 516 , 634 ," 1,371 "," 9,387 "," 12,780 "," 2,842 ", 264 , 383 ," 38,894 ", -   ," 1,688 ", 383 ," 68,627 "
 517 ," 3,924 "," 1,372 "," 7,392 "," 9,184 "," 1,171 ", -   , 449 ," 34,537 ", -   ," 1,368 ", -   ," 59,395 "
 518 ," 14,109 "," 9,173 "," 32,474 "," 24,822 "," 3,596 "," 2,141 "," 2,308 "," 81,150 ", -   ," 6,422 "," 1,088 "," 177,283 "
 519 , 861 , 48 ," 1,329 "," 2,369 ", 222 ," 1,231 ", -   ," 3,378 ", -   , 170 , -   ," 9,608 "
 520 , -   , -   , -   , -   , -   , -   , -   , 991 , -   , -   , -   , 991 
 521 ," 2,999 "," 2,308 "," 9,390 "," 6,421 ", 168 ," 1,815 ", -   ," 18,854 ", 983 ," 1,061 ", -   ," 44,000 "
 522 ," 10,418 "," 1,025 "," 12,678 "," 16,125 "," 2,891 ", 120 , 898 ," 40,285 ", -   ," 1,044 ", -   ," 85,483 "
 523 , 269 , -   ," 1,816 "," 2,485 ", 128 , 144 , 809 ," 2,325 ", -   , 231 , -   ," 8,207 "
 524 ," 5,689 "," 5,914 "," 24,599 "," 43,996 ", 235 , 323 ," 7,501 "," 65,428 ", -   ," 4,615 ", -   ," 158,300 "
 525 ," 11,190 "," 4,329 "," 26,993 "," 46,840 "," 4,663 "," 5,326 "," 2,124 "," 88,611 ", -   ," 1,294 ", -   ," 191,369 "
 526 ," 13,477 "," 9,978 "," 34,619 "," 59,721 "," 2,588 "," 1,851 "," 1,805 "," 100,528 ", -   ," 2,416 ", -   ," 226,982 "
 527 , 928 , 696 ," 4,410 "," 10,642 ", 86 , 741 , 121 ," 12,346 ", -   , 470 , -   ," 30,441 "
,,,,,,,,,,,,
 Total RMSP ," 1,273,707 "," 1,727,831 "," 5,581,477 "," 6,640,519 "," 781,658 "," 824,974 "," 673,384 "," 17,072,792 "," 36,141 "," 821,305 "," 227,275 "," 35,661,062 "
,,,,,,,,,,,,
Fonte:  Metrô/SP - Pesquisa Origem e Destino 2023,,,,,,,,,,,,
