Tabela 18a,,,,,,,,,,,,
Viagens Diárias Produzidas por Motivo no Destino e Zona de Origem – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
,Viagens Produzidas por Motivo no Destino,,,,,,,,,,,
Zona de,Trabalho,Trabalho,Trabalho,,,,,,Procurar,Assuntos,,
Origem,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Residência,Emprego,Pessoais,Refeição,Total
,,,,,,,,,,,,
 95 , 567 , 440 ," 4,290 "," 5,326 ", 502 , 671 ," 2,413 "," 14,292 ", -   ," 2,043 ", 220 ," 30,764 "
 96 , 282 , 323 ," 2,168 "," 3,749 ", 495 , 418 , 367 ," 20,372 ", -   , 368 , 55 ," 28,596 "
 97 , 379 ," 1,016 "," 4,866 "," 4,712 ", 864 ," 1,183 "," 1,497 "," 10,156 ", -   , 462 , 457 ," 25,592 "
 98 , 237 , 316 ," 2,936 "," 3,617 ", 385 , 361 ," 1,142 "," 9,998 ", -   ," 1,268 ", 37 ," 20,297 "
 99 ," 1,071 ", 917 ," 2,310 "," 2,839 "," 2,411 ", 619 , 354 ," 17,996 ", 64 , 411 , 841 ," 29,833 "
 100 , 529 ," 4,417 "," 14,570 "," 6,435 "," 1,281 "," 1,340 "," 1,158 "," 97,222 ", -   , 698 ," 2,642 "," 130,293 "
 101 , 545 , 210 ," 6,109 "," 5,889 ", 446 , 812 , 770 ," 11,551 ", -   , 55 , -   ," 26,386 "
 102 , 384 , 388 ," 4,567 "," 2,199 ", 352 , 441 , 790 ," 17,309 ", -   , 721 , 24 ," 27,176 "
 103 , -   , 64 , 830 , 711 , 132 , 113 , 234 ," 4,516 ", -   , 277 , -   ," 6,876 "
 104 , 392 , 206 ," 1,936 "," 1,827 ", 350 , 268 , 306 ," 4,288 ", -   , 323 , 104 ," 9,999 "
 105 , 717 , 624 ," 5,379 "," 4,139 ", 582 , 673 ," 1,223 "," 14,723 ", -   , 400 , 416 ," 28,875 "
 106 , 29 , 926 ," 2,615 "," 1,761 ", 333 , 77 , 308 ," 22,405 ", -   , 263 , 336 ," 29,052 "
 107 , 564 ," 1,315 "," 4,301 "," 9,397 ", 141 , 648 ," 1,908 "," 23,091 ", -   , 866 , 431 ," 42,663 "
 108 , 384 , 252 ," 1,974 "," 1,763 ", 445 , 297 , -   ," 16,952 ", 40 , 98 , 9 ," 22,212 "
 109 ," 5,858 "," 5,150 "," 25,105 "," 38,623 "," 5,013 "," 10,940 ", 711 ," 59,286 ", 371 ," 9,958 ", -   ," 161,014 "
 110 ," 2,852 "," 2,604 "," 26,626 "," 13,072 "," 5,590 "," 5,657 "," 1,029 "," 38,855 ", -   , 625 , 582 ," 97,492 "
 111 ," 3,488 "," 2,118 "," 17,062 "," 16,015 "," 1,930 "," 4,157 ", 489 ," 24,331 ", -   ," 3,050 ", -   ," 72,640 "
 112 , 472 ," 5,169 "," 8,977 "," 9,210 ", 487 ," 3,011 ", 594 ," 27,379 ", -   , 982 , -   ," 56,282 "
 113 ," 1,514 "," 4,333 "," 4,473 "," 9,319 "," 2,129 "," 1,216 "," 1,674 "," 33,211 ", -   ," 1,070 ", 166 ," 59,105 "
 114 , - , - , - , - , - , - , - , - , - , - , - , -   
 115 ," 2,166 "," 2,385 "," 12,616 "," 14,120 "," 5,715 "," 6,258 "," 2,843 "," 32,429 ", -   ," 2,115 ", -   ," 80,647 "
 116 ," 6,766 "," 11,801 "," 52,302 "," 71,418 ", 726 ," 1,102 ", 556 ," 89,293 ", 793 ," 3,966 ", -   ," 238,722 "
 117 ," 3,629 "," 2,096 "," 21,698 "," 13,863 "," 1,735 "," 5,014 "," 1,210 "," 34,840 ", -   ," 3,081 ", -   ," 87,166 "
 118 , 433 ," 1,998 "," 2,427 "," 6,523 ", 330 , 702 , -   ," 8,909 ", -   , 504 , -   ," 21,825 "
 119 ," 1,473 "," 7,217 "," 20,048 "," 32,046 "," 1,499 "," 3,831 ", -   ," 52,097 ", -   ," 1,769 ", -   ," 119,980 "
 120 , - , - , - , - , - , - , - , - , - , - , - , -   
 121 ," 8,214 "," 7,526 "," 19,569 "," 24,734 "," 1,278 "," 2,817 ", 99 ," 36,993 ", -   ," 4,451 ", -   ," 105,682 "
 122 ," 1,904 "," 6,007 "," 9,588 "," 20,990 ", 338 , 305 , 305 ," 16,915 ", -   , 832 , -   ," 57,185 "
 123 ," 3,030 "," 4,326 "," 18,185 "," 25,844 ", -   , 600 ," 3,055 "," 19,069 ", -   ," 1,130 ", -   ," 75,239 "
