Tabela 7,,,,,
Famílias por Número de Automóveis Particulares e Zona de Residência – 2023,,,,,
Região Metropolitana de São Paulo,,,,,
Pesquisa Origem e Destino 2023,,,,,
Companhia do Metropolitano de São Paulo ,,,,,
,,,,,
Zona de Residência,Famílias por Número de Automóveis Particulares,,,,Total de famílias
,Nenhum,1,2,3 ou mais,
,,,,,
305,"17,129","9,635","1,071","1,071","28,905"
306,"22,219","17,706","1,389",347,"41,660"
307,"18,224","9,682",570,0,"28,475"
308,"26,339","13,817",864,0,"41,019"
309,"9,969","5,119",269,0,"15,358"
310,"14,238","7,119",209,0,"21,566"
311,"6,434","2,843",0,0,"9,277"
312,"20,968","7,584",446,0,"28,998"
313,"7,194","7,794",0,0,"14,988"
314,"5,103","2,711",159,0,"7,973"
315,"24,700","9,997",588,0,"35,285"
316,"28,592","13,215","1,442",0,"43,248"
317,"1,447","3,618",643,322,"6,030"
318,84,353,501,186,"1,123"
319,"2,487","4,388","1,609",0,"8,484"
320,392,"1,455","1,119",504,"3,470"
321,"19,208","4,857","2,429",883,"27,377"
322,"3,087","9,879","3,396",309,"16,670"
323,"2,690","13,767","6,805",633,"23,895"
324,"9,878","13,517","2,599",520,"26,514"
325,"16,522","9,061",533,533,"26,649"
326,"7,627","6,049",526,0,"14,202"
327,"14,600","5,931","1,825",456,"22,812"
328,"1,318","5,602","2,439",527,"9,886"
329,"2,676","4,880","1,259",315,"9,130"
330,"2,412","8,284","1,678",105,"12,479"
331,"6,865","9,268",687,343,"17,163"
332,"9,030","6,599","1,042",695,"17,365"
333,"7,957","7,002",955,0,"15,913"
334,"3,438","5,257","1,415",404,"10,515"
335,"5,458","8,348","2,248",0,"16,054"
336,"5,010","7,958","2,063",0,"15,031"
337,"5,417","7,222","5,056","1,083","18,778"
338,"3,928","3,571","1,428",0,"8,927"
339,"7,649","4,063",956,0,"12,668"
340,,,,0,0
341,472,"2,109",535,94,"3,211"
342,"1,444","1,925",413,138,"3,919"
343,"2,142","13,160",612,0,"15,914"
344,118,828,888,178,"2,012"
345,"2,566","9,897","4,032","2,199","18,695"
346,"6,946","6,946",868,0,"14,760"
347,,,,0,0
348,"12,614","13,761","4,014",0,"30,388"
349,"1,407","1,572",331,83,"3,393"
350,,,,0,0
351,"14,061","11,457","1,042",0,"26,559"
352,"10,427","13,171","2,195","1,646","27,440"
353,,,,0,0
354,,,,0,0
355,,,,0,0
356,"12,435","6,583",731,0,"19,750"
357,"22,571","13,843","1,806",301,"38,521"
358,"1,651",601,0,0,"2,252"
359,"4,400","7,699","1,650",0,"13,749"
360,228,"2,731","3,642",455,"7,056"
361,"3,096","3,612",774,258,"7,741"
362,"1,295","4,254",0,0,"5,549"
363,"1,945","4,669",389,0,"7,003"
364,"5,774","7,873","1,575",0,"15,222"
365,"1,723","1,077",36,0,"2,835"
366,572,"1,244",202,0,"2,018"
367,"5,612","8,418","1,559",312,"15,900"
368,"3,460","9,227",961,0,"13,649"
369,"6,725","8,166",961,0,"15,851"
370,"6,419","10,832","2,407",401,"20,059"
371,"17,405","17,405","1,450",0,"36,260"
372,"11,177","9,719","3,402",0,"24,298"
373,"8,855","9,240","1,925",0,"20,020"
374,"10,040","10,459",837,0,"21,336"
375,,,,0,0
376,"13,800","9,857",986,0,"24,643"
377,"8,459","7,483",651,0,"16,593"
378,"39,972","25,151","1,796",449,"67,368"
379,"19,078","14,309","2,981",596,"36,964"
380,"8,483","8,836","1,767",707,"19,793"
381,"15,783","17,677",631,631,"34,722"
382,,,,0,0
383,"13,646","19,578",593,0,"33,817"
384,"16,115","9,132","1,612",0,"26,859"
385,"6,629","3,314",0,0,"9,943"
386,,,,0,0
387,603,650,46,93,"1,392"
388,"13,143","12,091","1,051",0,"26,285"
389,716,"1,113",557,0,"2,385"
390,"7,301","7,965","1,327",0,"16,593"
391,"1,563","2,415",284,0,"4,262"
392,,,,0,0
393,,,,0,0
394,"13,778","16,153",475,475,"30,881"
395,,,,0,0
396,"21,944","13,898",731,0,"36,573"
397,"3,340","3,201",557,139,"7,236"
398,"11,175","15,832","1,863",0,"28,870"
399,"17,165","15,967","1,198",399,"34,729"
400,"15,078","5,851","1,575",0,"22,504"
401,"19,139","21,473",0,934,"41,546"
402,"14,476","11,959",420,420,"27,274"
403,"20,402","17,487","1,619",0,"39,508"
404,"21,448","29,206","4,107",0,"54,760"
405,"3,593","4,246","1,143",163,"9,146"
406,"2,522","3,677",0,0,"6,199"
407,"10,471","18,562","1,428",0,"30,460"
408,"6,996","8,329",999,0,"16,324"
409,"4,667","6,632","1,719",0,"13,018"
410,"24,000","17,714",571,0,"42,286"
411,"9,255","8,658","1,194",299,"19,405"
412,"3,885","2,914",194,388,"7,381"
413,"2,159","2,253",282,0,"4,693"
414,"3,118","3,118",390,0,"6,626"
415,"7,203","6,095","1,108",0,"14,406"
416,"3,392","4,934",925,0,"9,251"
417,,,,0,0
418,"6,231","4,042",674,0,"10,946"
419,,,,0,0
420,"3,353","2,732",124,0,"6,209"
421,,,,0,0
422,"3,810","7,144",952,0,"11,906"
423,,,,0,0
424,"7,102","7,891","4,340",0,"19,332"
425,"6,918","10,376","3,843",0,"21,137"
426,"4,855","6,242","2,774",462,"14,333"
427,"1,276","1,160",464,0,"2,899"
428,"2,993","2,532",460,115,"6,101"
429,"4,915","19,662","4,588",0,"29,165"
430,"2,479","9,366","2,479",0,"14,325"
431,"2,911","5,975","1,379",0,"10,264"
432,"5,368","3,290",346,173,"9,177"
433,"1,955","7,602","2,389",217,"12,163"
434,"6,247","10,151","3,514",0,"19,912"
435,"5,595","10,391","3,996",799,"20,781"
436,"8,654","12,115","2,163",0,"22,932"
437,"4,961","8,598","2,976",0,"16,535"
438,"16,400","21,446","6,308",0,"44,153"
439,"13,963","24,251","4,409","1,470","44,093"
440,"24,212","17,986","2,075",0,"44,273"
441,481,370,0,0,851
442,"5,674","9,556",597,0,"15,827"
443,"16,227","22,566","3,803",507,"43,104"
444,"31,863","22,001",379,379,"54,622"
445,"11,030","16,221","3,893",649,"31,793"
446,"4,891","4,280",815,0,"9,986"
447,"12,718","13,271","2,212",553,"28,753"
448,"2,766","4,556","1,302",0,"8,624"
449,"1,374","3,337",98,98,"4,907"
450,"1,287","2,831",172,0,"4,289"
451,"3,906","7,813",0,0,"11,719"
452,"9,675","22,113","3,455","2,073","37,316"
453,"4,625","12,614","3,364",420,"21,023"
454,"2,501","11,877","2,501",313,"17,191"
455,"5,087","14,412","2,967",0,"22,466"
456,"11,101","16,147","8,073",505,"35,826"
457,"26,192","30,486","6,870",859,"64,406"
458,"11,891","19,252","3,397",0,"34,541"
459,"7,920","7,603","1,584",317,"17,423"
460,"3,945","2,958",247,247,"7,396"
461,,,,0,0
462,"28,690","21,403","4,554",0,"54,647"
463,"13,564","10,658",969,969,"26,160"
464,"20,347","14,961",598,0,"35,907"
465,"22,257","12,923","4,308",0,"39,488"
466,"10,616","9,099",379,0,"20,094"
467,"14,808","9,378","1,481",494,"26,160"
468,"8,914","12,585","5,244",0,"26,743"
469,"7,679","9,348",668,668,"18,363"
470,"16,630","17,910",0,0,"34,540"
471,"15,617","6,247",446,0,"22,310"
472,"16,569","4,478","1,343",0,"22,390"
473,"22,321","18,135","1,395",0,"41,851"
474,"11,686","6,020","1,416",354,"19,476"
475,"2,619","2,976",714,0,"6,310"
476,"27,269","19,174","3,835",852,"51,130"
477,444,"1,396",63,0,"1,904"
478,"1,008","1,742",0,0,"2,750"
479,"2,377","2,733",713,119,"5,942"
480,"6,685","5,813","1,453",872,"14,824"
481,"2,736","3,517","1,042",130,"7,425"
482,806,930,124,0,"1,859"
483,"6,535","5,270",843,211,"12,859"
484,,,,0,0
485,,,,0,0
486,"22,473","15,450","4,214","1,405","43,542"
487,"11,328","5,874","3,776","2,098","23,075"
488,,,,0,0
489,,,,0,0
490,"8,504","7,523",981,327,"17,335"
491,"7,667","11,702","2,018",0,"21,387"
492,"4,042","5,512",184,0,"9,737"
493,154,538,384,77,"1,152"
494,"28,091","15,606","2,731",780,"47,209"
495,"18,669","13,660","4,098",0,"36,427"
496,"12,344","10,515","1,372",914,"25,145"
497,"6,177","6,177","2,353",0,"14,708"
498,"7,576","5,854","3,444",689,"17,563"
499,854,910,285,28,"2,077"
500,"1,002","5,152","1,574",143,"7,871"
501,"4,629","9,566","1,543",309,"16,047"
502,"8,880","11,100","2,664",888,"23,532"
503,"7,219","7,508",578,0,"15,304"
504,"10,794","12,851","2,056",0,"25,701"
505,"13,895","27,791","3,004",376,"45,066"
506,"16,590","11,850","1,777","1,185","31,402"
507,"2,388","3,199",334,48,"5,969"
508,"3,026","2,774",756,252,"6,808"
