Tabela 2,,,,,,,,,,,,
População por Faixa Etária e Zona de Residência – 2023,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,
,,,,,,,,,,,,
Zona de,População por Faixa Etária  (em anos),,,,,,,,,,,
Residência,até 3,4 a 6,7 a 10,11 a 14,15 a 17,18 a 22,23 a 29,30 a 39,40 a 49,50 a 59,60 e mais, Total 
 116 ,"9,446","6,564","8,875","9,590","6,795","11,545","20,245","26,533","24,682","19,458","21,176","164,908"
 117 ,"4,469","1,577","4,792","2,254",0,"4,510","9,352","11,309","9,703","8,332","5,682","61,982"
 118 ,486,844,999,738,537,"1,387","1,647","2,749","2,484","1,814","1,565","15,250"
 119 ,"7,256","1,881","6,615","4,950","3,262","7,758","9,923","14,633","12,753","11,199","9,672","89,903"
 120 ,-,-,-,-,-,-,-,-,-,-,-, -   
 121 ,"5,858","4,017","5,323","4,777","2,467","5,697","10,591","14,029","11,870","8,919","8,800","82,349"
 122 ,"1,897","3,039","2,222","2,518","2,086","3,802","6,147","7,925","6,687","5,724","5,763","47,809"
 123 ,"4,956","2,650","3,290","3,846","2,550","5,177","7,372","8,908","9,117","7,180","7,583","62,629"
 124 ,"3,246","2,379","3,884","2,846","2,021","4,437","7,603","8,678","8,489","5,500","7,449","56,530"
 125 ,"1,416","2,158","1,252","2,888","2,027","3,507","4,709","8,866","5,718","7,866","11,546","51,953"
 126 ,941,"1,024","1,906","1,530","1,222","2,064","3,498","5,555","5,212","4,587","6,755","34,294"
 127 ,945,315,"3,595","3,022","1,692","4,100","4,964","8,200","9,162","8,274","10,133","54,403"
 128 ,0,36,72,117,44,70,218,343,332,307,607,"2,146"
 129 ,125,71,139,181,98,34,386,617,588,553,"1,033","3,824"
 130 ,177,310,236,137,109,235,532,884,932,796,"1,307","5,655"
 131 ,40,80,37,65,44,57,70,231,242,206,357,"1,429"
 132 ,-,-,-,-,-,-,-,-,-,-,-, -   
 133 ,"1,434","1,362",0,0,"1,667","1,841","1,806","7,904","7,913","5,341","9,516","38,784"
 134 ,0,"1,276","1,814","1,190","1,125","1,027","2,503","5,120","5,394","4,609","8,008","32,066"
 135 ,0,"1,684","1,041","1,706",324,"1,655","2,421","5,501","5,989","4,934","9,405","34,660"
 136 ,"1,621",741,291,"2,060",86,"3,321","2,113","5,606","5,630","4,267","6,359","32,094"
 137 ,"2,531","1,374","2,950","2,780","1,783","2,414","4,464","8,283","8,367","4,591","10,907","50,443"
 138 ,364,651,822,448,303,762,"1,407","1,666","2,156","1,485","1,847","11,911"
 139 ,0,"2,287","1,167","1,388",838,844,"2,645","4,217","5,224","3,544","5,413","27,568"
 140 ,"2,635",669,"3,048","1,801","1,213","2,526","4,875","6,451","7,278","6,024","8,422","44,941"
 141 ,"4,833","3,302",0,"5,835","3,449","5,073","9,875","13,997","12,475","10,559","13,331","82,731"
 142 ,"4,601","1,122","4,542","3,383","1,071","7,548","5,460","10,696","9,391","7,332","9,051","64,197"
 143 ,-,-,-,-,-,-,-,-,-,-,-, -   
 144 ,"2,285","2,842","4,318","3,564","3,549","6,789","8,693","15,013","17,542","14,526","19,126","98,247"
 145 ,131,427,252,318,109,552,804,"1,288","1,304","1,180","1,629","7,994"
