Tabela 6,,,,
"Renda Total, Renda Média Familiar, Renda per Capita e Renda Mediana Familiar por Zona de Residência - 2023",,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
 Zona de  ,Renda(*),Renda(*)  Média,Renda(*),Renda(*) Mediana
 Residência ,Total  ,Familiar,Per Capita,Familiar
,,,,
 126 ," 75,685,121 "," 6,138 "," 2,207 "," 5,130 "
 127 ," 159,771,337 "," 7,562 "," 2,937 "," 6,249 "
 128 ," 7,397,771 "," 7,722 "," 3,447 "," 6,648 "
 129 ," 11,806,614 "," 6,778 "," 3,088 "," 6,000 "
 130 ," 6,795,064 "," 5,734 "," 1,202 "," 3,540 "
 131 ," 2,685,400 "," 4,552 "," 1,879 "," 4,384 "
 132 ,,,,
 133 ," 154,730,105 "," 9,219 "," 3,990 "," 7,065 "
 134 ," 141,852,772 "," 11,182 "," 4,424 "," 8,201 "
 135 ," 146,924,433 "," 10,098 "," 4,239 "," 7,646 "
 136 ," 113,838,697 "," 8,964 "," 3,547 "," 4,684 "
 137 ," 141,917,754 "," 7,801 "," 2,813 "," 4,684 "
 138 ," 21,855,883 "," 4,992 "," 1,835 "," 4,684 "
 139 ," 97,671,255 "," 9,150 "," 3,543 "," 4,584 "
 140 ," 91,392,390 "," 5,376 "," 2,034 "," 4,800 "
 141 ," 185,977,279 "," 5,936 "," 2,248 "," 4,500 "
 142 ," 85,126,475 "," 3,805 "," 1,326 "," 3,421 "
 143 ,,,,
 144 ," 262,382,161 "," 6,838 "," 2,671 "," 5,779 "
 145 ," 24,138,619 "," 8,646 "," 3,020 "," 6,965 "
 146 ,,,,
 147 ," 66,373,914 "," 6,248 "," 2,266 "," 4,475 "
 148 ," 85,397,243 "," 11,185 "," 4,069 "," 7,646 "
 149 ,,,,
 150 ," 78,571,859 "," 4,544 "," 1,521 "," 4,910 "
 151 ," 160,386,298 "," 4,583 "," 1,612 "," 4,220 "
 152 ," 112,093,897 "," 7,842 "," 3,129 "," 7,500 "
 153 ," 75,641,205 "," 11,357 "," 4,435 "," 7,646 "
 154 ," 133,998,957 "," 6,980 "," 2,726 "," 6,099 "
 155 ," 48,408,969 "," 4,898 "," 1,616 "," 4,000 "
 156 ," 77,299,282 "," 5,024 "," 1,818 "," 5,024 "
 157 ," 31,348,290 "," 5,270 "," 1,840 "," 4,234 "
 158 ," 100,796,522 "," 4,950 "," 1,821 "," 3,910 "
 159 ," 128,066,678 "," 5,670 "," 2,051 "," 4,742 "
 160 ," 109,350,746 "," 5,721 "," 2,305 "," 4,050 "
 161 ," 75,781,704 "," 4,294 "," 1,584 "," 3,669 "
 162 ," 30,906,302 "," 4,994 "," 1,937 "," 4,000 "
 163 ," 115,318,286 "," 7,082 "," 2,724 "," 6,150 "
 164 ," 13,362,015 "," 4,098 "," 1,661 "," 3,540 "
 165 ," 6,839,927 "," 5,162 "," 1,946 "," 4,526 "
 166 ," 135,115,468 "," 10,463 "," 4,367 "," 8,796 "
 167 ," 71,591,927 "," 11,362 "," 4,601 "," 8,450 "
 168 ," 89,475,982 "," 8,395 "," 3,525 "," 7,646 "
 169 ," 87,887,135 "," 7,475 "," 3,013 "," 5,908 "
 170 ," 107,280,003 "," 6,958 "," 2,544 "," 5,100 "
 171 ," 100,146,944 "," 6,694 "," 2,560 "," 5,890 "
 172 ," 55,633,921 "," 5,494 "," 2,104 "," 4,368 "
 173 ," 64,993,829 "," 6,165 "," 2,320 "," 5,779 "
 174 ," 73,121,281 "," 4,291 "," 1,559 "," 3,797 "
 175 ," 67,532,105 "," 5,035 "," 1,842 "," 4,368 "
 176 ," 70,805,965 "," 4,059 "," 1,518 "," 3,600 "
 177 ," 19,637,406 "," 3,753 "," 1,358 "," 3,540 "
 178 ,,,,
 179 ,,,,
 180 ," 94,133,934 "," 3,793 "," 1,374 "," 3,301 "
 181 ," 99,826,583 "," 5,877 "," 2,142 "," 5,140 "
 182 ," 90,949,838 "," 5,448 "," 1,983 "," 4,875 "
 183 ," 88,541,013 "," 5,417 "," 1,915 "," 5,000 "
 184 ," 54,830,560 "," 6,655 "," 2,315 "," 5,550 "
 185 ," 38,197,281 "," 4,070 "," 1,445 "," 3,341 "
 186 ," 20,103,377 "," 5,487 "," 1,988 "," 5,012 "
 187 ," 55,618,142 "," 3,291 "," 1,146 "," 2,820 "
 188 ," 52,581,489 "," 5,186 "," 1,828 "," 4,000 "
 189 ," 78,921,690 "," 4,358 "," 1,581 "," 3,669 "
 190 ," 87,759,188 "," 6,342 "," 2,417 "," 6,000 "
 191 ,,,,
 192 ," 82,121,731 "," 5,885 "," 2,171 "," 3,700 "
 193 ," 37,551,790 "," 4,299 "," 1,492 "," 3,797 "
 194 ," 37,683,960 "," 4,188 "," 1,416 "," 3,189 "
 195 ," 79,930,018 "," 5,509 "," 1,979 "," 5,024 "
 196 ," 50,935,755 "," 4,211 "," 1,516 "," 3,410 "
 197 ," 42,113,900 "," 5,092 "," 1,800 "," 4,234 "
 198 ," 46,763,440 "," 4,940 "," 1,797 "," 4,500 "
 199 ," 139,592,987 "," 4,116 "," 1,401 "," 3,540 "
 200 ," 37,656,732 "," 3,297 "," 1,141 "," 3,078 "
 201 ," 121,847,269 "," 5,010 "," 1,763 "," 4,378 "
 202 ," 125,389,169 "," 4,686 "," 1,671 "," 4,072 "
 203 ," 82,618,238 "," 4,557 "," 1,557 "," 3,799 "
 204 ," 136,992,377 "," 3,459 "," 1,187 "," 2,700 "
 205 ," 120,805,214 "," 3,600 "," 1,239 "," 3,301 "
 206 ," 58,290,589 "," 4,105 "," 1,478 "," 4,000 "
 207 ," 89,692,064 "," 3,564 "," 1,221 "," 3,250 "
 208 ," 125,342,006 "," 7,310 "," 2,776 "," 5,779 "
 209 ," 132,961,381 "," 8,511 "," 3,216 "," 6,648 "
