Tabela 23,,,,,,,,,,,
Viagens Diárias Atraídas por Motivo e Zona de Destino – 2023,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,
,,,,,,,,,,,
Zona de Destino,Viagens Atraídas por Motivo,,,,,,,,,,Total
,Trabalho,Trabalho,Trabalho,,,,,Procurar ,Assuntos, ,
,Indústria,Comércio,Serviços,Educação,Compras,Saúde,Lazer,Emprego,Pessoais,Refeição,
,,,,,,,,,,,
71," 3,803 "," 3,787 "," 40,654 "," 12,134 "," 5,925 ", 341 ," 7,468 ", -   ," 4,682 "," 1,696 "," 80,490 "
72," 1,401 "," 2,491 "," 21,194 "," 7,423 "," 1,504 ", 889 ," 2,038 ", 246 ," 1,658 ", 659 ," 39,502 "
73," 11,667 "," 10,159 "," 107,413 "," 3,377 ", 886 ," 2,443 "," 5,073 ", -   ," 2,551 "," 9,730 "," 153,299 "
74," 6,132 "," 9,858 "," 41,706 "," 5,954 ", 913 ," 2,585 "," 1,998 ", -   ," 1,996 "," 1,658 "," 72,800 "
75, 517 ," 2,994 "," 12,966 "," 4,548 "," 1,279 ", 941 ," 1,813 ", -   ," 1,936 ", 300 ," 27,295 "
76," 1,338 "," 1,486 "," 18,432 "," 3,020 ", 376 ," 1,896 "," 3,025 ", -   , 803 , 395 ," 30,771 "
77, 978 ," 3,444 "," 43,612 "," 10,020 "," 1,503 "," 17,765 "," 4,486 ", -   ," 2,611 "," 1,410 "," 85,829 "
78," 1,249 "," 3,765 "," 25,885 "," 5,262 "," 2,552 "," 1,545 "," 2,263 ", -   ," 1,358 "," 1,086 "," 44,964 "
79," 4,220 "," 3,965 "," 39,253 "," 10,818 "," 1,007 "," 9,884 "," 3,780 ", 158 ," 4,386 "," 3,037 "," 80,508 "
80, 462 ," 7,682 "," 26,289 "," 9,905 "," 2,390 "," 3,423 "," 5,292 ", 40 ," 1,646 "," 1,788 "," 58,917 "
81," 1,995 "," 7,150 "," 32,245 "," 5,526 "," 1,481 "," 1,340 "," 5,312 ", -   ," 1,490 ", 822 ," 57,361 "
82," 5,764 "," 10,301 "," 62,171 "," 8,610 "," 2,426 "," 4,311 "," 7,615 ", -   ," 6,506 "," 4,955 "," 112,661 "
83," 4,377 "," 5,204 "," 28,478 "," 18,385 "," 1,390 ", 896 ," 4,332 ", 36 ," 2,815 "," 2,644 "," 68,557 "
84, 655 ," 3,801 "," 17,360 "," 19,170 "," 1,552 ", 688 , 734 , -   ," 2,612 "," 1,724 "," 48,296 "
85, 447 , 231 ," 3,755 "," 5,746 ", 362 ," 1,046 ", 556 , -   , 532 , 340 ," 13,016 "
86, 395 ," 1,070 "," 3,044 "," 2,288 ", 23 , 126 , 137 , -   , 327 , -   ," 7,409 "
87, 209 ," 2,031 "," 15,140 "," 9,357 "," 1,379 "," 2,232 "," 3,216 ", 93 ," 2,846 ", 136 ," 36,640 "
88," 1,871 "," 8,084 "," 35,474 "," 20,450 "," 3,741 "," 4,210 "," 5,736 ", -   ," 4,206 ", 857 ," 84,628 "
89," 1,086 ", 385 ," 5,859 "," 4,069 "," 1,027 ", 987 , 502 , -   , 497 , -   ," 14,412 "
90," 1,814 "," 1,868 "," 8,631 "," 6,684 "," 1,301 "," 1,526 "," 3,156 ", -   ," 1,878 ", 149 ," 27,005 "
91," 5,201 "," 5,034 "," 18,630 "," 14,852 "," 1,381 ", 352 ," 1,024 ", 600 ," 4,308 "," 1,311 "," 52,692 "
92," 1,979 "," 2,970 "," 22,818 "," 4,247 ", 120 , 58 , 569 , 353 ," 5,773 ", 572 ," 39,460 "
93," 1,003 "," 4,374 "," 29,205 "," 19,124 "," 1,326 "," 7,221 "," 3,096 ", -   ," 6,590 "," 1,256 "," 73,196 "
94," 2,191 "," 6,475 "," 16,315 "," 3,317 "," 1,082 "," 1,787 "," 4,638 ", 326 , 825 ," 2,931 "," 39,887 "
95, 684 , 503 ," 12,689 "," 8,922 ", 724 , 629 ," 3,087 ", -   ," 2,755 ", 439 ," 30,433 "
96, 445 , 797 ," 14,083 "," 8,241 ", 914 ," 1,543 "," 2,215 ", -   , 751 , 45 ," 29,033 "
97, 670 ," 2,358 "," 8,391 "," 6,096 "," 1,593 "," 2,945 "," 2,562 ", -   , 510 , 593 ," 25,717 "
98, 474 , 735 ," 9,148 "," 5,322 ", 381 , 639 , 919 , 375 ," 2,339 ", 75 ," 20,408 "
99," 6,452 "," 2,370 "," 10,989 "," 3,332 "," 1,206 ", 625 , 547 , 435 ," 3,592 ", 617 ," 30,165 "
100," 5,192 "," 20,365 "," 46,587 "," 23,908 "," 8,525 "," 12,727 "," 3,704 ", 106 ," 6,370 "," 2,622 "," 130,106 "
101, 964 ," 1,060 "," 12,488 "," 8,272 ", 624 ," 1,107 "," 1,403 ", -   , 475 , -   ," 26,393 "
102, 926 ," 1,775 "," 10,993 "," 7,032 ", 419 ," 2,013 ", 953 , -   ," 3,215 ", 61 ," 27,387 "
103, 300 , 630 ," 5,480 ", 714 , 255 , 761 , 622 , -   , 455 , -   ," 9,217 "
104, 454 , 416 ," 3,484 "," 4,332 ", 417 , 246 , 547 , -   , 386 , 104 ," 10,386 "
105," 1,706 "," 2,190 "," 13,962 "," 6,930 "," 1,632 ", 892 , 881 , -   , 420 , 442 ," 29,055 "
106," 1,907 "," 8,365 "," 14,336 "," 1,920 "," 2,873 ", 85 , 174 , -   , 731 , 51 ," 30,442 "
107, 960 ," 2,649 "," 14,744 "," 19,044 ", 434 , 949 ," 1,550 ", -   , 769 ," 1,187 "," 42,287 "
108, 818 ," 8,450 "," 9,395 "," 2,728 "," 1,967 ", 269 , 305 , 40 , 315 , 9 ," 24,297 "
109," 9,717 "," 10,877 "," 40,647 "," 61,709 "," 8,286 "," 15,197 "," 3,308 ", 371 ," 11,420 ", -   ," 161,532 "
110," 5,131 "," 5,275 "," 39,074 "," 26,804 "," 7,626 "," 5,929 "," 2,959 ", -   ," 4,023 ", 582 ," 97,405 "
111," 4,804 "," 4,225 "," 24,742 "," 27,227 "," 2,326 "," 3,970 "," 1,270 ", -   ," 3,761 ", -   ," 72,326 "
112," 3,739 "," 6,622 "," 20,425 "," 17,577 "," 1,773 "," 3,692 "," 1,793 ", -   , 854 , -   ," 56,475 "
113," 5,901 "," 8,923 "," 17,558 "," 17,960 "," 2,892 "," 1,079 "," 2,279 ", -   ," 1,680 ", 166 ," 58,438 "
114, - , - , - , - , - , - , - , - , - , - , -   
115," 3,787 "," 5,737 "," 19,046 "," 29,372 "," 6,105 "," 5,793 "," 5,774 ", -   ," 4,367 ", -   ," 79,981 "
116," 7,975 "," 17,401 "," 67,822 "," 131,705 "," 6,853 "," 2,109 ", 861 , 765 ," 4,714 ", -   ," 240,207 "
117," 5,452 "," 3,781 "," 26,285 "," 29,422 "," 3,080 "," 7,662 "," 4,170 ", -   ," 5,348 ", -   ," 85,200 "
