Tabela 20,,,,
Tempo Médio das Viagem Produzidas por Tipo de Viagem e Zona de Origem – 2023,,,,
Região Metropolitana de São Paulo,,,,
Pesquisa Origem e Destino 2023,,,,
Companhia do Metropolitano de São Paulo ,,,,
,,,,
Zona de,Tempo Médio de Viagem(minutos) por Tipo,,,
 Origem , Coletivo , Individual , A pé , Bicicleta 
,,,,
315, 71 , 37 , -   , 13 
316, 70 , 28 , -   , 13 
317, 46 , 27 , -   , 13 
318, 41 , 29 , 10 , 11 
319, 47 , 27 , -   , 10 
320, 64 , 24 , -   , 14 
321, 54 , 24 , 11 , 14 
322, 48 , 27 , 50 , 11 
323, 33 , 25 , -   , 11 
324, 54 , 32 , -   , 14 
325, 66 , 37 , -   , 10 
326, 56 , 26 , -   , 9 
327, 65 , 18 , -   , 11 
328, 47 , 28 , -   , 14 
329, 63 , 25 , 45 , 15 
330, 33 , 27 , 25 , 12 
331, 67 , 43 , -   , 16 
332, 63 , 27 , -   , 9 
333, 45 , 28 , -   , 4 
334, 49 , 36 , -   , 10 
335, 56 , 29 , 15 , 13 
336, 57 , 26 , -   , 16 
337, 79 , 33 , 7 , 13 
338, 51 , 35 , 23 , 11 
339, 61 , 28 , 25 , 13 
340, - , - , - , - 
341, 38 , 27 , 15 , 15 
342, 47 , 23 , 22 , 16 
343, 35 , 25 , -   , 9 
344, 84 , 34 , -   , 3 
345, 63 , 19 , -   , 12 
346, 69 , 35 , 25 , 17 
347, - , - , - , - 
348, 36 , 30 , 13 , 11 
349, 50 , 24 , -   , 6 
350, - , - , - , - 
351, 41 , 53 , -   , 10 
352, 58 , 26 , -   , 26 
353, - , - , - , - 
354, - , - , - , - 
355, - , - , - , - 
356, 68 , 21 , -   , 14 
357, 73 , 39 , 5 , 17 
358, 75 , 21 , -   , 14 
359, 58 , 16 , 15 , 8 
360, 34 , 38 , -   , -   
361, 45 , 24 , 32 , 16 
362, 37 , 20 , -   , 10 
363, 96 , 18 , 78 , 15 
364, 49 , 31 , -   , 7 
365, 45 , 40 , 20 , 13 
366, 46 , 30 , 11 , 9 
367, 35 , 31 , -   , 10 
368, 42 , 31 , -   , 14 
369, 57 , 19 , 12 , 10 
370, 39 , 25 , -   , 8 
371, 39 , 31 , -   , 9 
372, 36 , 28 , 10 , 15 
373, 53 , 30 , -   , 14 
374, 62 , 20 , 20 , 13 
375, - , - , - , - 
376, 56 , 32 , 25 , 14 
377, 66 , 31 , 8 , 10 
378, 59 , 42 , 37 , 15 
379, 79 , 32 , -   , 17 
380, 46 , 21 , -   , 14 
381, 44 , 30 , -   , 12 
382, - , - , - , - 
383, 50 , 29 , 30 , 10 
384, 44 , 32 , 15 , 9 
385, 71 , 27 , 24 , 18 
386, - , - , - , - 
387, 23 , 32 , 12 , 16 
388, 58 , 20 , 11 , 15 
389, 46 , 30 , -   , 6 
390, 51 , 24 , 9 , 12 
391, 42 , 23 , -   , 10 
392, - , - , - , - 
393, - , - , - , - 
394, 82 , 34 , -   , 15 
395, - , - , - , - 
396, 69 , 26 , 13 , 12 
397, 73 , 34 , -   , 10 
398, 82 , 19 , 18 , 16 
399, 84 , 33 , 47 , 16 
400, 69 , 19 , 36 , 15 
401, 72 , 36 , 41 , 15 
402, 67 , 36 , 26 , 13 
403, 60 , 35 , 18 , 15 
404, 64 , 19 , 26 , 15 
405, 56 , 35 , 18 , 14 
406, 58 , 32 , 44 , 7 
407, 48 , 15 , -   , 14 
408, 56 , 18 , 10 , 14 
409, 51 , 21 , -   , 12 
410, 59 , 24 , 57 , 17 
411, 54 , 24 , 16 , 11 
412, 63 , 36 , -   , 8 
413, 51 , 36 , 22 , 12 
414, 49 , 41 , -   , 11 
415, 47 , 33 , 30 , 16 
416, 63 , 22 , -   , 18 
417, - , - , - , - 
418, 40 , 26 , -   , 12 
419, - , - , - , - 
420, 73 , 20 , -   , 15 
421, - , - , - , - 
422, 71 , 21 , 13 , 15 
423, - , - , - , - 
424, 43 , 21 , -   , 13 
425, 45 , 27 , 30 , 11 
426, 66 , 27 , 15 , 16 
427, 44 , 23 , 37 , 14 
428, 49 , 32 , 29 , 14 
429, 49 , 25 , -   , 12 
430, 35 , 30 , -   , 16 
431, 48 , 28 , -   , 10 
432, 60 , 23 , 20 , 18 
433, 62 , 32 , 20 , 15 
434, 55 , 35 , 20 , 11 
435, 41 , 32 , 25 , 13 
436, 60 , 28 , 33 , 17 
437, 47 , 25 , -   , 13 
438, 56 , 32 , -   , 16 
439, 58 , 24 , -   , 15 
440, 60 , 29 , -   , 13 
441, 70 , 49 , 30 , 15 
442, 52 , 35 , -   , 13 
443, 58 , 29 , 34 , 16 
444, 66 , 30 , 10 , 18 
