Tabela 16,,,,,,,,,,,,,,,
Viagens Diárias Produzidas por Modo Principal e Zona de Origem – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Viagens Produzidas por Modo Principal,,,,,,,,,,,,,,Total
Zona de,Metrô,Trem,Ônibus,Transporte fretado,Transporte escolar,Dirigindo automóvel,Passageiro de automóvel,Táxi convencional,Táxi não convencional / aplicativo,Dirigindo moto,Passageiro de moto e  de mototáxi,Bicicleta,A pé,Outros,
Origem,,,,,,,,,,,,,,,
165,"2,697",630,"10,215",605,163,"2,613",814,0,874,162,19,0,"1,204",0,"19,996"
166,"15,614","4,026","16,684",334,"4,961","33,429","4,594",474,"3,111","1,988",0,0,"22,514",0,"107,729"
167,"20,503","9,934","20,941",0,943,"25,741","9,949",220,"3,043",705,0,0,"10,827",0,"102,806"
168,"10,174","4,217","20,087",9,"5,386","15,152","3,851",0,"3,535",467,765,443,"9,697",0,"73,784"
169,"21,646","2,895","20,380",126,"3,986","22,677","7,111",0,879,"1,277",10,771,"20,217",0,"101,975"
170,"7,987","1,143","32,283",0,"6,710","27,749","8,078",0,703,"1,952",0,0,"29,567",0,"116,173"
171,"7,102",800,"13,559",0,"1,633","14,205","6,393",0,"2,681",992,111,0,"20,394",0,"67,870"
172,"5,576",0,"16,303",0,83,"6,477","2,611",113,701,"1,831",220,169,"9,880",0,"43,963"
173,"5,077",168,"5,915",0,"1,664","5,096","3,351",0,557,416,220,0,"6,235",0,"28,699"
174,"8,173","1,437","14,979",0,"3,217","5,420",312,0,467,698,0,0,"19,612",0,"54,314"
175,"3,065","1,119","8,651",389,"1,271","3,355","1,573",0,11,0,0,0,"4,788",0,"24,222"
176,"5,821","1,811","12,179",0,"4,278","7,738","1,896",0,439,969,0,0,"17,549",0,"52,682"
177,"1,803",211,"4,001",0,"1,811","2,054","1,694",0,366,"1,085",0,0,"6,114",0,"19,140"
178,337,899,171,0,0,63,36,0,0,0,0,0,"7,237",0,"8,743"
179,,,,,,,,,,,,,,,
180,"12,881","4,172","19,757",0,"2,900","11,861","5,217",0,"1,575",0,0,0,"43,619",0,"101,981"
181,"6,045","1,498","16,723",0,"9,831","12,875","4,638",245,"1,413","2,511",0,0,"15,285",0,"71,065"
182,"6,810",461,"9,846",589,"2,391","13,911","8,480",113,"1,084","3,445",0,0,"21,918","1,485","70,534"
183,"4,690",237,"15,697",0,"5,560","10,029","3,748",0,"1,377","1,251",0,0,"14,455",495,"57,540"
184,"5,700",0,"6,207",207,"1,683","3,682","1,452",0,443,"2,339",0,0,"8,308",0,"30,020"
185,"2,670",304,"6,373",137,"1,170","5,894","1,815",0,"1,227","1,233",383,0,"20,101",495,"41,802"
186,946,0,"3,209",0,621,"3,185","1,018",0,439,"1,172",713,0,"6,100",0,"17,405"
187,"6,033","3,037","7,633",0,"6,078","7,365","3,956",0,"1,520","1,175",0,"2,016","37,415",0,"76,228"
188,"4,998","1,403","13,789",188,"6,078","12,603","8,099",0,155,"2,823",780,970,"21,257",0,"73,142"
189,"6,409","3,224","17,073",0,"8,109","5,051","2,643",256,"1,557","1,033",0,0,"28,773",0,"74,128"
190,"5,869","3,014","17,767",0,"3,794","14,627","3,348",0,"1,925","3,081",331,0,"12,187",0,"65,944"
191,"3,770","2,206","11,897",0,"1,455","12,811","1,165",0,0,915,0,350,0,0,"34,569"
192,"8,088",0,"9,012",0,914,"10,199","1,112",0,"1,287",583,0,0,"19,527",0,"50,721"
