Tabela 21,,,,,,,,,,,,,,,
Viagens Diárias Atraídas por Modo Principal e Zona de Destino – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
, Viagens Atraídas por Modo Principal ,,,,,,,,,,,,,,
Zona de, Metrô , Trem , Ônibus , Transporte fretado , Transporte escolar , Dirigindo automóvel , Passageiro de automóvel , Táxi convencional , Táxi não convencional/app , Dirigindo moto ,Passageiro de moto e de mototáxi, Bicicleta , A pé , Outros ,
Destino,,,,,,,,,,,,,,, Total 
170,"10,370",600,"31,892",0,"6,710","27,296","5,625",0,"1,353","1,952",0,0,"29,357",0,"115,155"
171,"7,495",800,"12,632",0,"1,633","14,205","6,556",0,"2,582",992,107,0,"20,757",0,"67,760"
172,"8,040",0,"14,324",0,83,"6,259","2,386",113,701,"1,831",220,169,"9,516",0,"43,642"
173,"4,674",168,"6,005",0,"1,664","5,391","3,940",0,557,416,220,0,"5,964",0,"28,998"
174,"7,537","1,437","15,662",0,"3,217","5,420",779,0,0,698,0,0,"19,612",0,"54,361"
175,"3,065","1,119","8,309",389,"1,271","3,162","1,904",0,11,0,0,0,"4,788",0,"24,018"
176,"5,821","1,811","11,809",0,"4,278","8,054","1,881",0,672,969,0,0,"16,743",0,"52,039"
177,"1,803",211,"3,091",0,"1,811","2,009","1,694",0,366,"1,085",0,0,"6,921",0,"18,992"
178,549,706,689,0,0,63,0,0,0,0,0,0,"6,746",0,"8,754"
179,,,,,,,,,,,,,,,
180,"12,550","4,172","19,083",0,"2,900","10,858","5,695",0,"1,575",108,0,0,"44,110",0,"101,051"
181,"5,525","1,498","18,053",0,"8,984","12,612","4,934",245,"1,413","2,511",0,0,"15,504",0,"71,280"
182,"7,314",461,"9,457",589,"3,238","13,777","8,135",113,601,"4,544",0,0,"21,763","1,485","71,478"
183,"5,093",237,"14,806",0,"5,560","10,029","3,804",0,"1,377","1,251",0,0,"14,880",0,"57,038"
184,"5,791",0,"5,825",207,"1,683","3,682","1,452",0,443,"2,339",0,0,"8,308",0,"29,730"
185,"2,773",229,"6,593",293,"1,170","5,894","1,815",0,919,"1,233",383,0,"19,998",990,"42,291"
186,794,0,"2,746",0,621,"3,185","1,220",0,439,"1,172",713,0,"5,928",0,"16,818"
187,"6,030","3,037","6,840",0,"6,078","7,245","3,899",0,"2,525","1,175",0,"2,016","36,467",0,"75,314"
188,"5,730","2,125","13,345",188,"6,078","13,227","7,527",0,0,"2,823",547,970,"20,947",0,"73,505"
189,"6,962","3,008","17,073",0,"8,109","5,392","2,643",256,"1,557","1,329",0,0,"28,773",0,"75,102"
190,"6,802","3,014","17,327",0,"3,794","13,963","3,348",155,"1,723","3,081",331,0,"11,829",0,"65,366"
191,"3,173","2,206","12,226",0,"1,455","12,811","1,165",0,0,"1,622",0,350,0,0,"35,008"
192,"7,016",0,"9,431",0,546,"10,199","1,112",292,"1,782",583,0,0,"19,816",0,"50,777"
193,"2,992",0,"5,184",444,"5,187","4,170","1,343",0,"1,094",758,0,0,"3,295",0,"24,468"
194,"3,654",144,"8,095",0,"2,302","2,952","1,814",502,0,958,0,205,"10,839",0,"31,466"
195,"5,103",307,"8,357",0,"6,395","10,342","3,513",0,"1,138","1,776",0,"1,251","17,751",0,"55,934"
196,"4,633",0,"5,592",0,"2,015","9,629","5,965",0,"1,509",494,233,0,"25,932",0,"56,003"
197,"2,394",339,"13,375",176,"4,801","8,568","4,175",0,392,195,0,653,"9,046",0,"44,114"
198,"3,733","2,326","30,598",0,"3,377","15,839","5,837",0,"2,343",591,0,"1,242","21,634",0,"87,519"
199,"9,855","10,597","16,921",786,"3,095","18,999","6,401",0,166,0,0,"11,898","58,307",0,"137,025"
200,"3,379","5,864","6,579",0,"6,185","2,184","1,045",0,804,758,179,"2,838","18,395",0,"48,208"
201,"2,988","4,708","17,875",233,"5,795","9,900","2,127",0,"1,324","1,367",390,0,"59,659",0,"106,367"
202,"14,779","3,954","14,890",0,"4,818","24,438","12,713",256,"1,712","2,725",0,"1,251","43,787","1,302","126,625"
203,"7,979","5,094","9,493",0,"4,901","2,719","1,943",0,716,"1,594",0,391,"43,668","1,302","79,801"
204,"9,132","6,561","26,656",485,"5,241","21,043","5,799",0,"4,623","3,526",0,0,"57,722",0,"140,788"
205,"6,754","8,638","15,540","2,185","10,678","10,062","5,142",810,"2,153",850,0,0,"67,169",0,"129,981"
