 Tabela 8 ,,,,,,,,,,
 População que Trabalha por Vínculo Empregatício do Primeiro Trabalho e Zona de Residência – 2023 ,,,,,,,,,,
 Região Metropolitana de São Paulo ,,,,   ,,,,,,
 Pesquisa Origem e Destino 2023 ,,,,,,,,,,
 Companhia do Metropolitano de São Paulo  ,,,,,,,,,,
,,,,,,,,,,
, População que trabalha por Vínculo Empregatício do Primeiro Emprego ,,,,,,,,, Total 
 Zona de , Assalariado  , Assalariado  , Funcionário , Profissional , Autônomo , Autônomo ,, Dono de  , Trabalhador ,
 Residência , com Carteira , sem Carteira , Público , Liberal , com CNPJ , sem CNPJ , Empregador , Negócio Familiar , Familiar ,
,,,,,,,,,,
 139 ,"5,903","1,424",385,621,"1,400","3,264",233,522,0,"13,753"
 140 ,"11,441","1,006",778,579,"2,066","3,535",456,0,0,"19,862"
 141 ,"15,729","3,932","1,016",0,"4,379","10,785",556,"3,977","1,485","41,859"
 142 ,"21,916","3,513",455,0,210,"5,267",0,"1,934",0,"33,295"
 143 ,,,,,,,,,,
 144 ,"28,656","3,114","1,097","1,890","5,884","13,632","1,113",0,0,"55,386"
 145 ,"1,749",119,161,195,607,921,177,40,0,"3,967"
 146 ,,,,,,,,,,
 147 ,"7,545",226,"1,118","1,136",434,"2,335",360,558,0,"13,713"
 148 ,"5,223",58,629,756,"2,952",538,420,498,0,"11,073"
 149 ,,,,,,,,,,
 150 ,"15,101","3,608",318,0,511,"8,365",0,0,0,"27,903"
 151 ,"18,402","1,367",656,0,"6,457","14,739","1,640",0,0,"43,261"
 152 ,"9,582",911,"2,184",732,"3,691","2,534",180,0,0,"19,816"
 153 ,"4,249",0,150,763,"2,814","1,084",0,0,0,"9,060"
 154 ,"12,597",348,"2,159","1,269","1,094","7,071",570,198,0,"25,306"
 155 ,"6,907",540,153,0,"1,274","3,633",0,0,0,"12,506"
 156 ,"7,182",0,"1,023",169,"4,723","3,399",0,0,0,"16,496"
 157 ,"4,735",405,135,217,739,"1,881",0,82,0,"8,193"
 158 ,"13,420",223,0,302,"4,139","5,665",224,"2,045",0,"26,017"
 159 ,"17,630","1,201",0,198,"3,910","5,691",0,0,0,"28,630"
 160 ,"13,883",818,"1,324",733,"2,757","6,603",734,0,0,"26,853"
