Tabela 12,,,,,,,,,,,,,,,
Empregos por Classe de Atividade e Zona de Emprego – 2023,,,,,,,,,,,,,,,
Região Metropolitana de São Paulo,,,,,,,,,,,,,,,
Pesquisa Origem e Destino 2023,,,,,,,,,,,,,,,
Companhia do Metropolitano de São Paulo ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Empregos por Classe de Atividade,,,,,,,,,,,,,,
Zona de Emprego,Agrícola,Construção Civil,Indústria,Comércio,Serviços,,,,,,,,,,
,,,,,Transporte de Carga,Transporte de Passageiros,Creditícios Financeiro,Pessoais,Alimentação,Saúde,Educação,Especializado,Administração Pública,Outros,Total
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
77, -   , 171 , 117 ," 2,851 ", 361 , -   ," 1,694 ", 835 ," 1,218 "," 18,319 "," 1,089 "," 8,380 ", 984 ," 7,623 "," 43,641 "
78, -   ," 1,160 ", 52 ," 3,850 ", 682 , 188 ," 1,626 "," 2,140 "," 2,334 ", 785 , 301 ," 7,941 ", -   ," 4,689 "," 25,746 "
79, 48 ," 1,481 "," 1,848 "," 4,339 "," 1,260 ", 11 ," 5,604 ", 419 ," 1,421 "," 9,300 "," 1,449 "," 11,607 ", 621 ," 5,710 "," 45,116 "
80, -   , 773 , 878 ," 4,680 ", -   , -   , 694 , 768 ," 2,035 "," 3,220 "," 2,412 "," 6,436 ", 501 ," 8,639 "," 31,037 "
81, 16 ," 2,302 "," 1,779 "," 8,801 "," 1,290 ", 584 ," 3,591 ", 620 ," 1,315 "," 1,666 "," 1,424 "," 14,148 ", 278 ," 8,833 "," 46,647 "
82, 138 ," 2,945 "," 3,217 "," 8,984 ", 973 , 130 ," 12,360 ", 627 ," 7,093 "," 3,203 "," 1,347 "," 19,318 "," 1,896 "," 10,380 "," 72,610 "
83, -   ," 2,082 "," 1,057 "," 3,316 ", 131 , 194 , 420 , 541 ," 3,090 "," 1,634 "," 1,068 "," 7,657 ", 378 ," 12,146 "," 33,715 "
84, -   ," 1,772 ", 155 ," 2,257 ", -   , -   , 203 , 542 , 59 ," 1,838 "," 2,335 "," 2,938 ", -   ," 3,566 "," 15,664 "
85, -   , 441 , 66 , 122 , -   , 13 , 60 , 770 , 320 , 378 , 863 , 708 , -   , 812 ," 4,554 "
86, -   , 250 , 175 ," 1,016 ", -   , 62 , 72 , -   , 20 , 640 , 43 ," 1,263 ", -   , 176 ," 3,718 "
87, 71 , 125 , 93 ," 1,517 ", 37 , 79 , -   , 467 , -   ," 1,180 ", 180 ," 3,204 ", -   ," 4,796 "," 11,747 "
88, -   ," 1,236 ", 234 ," 5,251 ", 85 , 549 , 150 ," 1,358 "," 1,287 "," 2,522 "," 1,521 "," 3,595 ", -   ," 5,578 "," 23,366 "
89, -   , 580 , 270 , 128 , 31 , -   , -   , 234 , -   ," 1,116 ", 49 , 988 , -   ," 1,285 "," 4,681 "
90, -   , 474 , 257 ," 1,393 ", -   , -   , -   , 268 , 415 ," 1,647 ", 726 , 901 , -   ," 1,472 "," 7,552 "
91, 137 , 774 ," 5,702 "," 3,968 ", -   ," 1,123 "," 1,698 ", 572 , 797 , 929 , 748 ," 3,728 ", 497 ," 6,522 "," 27,195 "
92, -   , 641 ," 1,122 "," 2,533 ", 92 , 621 ," 1,359 ", 27 , 837 , 104 , 540 ," 4,744 "," 2,148 "," 5,057 "," 19,824 "
93, 138 , 222 ," 1,523 "," 5,396 ", 834 , 508 ," 6,450 ", 564 , 567 ," 1,574 ", 910 ," 7,089 ", 76 ," 5,021 "," 30,872 "
94, -   , 333 ," 2,224 "," 5,480 ", 410 , -   , 853 , 223 , 922 , 876 ," 1,617 "," 2,966 ", -   ," 2,709 "," 18,613 "
95, -   , 292 , 34 , 890 , -   , -   , 110 , 579 , 589 , 549 , 534 ," 2,575 ", -   ," 2,852 "," 9,004 "
96, -   , 402 , 310 ," 1,316 ", -   , 63 , 311 , 275 , 315 , 398 , 617 ," 1,813 "," 1,510 "," 4,501 "," 11,830 "
97, -   ," 1,140 ", 192 , 994 , 18 , 331 , 765 , 465 ," 1,181 ", 497 , 276 ," 3,413 ", -   ," 1,696 "," 10,968 "
98, -   , 127 , 325 , 500 ," 1,388 ", 325 , 133 , -   , 680 , 54 , -   ," 1,272 ", 336 ," 1,526 "," 6,664 "
99, -   , 916 ," 6,263 "," 2,903 "," 3,974 ", -   ," 1,204 ", 322 , 291 , 722 , 93 ," 3,839 ", 297 ," 4,899 "," 25,724 "
100, -   ," 3,279 "," 3,683 "," 16,130 ", 589 , 431 ," 1,061 "," 1,925 "," 3,070 "," 5,210 "," 2,338 "," 8,533 "," 1,815 "," 7,162 "," 55,226 "
101, -   , 593 , 544 , 913 , -   , -   , 288 , -   , 305 ," 2,726 "," 1,407 "," 1,386 ", -   ," 3,900 "," 12,062 "
102, -   , 504 , 424 ," 1,700 ", -   , -   , -   , 425 ," 2,175 "," 1,271 ", 220 ," 2,320 ", -   ," 1,576 "," 10,615 "
103, -   , 788 , 134 , 532 , -   , -   , -   , -   , 219 , 566 , 42 , 524 , -   ," 2,459 "," 5,265 "
104, -   , 587 , 12 , 867 , -   , -   , -   , 27 , 122 , 440 , 44 , 726 , -   ," 1,245 "," 4,071 "
105, -   , 136 , 364 ," 1,448 ", 226 , 443 ," 2,213 ", 111 , 397 , 447 , 258 ," 1,488 ", -   ," 4,308 "," 11,839 "
106, 509 ," 1,048 "," 2,605 "," 11,898 ", 120 , 26 , 649 , 314 ," 1,608 ", 132 , 46 ," 5,519 ", 119 ," 2,340 "," 26,935 "
107, -   , -   , 579 ," 2,521 ", 362 , -   ," 1,069 ", 804 , 799 , 319 , 724 ," 3,870 ", 842 ," 3,917 "," 15,805 "
108, -   , 106 , 992 ," 7,925 ", 586 , -   , 133 , 76 , 796 , 179 , 81 ," 2,540 ", 848 ," 1,676 "," 15,938 "
109, -   , 531 ," 3,213 "," 16,996 "," 1,514 ", 250 , 750 ," 2,319 ", 596 ," 3,895 "," 3,466 "," 4,657 ", 300 ," 5,882 "," 44,369 "
110, -   , -   ," 1,739 "," 7,068 ", 457 , 767 , 271 ," 1,282 "," 5,936 ", 460 , 365 ," 2,011 ", 540 ," 4,129 "," 25,025 "
111, -   , 292 ," 1,038 "," 5,004 "," 1,119 ", 475 , 839 , 243 , 417 ," 1,381 ", 718 ," 2,058 ", -   ," 3,837 "," 17,421 "
112, -   , 667 ," 2,685 "," 2,654 "," 1,749 ", -   , -   , 165 ," 1,894 ", 822 , 762 ," 4,389 ", -   ," 4,717 "," 20,504 "
113, -   , 313 ," 4,958 "," 6,426 "," 1,741 "," 3,582 ", 37 , 123 , 799 ," 2,379 ", 383 ," 3,476 ", -   , 913 ," 25,129 "
114, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
115, -   ," 2,183 "," 2,180 "," 5,892 ", 681 , 300 , -   , 747 , 571 , -   ," 1,775 ", 445 , 572 ," 2,854 "," 18,199 "
116, -   ," 2,951 "," 2,162 "," 6,775 "," 2,357 "," 2,028 ", -   , 965 ," 1,025 "," 2,438 "," 4,357 "," 1,306 ", 275 ," 8,532 "," 35,169 "
117, -   ," 1,186 "," 1,062 "," 5,099 "," 3,446 ", 294 , 351 ," 1,126 ", 454 ," 1,395 ", 911 ," 2,512 ", -   ," 4,293 "," 22,128 "
